scope,policy_key,first_touch_horizon,threshold_pair,sample_n,profit_first_n,loss_first_n,same_bar_both_n,neither_n,missing_n,profit_first_rate_pct,loss_first_rate_pct,profit_minus_loss_pp
all,D0_STRICT_3D_V2_TOP3,d1_1130,1,753,394,327,24,1,7,52.324,43.4263,8.8977
all,D0_STRICT_3D_V2_TOP3,d1_1130,2,753,399,331,2,14,7,52.988,43.9575,9.0305
all,D0_STRICT_3D_V2_TOP3,d1_1130,3,753,367,306,0,73,7,48.7384,40.6375,8.1009
all,D0_STRICT_3D_V2_TOP3,d1_1130,5,753,302,197,0,247,7,40.1062,26.162,13.9442
all,D0_STRICT_3D_V2_TOP3,d1_close,1,753,394,328,24,0,7,52.324,43.5591,8.7649
all,D0_STRICT_3D_V2_TOP3,d1_close,2,753,402,336,2,6,7,53.3865,44.6215,8.765
all,D0_STRICT_3D_V2_TOP3,d1_close,3,753,379,320,0,47,7,50.332,42.4967,7.8353
all,D0_STRICT_3D_V2_TOP3,d1_close,5,753,329,221,0,196,7,43.6919,29.3493,14.3426
all,D0_STRICT_3D_V2_TOP3,d3_close,1,753,391,323,24,0,15,51.9256,42.8951,9.0305
all,D0_STRICT_3D_V2_TOP3,d3_close,2,753,404,332,2,0,15,53.6521,44.0903,9.5618
all,D0_STRICT_3D_V2_TOP3,d3_close,3,753,401,337,0,0,15,53.2537,44.7543,8.4994
all,D0_STRICT_3D_V2_TOP3,d3_close,5,753,407,305,0,26,15,54.0505,40.5046,13.5459
all,D0_STRICT_3D_V2_TOP3,d5_close,1,753,384,323,24,0,22,50.996,42.8951,8.1009
all,D0_STRICT_3D_V2_TOP3,d5_close,2,753,398,331,2,0,22,52.8552,43.9575,8.8977
all,D0_STRICT_3D_V2_TOP3,d5_close,3,753,396,335,0,0,22,52.5896,44.4887,8.1009
all,D0_STRICT_3D_V2_TOP3,d5_close,5,753,406,312,0,13,22,53.9177,41.4343,12.4834
fill_passed_only,D0_STRICT_3D_V2_TOP3,d1_1130,1,744,389,324,23,1,7,52.2849,43.5484,8.7365
fill_passed_only,D0_STRICT_3D_V2_TOP3,d1_1130,2,744,394,328,1,14,7,52.957,44.086,8.871
fill_passed_only,D0_STRICT_3D_V2_TOP3,d1_1130,3,744,362,302,0,73,7,48.6559,40.5914,8.0645
fill_passed_only,D0_STRICT_3D_V2_TOP3,d1_1130,5,744,297,193,0,247,7,39.9194,25.9409,13.9785
fill_passed_only,D0_STRICT_3D_V2_TOP3,d1_close,1,744,389,325,23,0,7,52.2849,43.6828,8.6021
fill_passed_only,D0_STRICT_3D_V2_TOP3,d1_close,2,744,397,333,1,6,7,53.3602,44.7581,8.6021
fill_passed_only,D0_STRICT_3D_V2_TOP3,d1_close,3,744,374,316,0,47,7,50.2688,42.4731,7.7957
fill_passed_only,D0_STRICT_3D_V2_TOP3,d1_close,5,744,324,217,0,196,7,43.5484,29.1667,14.3817
fill_passed_only,D0_STRICT_3D_V2_TOP3,d3_close,1,744,386,320,23,0,15,51.8817,43.0108,8.8709
fill_passed_only,D0_STRICT_3D_V2_TOP3,d3_close,2,744,399,329,1,0,15,53.629,44.2204,9.4086
fill_passed_only,D0_STRICT_3D_V2_TOP3,d3_close,3,744,396,333,0,0,15,53.2258,44.7581,8.4677
fill_passed_only,D0_STRICT_3D_V2_TOP3,d3_close,5,744,402,301,0,26,15,54.0323,40.457,13.5753
fill_passed_only,D0_STRICT_3D_V2_TOP3,d5_close,1,744,379,320,23,0,22,50.9409,43.0108,7.9301
fill_passed_only,D0_STRICT_3D_V2_TOP3,d5_close,2,744,393,328,1,0,22,52.8226,44.086,8.7366
fill_passed_only,D0_STRICT_3D_V2_TOP3,d5_close,3,744,391,331,0,0,22,52.5538,44.4892,8.0646
fill_passed_only,D0_STRICT_3D_V2_TOP3,d5_close,5,744,401,308,0,13,22,53.8978,41.3978,12.5
