signal_date,policy_key,policy_label_ko,candidate_n,fill_pass_rate_pct,d5_profit_first_rate_pct,d5_loss_first_rate_pct,dplus1_G_count,dplus1_Y_count,dplus1_O_count,dplus1_R_count,dplus1_X_count,dplus2_G_count,dplus2_Y_count,dplus2_O_count,dplus2_R_count,dplus2_X_count,dplus3_G_count,dplus3_Y_count,dplus3_O_count,dplus3_R_count,dplus3_X_count,dplus4_G_count,dplus4_Y_count,dplus4_O_count,dplus4_R_count,dplus4_X_count,dplus5_G_count,dplus5_Y_count,dplus5_O_count,dplus5_R_count,dplus5_X_count
2026-04-09,D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,21,95.2381,66.6667,28.5714,4,8,6,1,2,8,6,3,1,3,3,8,7,1,2,3,3,9,4,2,1,3,11,4,2
2026-04-09,P0_LEGACY_D0_RANK_TOP3,기존 P0 d0_rank Top3,3,100.0,100.0,0.0,2,0,0,0,1,2,0,1,0,0,0,1,1,0,1,2,0,1,0,0,0,1,1,1,0
2026-04-09,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,3,100.0,100.0,0.0,2,0,1,0,0,1,1,1,0,0,0,1,2,0,0,2,0,1,0,0,1,1,0,1,0
2026-04-09,V2_FINAL_TOP3,최종 운영형 V2 Top3,3,100.0,100.0,0.0,3,0,0,0,0,1,0,1,1,0,0,3,0,0,0,0,2,1,0,0,0,0,2,1,0
2026-04-10,D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,23,91.3043,47.8261,39.1304,5,10,5,0,3,5,4,8,1,5,7,6,6,1,3,2,2,13,3,3,3,3,15,0,2
2026-04-10,P0_LEGACY_D0_RANK_TOP3,기존 P0 d0_rank Top3,3,100.0,33.3333,66.6667,1,1,1,0,0,0,1,2,0,0,2,0,1,0,0,0,1,1,1,0,2,1,0,0,0
2026-04-10,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,3,100.0,33.3333,66.6667,1,1,1,0,0,0,1,2,0,0,2,0,1,0,0,1,1,0,1,0,1,1,1,0,0
2026-04-10,V2_FINAL_TOP3,최종 운영형 V2 Top3,3,100.0,66.6667,33.3333,1,1,1,0,0,0,2,1,0,0,0,2,1,0,0,0,0,2,1,0,1,1,1,0,0
2026-04-13,D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,29,93.1034,51.7241,37.931,4,8,10,2,5,7,6,12,2,2,2,3,17,4,3,4,7,16,0,2,6,4,14,3,2
2026-04-13,P0_LEGACY_D0_RANK_TOP3,기존 P0 d0_rank Top3,3,100.0,66.6667,33.3333,0,2,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,3,0,0
2026-04-13,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,3,100.0,100.0,0.0,0,1,2,0,0,2,0,1,0,0,0,1,1,1,0,2,1,0,0,0,0,1,2,0,0
2026-04-13,V2_FINAL_TOP3,최종 운영형 V2 Top3,3,100.0,66.6667,33.3333,0,1,2,0,0,0,1,2,0,0,0,0,2,1,0,0,2,1,0,0,1,0,1,1,0
2026-04-14,D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,17,88.2353,47.0588,41.1765,4,3,6,1,3,1,0,12,1,3,3,3,8,1,2,4,3,8,0,2,1,1,11,1,3
2026-04-14,P0_LEGACY_D0_RANK_TOP3,기존 P0 d0_rank Top3,3,100.0,66.6667,33.3333,1,0,1,1,0,0,0,1,1,1,1,0,2,0,0,0,0,3,0,0,0,1,2,0,0
2026-04-14,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,3,100.0,100.0,0.0,2,0,1,0,0,0,1,1,1,0,2,1,0,0,0,0,1,2,0,0,1,1,1,0,0
2026-04-14,V2_FINAL_TOP3,최종 운영형 V2 Top3,3,100.0,33.3333,66.6667,0,1,2,0,0,0,0,2,1,0,0,2,1,0,0,1,0,1,1,0,0,0,2,1,0
2026-04-15,D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,27,96.2963,55.5556,37.037,6,7,11,1,2,2,5,13,5,2,4,7,14,1,1,6,4,14,1,2,4,9,8,5,1
2026-04-15,P0_LEGACY_D0_RANK_TOP3,기존 P0 d0_rank Top3,3,100.0,33.3333,66.6667,0,2,0,1,0,1,1,0,1,0,0,1,2,0,0,2,1,0,0,0,0,0,2,1,0
2026-04-15,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,3,100.0,33.3333,66.6667,0,2,0,1,0,1,1,0,1,0,0,1,2,0,0,2,1,0,0,0,0,0,2,1,0
2026-04-15,V2_FINAL_TOP3,최종 운영형 V2 Top3,3,100.0,33.3333,66.6667,0,1,1,1,0,0,2,1,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,3,0
2026-04-16,D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,24,100.0,20.8333,75.0,1,2,11,10,0,4,10,9,1,0,5,4,12,3,0,3,7,6,8,0,4,6,10,4,0
2026-04-16,P0_LEGACY_D0_RANK_TOP3,기존 P0 d0_rank Top3,3,100.0,33.3333,66.6667,1,1,1,0,0,0,1,2,0,0,1,1,1,0,0,0,0,1,2,0,1,1,1,0,0
2026-04-16,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,3,100.0,33.3333,66.6667,1,1,0,1,0,0,1,2,0,0,2,1,0,0,0,0,0,2,1,0,0,1,2,0,0
2026-04-16,V2_FINAL_TOP3,최종 운영형 V2 Top3,3,100.0,0.0,100.0,0,1,0,2,0,0,0,3,0,0,3,0,0,0,0,2,0,0,1,0,0,1,2,0,0
2026-04-17,D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,25,100.0,48.0,52.0,6,6,10,3,0,5,4,13,2,1,4,10,9,2,0,1,10,11,3,0,6,4,9,2,4
2026-04-17,P0_LEGACY_D0_RANK_TOP3,기존 P0 d0_rank Top3,3,100.0,0.0,100.0,0,0,3,0,0,1,1,0,1,0,0,1,1,1,0,0,2,1,0,0,0,1,2,0,0
2026-04-17,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,3,100.0,33.3333,66.6667,0,1,2,0,0,2,1,0,0,0,0,1,1,1,0,0,2,1,0,0,0,2,1,0,0
2026-04-17,V2_FINAL_TOP3,최종 운영형 V2 Top3,3,100.0,0.0,100.0,0,0,2,1,0,3,0,0,0,0,1,1,0,1,0,0,1,2,0,0,0,1,1,1,0
2026-04-20,D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,26,96.1538,46.1538,50.0,1,3,15,6,1,4,5,11,5,1,4,7,7,7,1,4,5,12,4,1,4,11,7,1,3
2026-04-20,P0_LEGACY_D0_RANK_TOP3,기존 P0 d0_rank Top3,3,100.0,100.0,0.0,2,1,0,0,0,0,1,1,1,0,0,2,1,0,0,0,2,1,0,0,0,2,1,0,0
2026-04-20,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,3,100.0,100.0,0.0,1,1,1,0,0,0,1,0,2,0,1,2,0,0,0,0,1,2,0,0,0,2,1,0,0
2026-04-20,V2_FINAL_TOP3,최종 운영형 V2 Top3,3,100.0,100.0,0.0,2,1,0,0,0,1,2,0,0,0,1,0,2,0,0,1,1,0,1,0,0,3,0,0,0
2026-04-21,D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,16,100.0,37.5,62.5,3,4,4,4,1,0,2,11,3,0,2,4,6,2,2,2,6,3,3,2,5,5,5,0,1
2026-04-21,P0_LEGACY_D0_RANK_TOP3,기존 P0 d0_rank Top3,3,100.0,33.3333,66.6667,0,1,1,1,0,0,2,1,0,0,0,2,1,0,0,0,2,1,0,0,0,2,1,0,0
2026-04-21,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,3,100.0,33.3333,66.6667,0,1,1,1,0,0,2,1,0,0,0,1,2,0,0,1,1,1,0,0,0,1,2,0,0
2026-04-21,V2_FINAL_TOP3,최종 운영형 V2 Top3,3,100.0,33.3333,66.6667,0,2,0,1,0,1,0,2,0,0,1,0,1,1,0,0,2,0,0,1,1,1,0,1,0
2026-04-22,D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,23,100.0,39.1304,60.8696,1,6,11,5,0,6,7,7,2,1,7,2,9,3,2,4,6,8,3,2,1,7,10,4,1
2026-04-22,P0_LEGACY_D0_RANK_TOP3,기존 P0 d0_rank Top3,3,100.0,66.6667,33.3333,0,2,1,0,0,0,2,1,0,0,0,2,1,0,0,0,2,1,0,0,0,1,1,1,0
