policy_key,policy_label_ko,color_path,color_path_emoji,color_path_label_ko,pattern_short_label,sample_n,plus2_first_rate_pct,minus2_first_rate_pct,plus3_first_rate_pct,minus3_first_rate_pct,profit_minus_loss_pp,avg_mfe_d5_pct,avg_mae_d5_pct,fast_win_rate_pct,loss_first_rate_pct,fill_pass_rate_pct
V2_FINAL_TOP3,V2 점수제 Top3,G-Y-O-Y-O,🟢-🟡-🟠-🟡-🟠,완전강세-회복-실패-회복-실패,혼합 흐름,2,100.0,0.0,100.0,0.0,100.0,32.2433,1.4816,100.0,0.0,100.0
V2_FINAL_TOP3,V2 점수제 Top3,R-O-G-G-O,🔴-🟠-🟢-🟢-🟠,약세-실패-완전강세-완전강세-실패,혼합 흐름,2,0.0,100.0,0.0,100.0,-100.0,19.1806,-5.6797,0.0,100.0,100.0
V2_FINAL_TOP3,V2 점수제 Top3,G-G-O-Y-Y,🟢-🟢-🟠-🟡-🟡,완전강세-완전강세-실패-회복-회복,초강세 유지,1,100.0,0.0,100.0,0.0,100.0,24.7563,1.1696,100.0,0.0,100.0
V2_FINAL_TOP3,V2 점수제 Top3,G-G-Y-G-Y,🟢-🟢-🟡-🟢-🟡,완전강세-완전강세-회복-완전강세-회복,강세 지속,1,100.0,0.0,100.0,0.0,100.0,59.8658,-1.062,100.0,0.0,100.0
V2_FINAL_TOP3,V2 점수제 Top3,G-G-Y-O-R,🟢-🟢-🟡-🟠-🔴,완전강세-완전강세-회복-실패-약세,초강세 유지,1,100.0,0.0,100.0,0.0,100.0,55.0388,2.1142,100.0,0.0,100.0
V2_FINAL_TOP3,V2 점수제 Top3,G-G-Y-R-O,🟢-🟢-🟡-🔴-🟠,완전강세-완전강세-회복-약세-실패,초강세 유지,1,100.0,0.0,100.0,0.0,100.0,20.1212,-5.4545,100.0,0.0,100.0
V2_FINAL_TOP3,V2 점수제 Top3,G-O-O-O-G,🟢-🟠-🟠-🟠-🟢,완전강세-실패-실패-실패-완전강세,실패 반복,1,100.0,0.0,100.0,0.0,100.0,15.4982,-3.5055,100.0,0.0,100.0
V2_FINAL_TOP3,V2 점수제 Top3,G-O-O-O-Y,🟢-🟠-🟠-🟠-🟡,완전강세-실패-실패-실패-회복,실패 반복,1,100.0,0.0,100.0,0.0,100.0,22.9801,1.7838,100.0,0.0,100.0
V2_FINAL_TOP3,V2 점수제 Top3,G-O-Y-Y-G,🟢-🟠-🟡-🟡-🟢,완전강세-실패-회복-회복-완전강세,회복→강세,1,100.0,0.0,100.0,0.0,100.0,107.6063,4.0268,100.0,0.0,100.0
V2_FINAL_TOP3,V2 점수제 Top3,G-O-Y-Y-O,🟢-🟠-🟡-🟡-🟠,완전강세-실패-회복-회복-실패,혼합 흐름,1,100.0,0.0,100.0,0.0,100.0,16.5089,-3.1361,100.0,0.0,100.0
V2_FINAL_TOP3,V2 점수제 Top3,G-R-Y-Y-O,🟢-🔴-🟡-🟡-🟠,완전강세-약세-회복-회복-실패,혼합 흐름,1,100.0,0.0,100.0,0.0,100.0,20.7865,-0.9831,100.0,0.0,100.0
V2_FINAL_TOP3,V2 점수제 Top3,G-Y-O-G-O,🟢-🟡-🟠-🟢-🟠,완전강세-회복-실패-완전강세-실패,회복→강세,1,100.0,0.0,100.0,0.0,100.0,29.462,8.0945,100.0,0.0,100.0
P0_TRADING_VALUE_TOP3,P0 거래대금 Top3,Y-O-Y-O-O,🟡-🟠-🟡-🟠-🟠,회복-실패-회복-실패-실패,실패 반복,3,100.0,0.0,100.0,0.0,100.0,16.323,-6.4245,66.6667,0.0,66.6667
P0_TRADING_VALUE_TOP3,P0 거래대금 Top3,G-Y-O-Y-O,🟢-🟡-🟠-🟡-🟠,완전강세-회복-실패-회복-실패,혼합 흐름,2,100.0,0.0,100.0,0.0,100.0,32.2433,1.4816,100.0,0.0,100.0
P0_TRADING_VALUE_TOP3,P0 거래대금 Top3,O-R-G-O-Y,🟠-🔴-🟢-🟠-🟡,실패-약세-완전강세-실패-회복,실패→약세,2,100.0,0.0,100.0,0.0,100.0,7.2916,-16.95,100.0,0.0,100.0
P0_TRADING_VALUE_TOP3,P0 거래대금 Top3,Y-O-O-O-O,🟡-🟠-🟠-🟠-🟠,회복-실패-실패-실패-실패,실패 반복,2,50.0,50.0,0.0,100.0,-100.0,5.2322,-8.0188,50.0,50.0,100.0
P0_TRADING_VALUE_TOP3,P0 거래대금 Top3,O-Y-Y-Y-Y,🟠-🟡-🟡-🟡-🟡,실패-회복-회복-회복-회복,혼합 흐름,2,50.0,50.0,50.0,50.0,0.0,35.3999,-6.0709,50.0,50.0,100.0
