period_type,period_key,period_start,period_end,v3_variant,rows,complete_d1_rows,complete_d5_rows,signal_days,avg_d1_close_return_pct,avg_d5_close_return_pct,median_d5_close_return_pct,d5_close_win_rate_pct,avg_mfe_d1_d5_pct,avg_mae_d1_d5_pct,plus13_touch_d1_rate_pct,plus13_touch_d2_rate_pct,plus13_touch_d3_rate_pct,plus13_touch_d4_rate_pct,plus13_touch_d5_rate_pct,cumulative_plus13_touch_d5_rate_pct,plus20_touch_d5_rate_pct,minus20_touch_d5_rate_pct,plus13_before_minus2_d1_rate_pct,plus13_before_minus2_d5_rate_pct,minus2_before_plus13_d5_rate_pct,same_day_ambiguous_d5_rate_pct,sample_status
week,2025-W14,2025-04-01,2025-04-04,V3_A_CONSENSUS_WEIGHTED,12,12,12,4,-5.339745462844064,-0.7387190151875099,-6.709623745551585,25.0,10.560326853439207,-13.449873741772706,58.333333333333336,16.666666666666664,33.33333333333333,25.0,25.0,75.0,58.333333333333336,100.0,0.0,0.0,41.66666666666667,58.333333333333336,VERY_LOW_SAMPLE
week,2025-W15,2025-04-07,2025-04-11,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,4.918556035948736,8.308097736379247,2.819548872180455,53.333333333333336,19.146541116598748,-4.497365315819335,86.66666666666667,86.66666666666667,86.66666666666667,73.33333333333333,66.66666666666666,93.33333333333333,86.66666666666667,40.0,73.33333333333333,73.33333333333333,13.333333333333334,13.333333333333334,VERY_LOW_SAMPLE
week,2025-W16,2025-04-14,2025-04-18,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,2.6775775588305293,-2.1020695902118502,-1.2477718360071277,40.0,8.380810255695227,-5.020426036733616,60.0,60.0,53.333333333333336,53.333333333333336,60.0,80.0,66.66666666666666,66.66666666666666,46.666666666666664,66.66666666666666,20.0,13.333333333333334,VERY_LOW_SAMPLE
week,2025-W17,2025-04-21,2025-04-25,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,0.08402375175681875,-0.45231739205456506,-0.7320644216691097,40.0,6.726120580909138,-4.894325535673374,66.66666666666666,53.333333333333336,60.0,53.333333333333336,33.33333333333333,93.33333333333333,73.33333333333333,60.0,53.333333333333336,66.66666666666666,20.0,13.333333333333334,VERY_LOW_SAMPLE
week,2025-W18,2025-04-28,2025-05-02,V3_A_CONSENSUS_WEIGHTED,12,12,12,4,-1.2442632316816253,-3.812869168068662,-1.8385141173344888,33.33333333333333,6.335807144074656,-7.773899813712636,66.66666666666666,50.0,41.66666666666667,33.33333333333333,33.33333333333333,83.33333333333334,75.0,83.33333333333334,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,VERY_LOW_SAMPLE
week,2025-W19,2025-05-07,2025-05-09,V3_A_CONSENSUS_WEIGHTED,9,9,9,3,-0.38249431424326336,-3.8603332021148824,-1.6846361185983816,33.33333333333333,4.263645497046656,-6.963288772454931,55.55555555555556,44.44444444444444,55.55555555555556,44.44444444444444,44.44444444444444,88.88888888888889,77.77777777777779,66.66666666666666,44.44444444444444,55.55555555555556,11.11111111111111,33.33333333333333,VERY_LOW_SAMPLE
week,2025-W20,2025-05-12,2025-05-16,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,0.1263650775918812,-2.0429347434272294,-4.454148471615715,26.666666666666668,7.685257907979239,-7.715569334968731,73.33333333333333,33.33333333333333,40.0,33.33333333333333,33.33333333333333,80.0,80.0,80.0,46.666666666666664,53.333333333333336,20.0,26.666666666666668,VERY_LOW_SAMPLE
week,2025-W21,2025-05-19,2025-05-23,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,0.549426077263265,3.071503152739512,2.051282051282044,60.0,6.851010213601077,-3.032722825922439,46.666666666666664,53.333333333333336,53.333333333333336,60.0,66.66666666666666,80.0,66.66666666666666,60.0,26.666666666666668,46.666666666666664,33.33333333333333,20.0,VERY_LOW_SAMPLE
week,2025-W22,2025-05-26,2025-05-30,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,0.5868812220153007,3.9656816902520036,4.6875,80.0,6.499926125772449,-2.3948570778165763,80.0,73.33333333333333,73.33333333333333,66.66666666666666,86.66666666666667,93.33333333333333,93.33333333333333,40.0,66.66666666666666,80.0,6.666666666666667,13.333333333333334,VERY_LOW_SAMPLE
week,2025-W23,2025-06-02,2025-06-05,V3_A_CONSENSUS_WEIGHTED,9,9,9,3,2.592483700258555,11.210825136454135,5.457746478873249,88.88888888888889,14.323550033686217,-0.7506059354250614,88.88888888888889,100.0,100.0,100.0,100.0,100.0,100.0,22.22222222222222,88.88888888888889,88.88888888888889,11.11111111111111,0.0,VERY_LOW_SAMPLE
week,2025-W24,2025-06-09,2025-06-13,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,1.1448132361913967,6.777405180545659,5.476190476190479,60.0,11.99737973288223,-3.674739955281414,73.33333333333333,73.33333333333333,73.33333333333333,60.0,66.66666666666666,86.66666666666667,73.33333333333333,66.66666666666666,53.333333333333336,60.0,20.0,20.0,VERY_LOW_SAMPLE
week,2025-W25,2025-06-16,2025-06-20,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,1.5648206277223358,2.3297809308189215,2.5295109612141653,73.33333333333333,8.740413465498658,-4.173448502827649,80.0,66.66666666666666,73.33333333333333,73.33333333333333,73.33333333333333,93.33333333333333,93.33333333333333,66.66666666666666,60.0,60.0,20.0,20.0,VERY_LOW_SAMPLE
week,2025-W26,2025-06-23,2025-06-27,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,-0.5358330881436165,-2.798370776587455,-0.7346938775510181,46.666666666666664,5.671429745740822,-7.0019404034298995,66.66666666666666,60.0,40.0,46.666666666666664,46.666666666666664,86.66666666666667,80.0,60.0,40.0,46.666666666666664,26.666666666666668,26.666666666666668,VERY_LOW_SAMPLE
week,2025-W27,2025-06-30,2025-07-04,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,-1.7825210950452732,-1.0907838482751737,0.23923444976077235,53.333333333333336,4.366929745546599,-6.376640327162022,66.66666666666666,40.0,40.0,53.333333333333336,46.666666666666664,80.0,66.66666666666666,80.0,40.0,46.666666666666664,26.666666666666668,26.666666666666668,VERY_LOW_SAMPLE
week,2025-W28,2025-07-07,2025-07-11,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,0.42200241675357,3.452305975854345,3.2345013477088846,93.33333333333333,5.223496863752814,-1.7169955518089384,46.666666666666664,60.0,80.0,80.0,93.33333333333333,100.0,93.33333333333333,33.33333333333333,46.666666666666664,80.0,20.0,0.0,VERY_LOW_SAMPLE
week,2025-W29,2025-07-14,2025-07-18,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,1.646605226304913,1.7971121881799534,0.5535055350553542,60.0,6.454840565246645,-2.482887204045706,86.66666666666667,80.0,66.66666666666666,66.66666666666666,66.66666666666666,100.0,100.0,46.666666666666664,86.66666666666667,86.66666666666667,13.333333333333334,0.0,VERY_LOW_SAMPLE
week,2025-W30,2025-07-21,2025-07-25,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,0.441053483934443,-0.9715144370918547,0.0,46.666666666666664,6.557980362322254,-4.989371309248224,60.0,66.66666666666666,53.333333333333336,53.333333333333336,53.333333333333336,93.33333333333333,93.33333333333333,66.66666666666666,53.333333333333336,73.33333333333333,20.0,6.666666666666667,VERY_LOW_SAMPLE
week,2025-W31,2025-07-28,2025-08-01,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,-0.4601128654096674,-1.1657045034001359,-0.9213323883770386,26.666666666666668,3.6665454694582906,-4.594855409915388,53.333333333333336,66.66666666666666,40.0,40.0,33.33333333333333,80.0,73.33333333333333,80.0,46.666666666666664,53.333333333333336,40.0,6.666666666666667,VERY_LOW_SAMPLE
week,2025-W32,2025-08-04,2025-08-08,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,0.552763620659075,1.6990260756578115,1.7191977077363862,73.33333333333333,4.842228861745546,-2.4107934642764546,80.0,60.0,80.0,80.0,73.33333333333333,93.33333333333333,86.66666666666667,53.333333333333336,73.33333333333333,80.0,13.333333333333334,6.666666666666667,VERY_LOW_SAMPLE
week,2025-W33,2025-08-11,2025-08-14,V3_A_CONSENSUS_WEIGHTED,12,12,12,4,0.309490809708816,-0.1774820254297297,-0.5615031036379337,41.66666666666667,5.184425847675638,-3.402710801232038,58.333333333333336,58.333333333333336,58.333333333333336,58.333333333333336,41.66666666666667,75.0,66.66666666666666,58.333333333333336,41.66666666666667,50.0,33.33333333333333,16.666666666666664,VERY_LOW_SAMPLE
week,2025-W34,2025-08-18,2025-08-22,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,1.0470915193046932,1.3604591879325503,0.5003573981415377,60.0,4.966547960304122,-2.102869463582531,53.333333333333336,46.666666666666664,66.66666666666666,60.0,60.0,80.0,73.33333333333333,40.0,46.666666666666664,60.0,26.666666666666668,6.666666666666667,VERY_LOW_SAMPLE
week,2025-W35,2025-08-25,2025-08-29,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,-1.0448985253172831,-1.8954728360549555,-0.9929078014184411,26.666666666666668,1.5390142983891977,-4.4299963111364855,33.33333333333333,26.666666666666668,26.666666666666668,26.666666666666668,26.666666666666668,46.666666666666664,46.666666666666664,80.0,26.666666666666668,33.33333333333333,60.0,6.666666666666667,VERY_LOW_SAMPLE
week,2025-W36,2025-09-01,2025-09-05,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,3.0253687161202993,10.40369822030058,3.698224852071008,80.0,13.861924674673386,-1.443913964518017,53.333333333333336,66.66666666666666,80.0,66.66666666666666,73.33333333333333,93.33333333333333,86.66666666666667,33.33333333333333,40.0,80.0,6.666666666666667,13.333333333333334,VERY_LOW_SAMPLE
week,2025-W37,2025-09-08,2025-09-12,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,1.518988282654045,3.3154731883472617,5.39586485123551,73.33333333333333,8.62346311864812,-4.599173526636358,66.66666666666666,73.33333333333333,80.0,93.33333333333333,80.0,100.0,93.33333333333333,46.666666666666664,46.666666666666664,60.0,20.0,20.0,VERY_LOW_SAMPLE
week,2025-W38,2025-09-15,2025-09-19,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,-0.25352881423211343,0.8602536855530619,4.385964912280693,60.0,6.647952772003469,-4.721370028263551,80.0,80.0,73.33333333333333,80.0,66.66666666666666,93.33333333333333,93.33333333333333,40.0,66.66666666666666,73.33333333333333,13.333333333333334,13.333333333333334,VERY_LOW_SAMPLE
week,2025-W39,2025-09-22,2025-09-26,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,-0.28770457632982577,1.5682138874506586,0.9592326139088669,53.333333333333336,5.740218683611371,-3.216528887874358,53.333333333333336,46.666666666666664,46.666666666666664,60.0,66.66666666666666,93.33333333333333,80.0,80.0,40.0,53.333333333333336,33.33333333333333,13.333333333333334,VERY_LOW_SAMPLE
week,2025-W40,2025-09-29,2025-10-02,V3_A_CONSENSUS_WEIGHTED,12,12,12,4,2.1334981014699337,12.0719508880605,10.569368658585699,91.66666666666666,15.509549315369654,-0.5739388738974783,83.33333333333334,100.0,100.0,100.0,100.0,100.0,100.0,16.666666666666664,75.0,91.66666666666666,0.0,8.333333333333332,VERY_LOW_SAMPLE
week,2025-W41,2025-10-10,2025-10-10,V3_A_CONSENSUS_WEIGHTED,3,3,3,1,2.214734447984109,7.602628583634022,7.362784471218209,100.0,10.92293940065059,-2.405206696432442,66.66666666666666,100.0,66.66666666666666,100.0,100.0,100.0,100.0,33.33333333333333,66.66666666666666,66.66666666666666,33.33333333333333,0.0,VERY_LOW_SAMPLE
week,2025-W42,2025-10-13,2025-10-17,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,0.583017747145811,0.0733430162561562,1.0224948875255713,60.0,5.189060835872811,-3.9900647886258156,73.33333333333333,73.33333333333333,53.333333333333336,53.333333333333336,53.333333333333336,86.66666666666667,80.0,73.33333333333333,53.333333333333336,60.0,20.0,20.0,VERY_LOW_SAMPLE
week,2025-W43,2025-10-20,2025-10-24,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,0.04259500072416002,3.5180687711027403,2.655771195097034,80.0,7.724168272665098,-2.9798242779958923,46.666666666666664,40.0,53.333333333333336,60.0,80.0,93.33333333333333,86.66666666666667,60.0,46.666666666666664,60.0,40.0,0.0,VERY_LOW_SAMPLE
week,2025-W44,2025-10-27,2025-10-31,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,2.0133061628609026,1.44628451381613,0.4995004995004937,53.333333333333336,10.699601672825192,-5.419014230971902,86.66666666666667,66.66666666666666,66.66666666666666,60.0,53.333333333333336,93.33333333333333,93.33333333333333,66.66666666666666,80.0,80.0,13.333333333333334,6.666666666666667,VERY_LOW_SAMPLE
week,2025-W45,2025-11-03,2025-11-07,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,26.137425580749518,26.314214819684373,-2.1739130434782594,40.0,40.34150115083398,15.51039512132113,80.0,60.0,53.333333333333336,53.333333333333336,53.333333333333336,86.66666666666667,80.0,66.66666666666666,46.666666666666664,46.666666666666664,20.0,33.33333333333333,VERY_LOW_SAMPLE
week,2025-W46,2025-11-10,2025-11-14,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,-1.144706861263633,-3.121355868077196,-4.2156862745098,33.33333333333333,6.495961497097019,-8.150880818972768,73.33333333333333,66.66666666666666,73.33333333333333,60.0,40.0,86.66666666666667,80.0,80.0,46.666666666666664,46.666666666666664,20.0,33.33333333333333,VERY_LOW_SAMPLE
week,2025-W47,2025-11-17,2025-11-21,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,-1.3740597184025949,1.046935958494334,-0.8849557522123908,46.666666666666664,6.235051251321953,-6.932002307685151,73.33333333333333,46.666666666666664,46.666666666666664,46.666666666666664,53.333333333333336,86.66666666666667,80.0,86.66666666666667,20.0,20.0,26.666666666666668,53.333333333333336,VERY_LOW_SAMPLE
week,2025-W48,2025-11-24,2025-11-28,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,-0.24081644683760792,-0.8184198104288801,1.5458937198067568,60.0,6.174662217067916,-6.144443844572039,66.66666666666666,60.0,53.333333333333336,60.0,66.66666666666666,93.33333333333333,80.0,66.66666666666666,60.0,60.0,33.33333333333333,6.666666666666667,VERY_LOW_SAMPLE
week,2025-W49,2025-12-01,2025-12-05,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,2.196897042835941,5.109582796810852,3.1283138918345665,86.66666666666667,9.975488062963592,-1.9223838413441194,93.33333333333333,93.33333333333333,93.33333333333333,93.33333333333333,86.66666666666667,100.0,100.0,33.33333333333333,66.66666666666666,73.33333333333333,0.0,26.666666666666668,VERY_LOW_SAMPLE
week,2025-W50,2025-12-08,2025-12-12,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,2.3653562752170685,5.578230021395985,0.31372549019608176,53.333333333333336,13.67215482086156,-5.003233418165315,73.33333333333333,66.66666666666666,60.0,46.666666666666664,46.666666666666664,100.0,80.0,73.33333333333333,40.0,60.0,6.666666666666667,33.33333333333333,VERY_LOW_SAMPLE
week,2025-W51,2025-12-15,2025-12-19,V3_A_CONSENSUS_WEIGHTED,15,15,15,5,1.845960827918985,7.030121067599991,4.53857791225416,93.33333333333333,13.09409012112624,-2.8455940280882857,66.66666666666666,80.0,100.0,93.33333333333333,86.66666666666667,100.0,100.0,66.66666666666666,40.0,46.666666666666664,26.666666666666668,26.666666666666668,VERY_LOW_SAMPLE
week,2025-W52,2025-12-22,2025-12-26,V3_A_CONSENSUS_WEIGHTED,12,12,12,4,4.491097788968624,12.391351155113192,8.781837663550483,83.33333333333334,21.509497457857275,-2.732717857860598,91.66666666666666,83.33333333333334,83.33333333333334,75.0,83.33333333333334,100.0,100.0,50.0,75.0,75.0,8.333333333333332,16.666666666666664,VERY_LOW_SAMPLE
