signal_date,active_variant,selected_count,eod_count,v2_count,human_count,eod_only_count,all_eod_only_day,source_freshness,fallback_blocked_operational,latest20_all_eod_only_day_rate_pct
2025-04-02,V3_C_RISK_CONTROL,3,1,2,0,1,False,PASS,False,0.0
2025-04-03,V3_C_RISK_CONTROL,3,1,1,2,0,False,PASS,False,0.0
2025-04-04,V3_C_RISK_CONTROL,3,0,3,2,0,False,PASS,False,0.0
2025-04-07,V3_C_RISK_CONTROL,3,0,3,2,0,False,PASS,False,0.0
2025-04-08,V3_C_RISK_CONTROL,3,0,3,0,0,False,PASS,False,0.0
2025-04-09,V3_C_RISK_CONTROL,3,2,2,2,0,False,PASS,False,0.0
2025-04-10,V3_C_RISK_CONTROL,3,1,2,1,0,False,PASS,False,0.0
2025-04-11,V3_C_RISK_CONTROL,3,1,2,1,0,False,PASS,False,0.0
2025-04-14,V3_C_RISK_CONTROL,3,0,2,2,0,False,PASS,False,0.0
2025-04-15,V3_C_RISK_CONTROL,3,1,1,1,1,False,PASS,False,0.0
2025-04-16,V3_C_RISK_CONTROL,3,1,1,1,1,False,PASS,False,0.0
2025-04-17,V3_C_RISK_CONTROL,3,1,1,1,1,False,PASS,False,0.0
2025-04-18,V3_C_RISK_CONTROL,3,1,1,1,1,False,PASS,False,0.0
2025-04-21,V3_C_RISK_CONTROL,3,1,2,0,1,False,PASS,False,0.0
2025-04-22,V3_C_RISK_CONTROL,3,1,1,2,1,False,PASS,False,0.0
2025-04-23,V3_C_RISK_CONTROL,3,1,0,2,1,False,PASS,False,0.0
2025-04-24,V3_C_RISK_CONTROL,3,1,1,3,0,False,PASS,False,0.0
2025-04-25,V3_C_RISK_CONTROL,3,1,1,2,1,False,PASS,False,0.0
2025-04-28,V3_C_RISK_CONTROL,3,0,2,1,0,False,PASS,False,0.0
2025-04-29,V3_C_RISK_CONTROL,3,0,2,2,0,False,PASS,False,0.0
2025-04-30,V3_C_RISK_CONTROL,3,0,2,2,0,False,PASS,False,0.0
2025-05-02,V3_C_RISK_CONTROL,3,0,0,3,0,False,PASS,False,0.0
2025-05-07,V3_C_RISK_CONTROL,3,0,1,3,0,False,PASS,False,0.0
2025-05-08,V3_C_RISK_CONTROL,3,1,0,2,1,False,PASS,False,0.0
2025-05-09,V3_C_RISK_CONTROL,3,1,1,2,0,False,PASS,False,0.0
2025-05-12,V3_C_RISK_CONTROL,3,1,1,2,1,False,PASS,False,0.0
2025-05-13,V3_C_RISK_CONTROL,3,0,1,2,0,False,PASS,False,0.0
2025-05-14,V3_C_RISK_CONTROL,3,1,1,1,1,False,PASS,False,0.0
2025-05-15,V3_C_RISK_CONTROL,3,2,1,1,1,False,PASS,False,0.0
2025-05-16,V3_C_RISK_CONTROL,3,1,2,1,0,False,PASS,False,0.0
2025-05-19,V3_C_RISK_CONTROL,3,1,2,3,0,False,PASS,False,0.0
2025-05-20,V3_C_RISK_CONTROL,3,1,2,3,0,False,PASS,False,0.0
2025-05-21,V3_C_RISK_CONTROL,3,1,2,2,0,False,PASS,False,0.0
2025-05-22,V3_C_RISK_CONTROL,3,1,2,1,0,False,PASS,False,0.0
