signal_date,rank,stock_code,stock_name,active_variant,compare_variant,active_route,fallback_route,v3_total_score,v3_grade,entry_1500_price,source_freshness,stale_sources,fallback_used,fallback_reason,operational_allowed,consensus_sources,in_eod_active_top3,in_v2_hybrid_top3,in_human_proxy_top3,consensus_score,rank_score,path_score,risk_control_score,market_condition_score,liquidity_score,manual_proxy_score,complete_d1,complete_d5,h1_plus1_touch,h1_minus2_touch,h5_plus1_touch,h5_plus2_touch,h5_plus3_touch,h5_minus1_touch,h5_minus2_touch,h5_minus3_touch,ret_d1_close_pct,ret_d5_close_pct
2025-04-02,1,007110,일신석재,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,60.933878,B,2020.0,PASS,,False,,True,V2,False,True,False,40.0,15.0,91.22585575,85.0,50.0,55.0,50.0,True,True,True,False,True,True,True,True,True,False,1.980198019801982,7.178217821782185
2025-04-02,2,052220,iMBC,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,57.126169,B,5120.0,PASS,,False,,True,V2,False,True,False,25.0,10.0,90.8411245,85.0,50.0,65.0,50.0,True,True,True,False,True,True,True,True,True,True,9.765625,-14.16015625
2025-04-02,3,005930,삼성전자,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,56.75,B,58850.0,PASS,,False,,True,EOD,True,False,False,20.0,15.0,90.0,85.0,50.0,75.0,50.0,True,True,False,True,False,False,False,True,True,True,-2.1240441801189447,-9.940526762956669
2025-04-03,1,065500,오리엔트정공,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,73.625006,A,15910.0,PASS,,False,,True,"EOD,V2",True,True,False,80.0,25.0,95.833375,85.0,50.0,75.0,50.0,True,True,True,True,True,True,True,True,True,True,-17.22187303582653,-10.747957259585162
2025-04-03,2,052220,iMBC,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,57.675532,B,5370.0,PASS,,False,,True,Human,False,False,True,20.0,8.0,90.0,85.0,50.0,65.0,92.510638,True,True,True,True,True,True,True,True,True,True,-14.804469273743015,-15.363128491620115
2025-04-03,3,008970,KBI동양철관,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,56.612766,B,2048.0,PASS,,False,,True,Human,False,False,True,20.0,4.0,90.0,85.0,50.0,55.0,89.255319,True,True,True,True,True,True,True,True,True,True,-3.80859375,33.10546875
2025-04-04,1,308100,형지글로벌,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,63.602685,B,6822.0,PASS,,False,,True,"V2,Human",False,True,True,45.0,13.0,84.66328825,85.0,50.0,65.0,92.06383,True,True,True,True,True,True,True,True,True,True,3.752565230137783,-20.2726473175022
2025-04-04,2,475460,미트박스,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,60.795276,B,13640.0,PASS,,False,,True,V2,False,True,False,40.0,15.0,86.968504,85.0,50.0,65.0,50.0,True,True,True,True,True,True,True,True,True,True,1.4662756598240456,-2.639296187683282
2025-04-04,3,007110,일신석재,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,60.47486,B,2240.0,PASS,,False,,True,"V2,Human",False,True,True,45.0,14.0,76.7933925,80.0,50.0,55.0,91.117021,True,True,True,True,True,True,True,True,True,True,-1.7857142857142905,3.3482142857142794
2025-04-07,1,003310,대주산업,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,61.715663,B,2265.0,PASS,,False,,True,"V2,Human",False,True,True,45.0,9.0,77.3455565,85.0,50.0,55.0,94.276596,True,True,True,False,True,True,True,False,False,False,19.86754966887416,20.971302428256067
