d0_date,stock_code,stock_name,market,sector,industry,stock_type,d0_open,d0_high,d0_low,d0_close,d0_volume,d0_prev_close,d0_pct_change,d0_trading_value_proxy_eok,d0_volume_vs_20d,d0_value_vs_20d,d0_upper_shadow_ratio,d0_lower_shadow_ratio,d0_range_pct,d0_volume_rank,d0_value_rank,signal_date,trading_day_age,duplicate_active_event_dropped,signal_prev_close,entry_1500_available,entry_1500_price,entry_1500_dt,signal_volume_to_1500,rsi14_signal_1500,signal_minute_rows_to_1500,signal_day_pct_change_1500,signal_vs_d0_close_pct,signal_vs_d0_high_pct,signal_volume_retention_vs_d0,pool_f_base,pool_f_refined_d0,pool_signal_balanced,daily3_active_score,entry_price_1500,signal_trading_value_to_1500_eok,source_universe,selection_feature_scope,weak_volume,deep_d0_high_gap,deep_d0_close_gap,old_watch_age,weak_signal_day,candidate_weak_flag_count,candidate_weak,proxy_rank_d0_high_hold,proxy_rank_d0_close_hold,proxy_rank_volume_retention,proxy_rank_signal_strength,proxy_rank_fresh_age,proxy_rank_low_risk,human_proxy_score,source_model_key,source_model_label,source_rank
2025-04-01,065500,오리엔트정공,KOSDAQ,자동차 신품 부품 제조업,"하우징, 리테이너베어링",COMMON,10060,13070,9690,13070,16404877,10060.0,29.92047713717694,2144.1174239,1.273211027400254,1.8497574349127415,0.0,0.10946745562130178,34.88132094943241,9.0,6.0,2025-04-02,1,False,13070.0,True,16290.0,2025-04-02 15:00:00,46293781.0,47.20812182741117,358,24.63657230298393,24.63657230298393,24.63657230298393,282.1952337710304,False,False,False,55.0,16290.0,7541.2569249,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,0.9811320754716981,0.9811320754716981,1.0,0.9622641509433962,0.8962264150943396,0.8867924528301887,95.764151,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,1
2025-04-01,093240,형지엘리트,KOSPI,봉제의복 제조업,"학생복,스포츠의류,작업복 제조,도매",COMMON,2182,2828,2064,2828,26386934,2177.0,29.903536977491953,746.22249352,5.141771146319892,7.005114891832039,0.0,0.1544502617801047,37.01550387596899,4.0,31.0,2025-04-02,1,False,2828.0,True,3373.0,2025-04-02 15:00:00,37265010.0,49.08579465541491,356,19.27157001414428,19.27157001414428,19.27157001414428,141.225236702377,False,False,False,48.0,3373.0,1256.9487873,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,0.9622641509433962,0.9622641509433962,0.9622641509433962,0.9433962264150944,0.8962264150943396,0.8867924528301887,94.04717,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,2
2025-04-01,002630,오리엔트바이오,KOSPI,의약품 제조업,의약품 제조,COMMON,1584,2055,1505,2055,36584761,1584.0,29.734848484848484,751.81683855,2.6756315181622536,3.320727551582162,0.0,0.14363636363636365,36.544850498338874,1.0,30.0,2025-04-02,1,False,2055.0,True,2335.0,2025-04-02 15:00:00,87050729.0,42.519685039370074,359,13.625304136253046,13.625304136253046,13.625304136253046,237.94259309224407,False,False,False,55.0,2335.0,2032.63452215,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,0.9433962264150944,0.9433962264150944,0.9811320754716981,0.9245283018867925,0.8962264150943396,0.8867924528301887,93.349057,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,3
2025-04-02,098070,한텍,KOSDAQ,일반 목적용 기계 제조업,"열교환기 등 화공기기, 저장용 탱크",COMMON,25250,31450,24700,31450,11261551,24200.0,29.95867768595042,3541.7577895,1.3880707762721234,1.5034396821962004,0.0,0.08148148148148149,27.327935222672068,18.0,4.0,2025-04-03,1,False,31450.0,True,32750.0,2025-04-03 15:00:00,7285432.0,65.67164179104478,361,4.133545310015907,4.133545310015907,4.133545310015907,64.69297168747005,False,False,True,63.0,32750.0,2385.97898,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,1.0,0.9787234042553191,0.8723404255319149,0.9361702127659575,0.9148936170212766,0.9148936170212766,94.06383,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,1
2025-04-01,052220,iMBC,KOSDAQ,영상·오디오물 제공 서비스업,"디지털콘텐츠,웹에이젼시",COMMON,4015,5260,4000,5260,19121036,4060.0,29.556650246305427,1005.7664936,7.881161816504426,9.699299262719462,0.0,0.011904761904761904,31.5,7.0,20.0,2025-04-03,2,False,5060.0,True,5370.0,2025-04-03 15:00:00,20088313.0,60.526315789473685,360,6.126482213438744,2.091254752851701,2.091254752851701,105.05870602408783,False,False,True,82.75,5370.0,1078.7424081,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,0.9787234042553191,0.9361702127659575,0.9787234042553191,0.9787234042553191,0.723404255319149,0.9148936170212766,92.510638,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,2
2025-04-02,008970,KBI동양철관,KOSPI,1차 철강 제조업,"수도용 도복장 강관,주물(강관말뚝),가스관 제조/아파트건설",COMMON,1999,2170,1979,2033,36299856,1983.0,2.521432173474536,737.97607248,0.9084961432246097,0.9047172946748617,0.7172774869109948,0.10471204188481675,9.651339060131379,5.0,39.0,2025-04-03,1,False,2033.0,True,2048.0,2025-04-03 15:00:00,27900825.0,40.57971014492754,361,0.7378258730939447,0.7378258730939447,-5.622119815668203,76.86208176693593,False,False,True,88.0,2048.0,571.408896,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,0.851063829787234,0.9148936170212766,0.9574468085106383,0.8085106382978723,0.9148936170212766,0.9148936170212766,89.255319,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,3
2025-04-03,004770,써니전자,KOSPI,전자부품 제조업,"수정진동자,수정발진기,초음파지연선,MCF,축수나사 제조,도매,수출입",COMMON,2220,2655,2210,2350,10883357,2245.0,4.677060133630295,255.7588895,14.632256782506833,15.681552671165637,0.6853932584269663,0.02247191011235955,20.13574660633484,15.0,112.0,2025-04-04,1,False,2350.0,True,3055.0,2025-04-04 15:00:00,31047223.0,50.0,357,30.000000000000004,30.000000000000004,15.065913370998118,285.27248531863836,False,False,False,40.0,3055.0,948.49266265,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,1.0,1.0,0.9787234042553191,1.0,0.9574468085106383,0.9574468085106383,98.468085,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,1
2025-04-02,308100,형지글로벌,KOSDAQ,"섬유, 의복, 신발 및 가죽제품 소매업",골프의류 및 골프잡화,COMMON,5208,6316,4690,6316,17782082,4861.0,29.932112734005358,1123.11629912,29.851968861897678,45.15781001261222,0.0,0.31857318573185733,34.66950959488273,10.0,20.0,2025-04-04,2,False,6316.0,True,6822.0,2025-04-04 15:00:00,14963297.0,53.09017223910841,343,8.011399620012671,8.011399620012671,8.011399620012671,84.14817230063386,False,False,True,68.75,6822.0,1020.79612134,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,0.9787234042553191,0.9574468085106383,0.851063829787234,0.9574468085106383,0.8085106382978723,0.9574468085106383,92.06383,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,2
2025-04-01,007110,일신석재,KOSPI,"건축자재, 철물 및 난방장치 도매업","건축석 제조,도소매/석공예,석공사",COMMON,1940,2080,1851,2005,15968847,1764.0,13.662131519274379,320.17538235,8.50526600262569,8.522481286600465,0.32751091703056767,0.388646288209607,12.371690977849811,10.0,86.0,2025-04-04,3,False,2060.0,True,2240.0,2025-04-04 15:00:00,20930732.0,64.42307692307692,360,8.737864077669899,11.72069825436408,7.692307692307687,131.07228092297458,False,False,True,37.5,2240.0,468.8483968,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,0.9574468085106383,0.9787234042553191,0.9361702127659575,0.9787234042553191,0.6276595744680851,0.9574468085106383,91.117021,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,3
2025-04-04,013990,아가방컴퍼니,KOSDAQ,생활용품 도매업,유아용 의류 및 용품,COMMON,5700,7110,5140,6740,10014986,5580.0,20.78853046594982,675.0100564,22.615296113449233,28.489042850133366,0.18781725888324874,0.28426395939086296,38.32684824902724,22.0,57.0,2025-04-07,1,False,6740.0,True,8090.0,2025-04-07 15:00:00,11059486.0,70.96774193548387,357,20.029673590504448,20.029673590504448,13.783403656821381,110.42937054530083,False,False,False,56.0,8090.0,894.7124174,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,False,False,False,False,False,0,False,1.0,1.0,0.9148936170212766,1.0,0.9361702127659575,0.9148936170212766,96.489362,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,1
