strategy_key,period_key,as_of_date,rows,complete_d5_rows,h5_plus1_touch_rate_pct,h5_minus2_touch_rate_pct,avg_ret_d5_close_pct
V3_C_RISK_CONTROL,ROLLING_5TD,2026-06-01,15,0,,,
V3_C_RISK_CONTROL,ROLLING_10TD,2026-06-01,30,15,86.66666666666667,93.33333333333333,-10.161151017665706
V3_C_RISK_CONTROL,ROLLING_20TD,2026-06-01,60,45,84.44444444444444,82.22222222222221,-0.21126572896383666
V3_C_RISK_CONTROL,ROLLING_60TD,2026-06-01,180,165,89.0909090909091,84.84848484848484,3.590228701835227
V3_C_RISK_CONTROL,ROLLING_120TD,2026-06-01,360,345,90.43478260869566,84.34782608695653,3.6740262300338666
V3_D_V2_CONFIRM,ROLLING_5TD,2026-06-01,15,0,,,
V3_D_V2_CONFIRM,ROLLING_10TD,2026-06-01,30,15,93.33333333333333,86.66666666666667,-2.0744913754777143
V3_D_V2_CONFIRM,ROLLING_20TD,2026-06-01,60,45,88.88888888888889,88.88888888888889,-0.32855923254326364
V3_D_V2_CONFIRM,ROLLING_60TD,2026-06-01,180,165,87.27272727272727,89.6969696969697,0.735349844269521
V3_D_V2_CONFIRM,ROLLING_120TD,2026-06-01,360,345,89.85507246376811,83.18840579710145,2.233697670376658
