v3_variant,signal_date,eod_count,v3_count,overlap_count,eod_only_count,v3_only_count,overlap_codes,eod_only_codes,v3_only_codes
V3_D_V2_CONFIRM,2025-04-02,3,3,3,0,0,005930|463480|484810,,
V3_D_V2_CONFIRM,2025-04-03,3,3,3,0,0,005930|065500|098070,,
V3_D_V2_CONFIRM,2025-04-04,3,3,2,1,1,005930|098070,065500,042660
V3_D_V2_CONFIRM,2025-04-07,3,3,3,0,0,005930|065500|098070,,
V3_D_V2_CONFIRM,2025-04-08,3,3,2,1,1,005930|098070,484810,065500
V3_D_V2_CONFIRM,2025-04-09,3,3,2,1,1,005930|098070,484810,042660
V3_D_V2_CONFIRM,2025-04-10,3,3,3,0,0,005930|013580|098070,,
V3_D_V2_CONFIRM,2025-04-11,3,3,3,0,0,005930|008970|098070,,
V3_D_V2_CONFIRM,2025-04-14,3,3,3,0,0,005930|008970|098070,,
V3_D_V2_CONFIRM,2025-04-15,3,3,2,1,1,005930|098070,013580,008970
V3_D_V2_CONFIRM,2025-04-16,3,3,1,2,2,005930,013580|098070,008970|042660
V3_D_V2_CONFIRM,2025-04-17,3,3,1,2,2,005930,013580|098070,008970|272210
V3_D_V2_CONFIRM,2025-04-18,3,3,2,1,1,005930|013580,098070,008970
V3_D_V2_CONFIRM,2025-04-21,3,3,1,2,2,005930,013580|098070,008970|034020
V3_D_V2_CONFIRM,2025-04-22,3,3,2,1,1,005930|098070,065500,034020
V3_D_V2_CONFIRM,2025-04-23,3,3,1,2,2,005930,013580|098070,034020|298380
V3_D_V2_CONFIRM,2025-04-24,3,3,1,2,2,005930,065500|098070,034020|298380
V3_D_V2_CONFIRM,2025-04-25,3,3,1,2,2,005930,065500|382150,034020|298380
V3_D_V2_CONFIRM,2025-04-28,3,3,1,2,2,005930,065500|382150,298380|489790
V3_D_V2_CONFIRM,2025-04-29,3,3,1,2,2,005930,010140|065500,094840|462860
V3_D_V2_CONFIRM,2025-04-30,3,3,2,1,1,005930|065500,010140,161000
V3_D_V2_CONFIRM,2025-05-02,3,3,0,3,3,,005930|010140|081180,065500|161000|226590
V3_D_V2_CONFIRM,2025-05-07,3,3,1,2,2,005930,010140|081180,065500|161000
V3_D_V2_CONFIRM,2025-05-08,3,3,1,2,2,005930,010140|081180,065500|098460
V3_D_V2_CONFIRM,2025-05-09,3,3,1,2,2,005930,081180|389140,051910|373220
V3_D_V2_CONFIRM,2025-05-12,3,3,1,2,2,005930,081180|389140,000100|098460
V3_D_V2_CONFIRM,2025-05-13,3,3,1,2,2,005930,081180|389140,051910|373220
V3_D_V2_CONFIRM,2025-05-14,3,3,1,2,2,005930,081180|389140,051910|373220
V3_D_V2_CONFIRM,2025-05-15,3,3,2,1,1,005930|034020,459510,373220
V3_D_V2_CONFIRM,2025-05-16,3,3,1,2,2,005930,376900|459510,003670|373220
V3_D_V2_CONFIRM,2025-05-19,3,3,1,2,2,034020,005930|376900,003670|373220
V3_D_V2_CONFIRM,2025-05-20,3,3,1,2,2,034020,005930|376900,003670|096770
V3_D_V2_CONFIRM,2025-05-21,3,3,1,2,2,034020,005930|376900,003670|096770
V3_D_V2_CONFIRM,2025-05-22,3,3,1,2,2,034020,005930|376900,017670|161390
V3_D_V2_CONFIRM,2025-05-23,3,3,1,2,2,034020,005930|376900,047050|138040
V3_D_V2_CONFIRM,2025-05-26,3,3,1,2,2,034020,005930|376900,097950|326030
V3_D_V2_CONFIRM,2025-05-27,3,3,1,2,2,034020,005930|376900,010130|138040
V3_D_V2_CONFIRM,2025-05-28,3,3,1,2,2,005930,010140|376900,011790|489790
V3_D_V2_CONFIRM,2025-05-29,3,3,1,2,2,005930,010140|376900,009830|489790
V3_D_V2_CONFIRM,2025-05-30,3,3,1,2,2,005930,010140|034020,009830|010130
V3_D_V2_CONFIRM,2025-06-02,3,3,1,2,2,005930,034020|459510,450080|489790
V3_D_V2_CONFIRM,2025-06-04,3,3,0,3,3,,005930|034020|459510,306200|450080|489790
V3_D_V2_CONFIRM,2025-06-05,3,3,1,2,2,034020,005930|459510,009830|489790
V3_D_V2_CONFIRM,2025-06-09,3,3,1,2,2,034020,005930|010140,082740|489790
V3_D_V2_CONFIRM,2025-06-10,3,3,1,2,2,034020,005930|035720,009830|489790
V3_D_V2_CONFIRM,2025-06-11,3,3,1,2,2,272210,005930|035720,066970|489790
V3_D_V2_CONFIRM,2025-06-12,3,3,2,1,1,009830|034020,005930,004370
V3_D_V2_CONFIRM,2025-06-13,3,3,1,2,2,034020,005930|042660,079900|489790
V3_D_V2_CONFIRM,2025-06-16,3,3,1,2,2,034020,005930|042660,015760|128940
