strategy_key,strategy_label,strategy_family,group_type,rows,signal_days,date_min,date_max,horizon,plus_threshold_pct,minus_threshold_pct,eligible_rows,plus_first_day_order_rate_pct,minus_first_day_order_rate_pct,same_day_ambiguous_rate_pct,neither_touched_rate_pct,both_touched_any_order_rate_pct
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1,1.0,-1.0,768,22.135416666666664,23.4375,54.427083333333336,0.0,54.427083333333336
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1,1.0,-2.0,768,34.89583333333333,21.875,41.66666666666667,1.5625,41.66666666666667
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1,1.0,-3.0,768,46.74479166666667,20.3125,29.817708333333332,3.125,29.817708333333332
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1,1.3,-1.0,768,22.135416666666664,26.5625,51.302083333333336,0.0,51.302083333333336
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1,1.3,-2.0,768,34.50520833333333,24.609375,38.93229166666667,1.953125,38.93229166666667
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1,1.3,-3.0,768,45.96354166666667,22.65625,27.473958333333332,3.90625,27.473958333333332
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1,2.0,-1.0,768,21.354166666666664,34.765625,43.09895833333333,0.78125,43.09895833333333
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1,2.0,-2.0,768,32.03125,31.119791666666668,32.421875,4.427083333333334,32.421875
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1,2.0,-3.0,768,41.92708333333333,27.604166666666668,22.526041666666664,7.942708333333333,22.526041666666664
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1,3.0,-1.0,768,19.791666666666664,44.40104166666667,33.46354166666667,2.34375,33.46354166666667
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1,3.0,-2.0,768,28.255208333333332,38.54166666666667,25.0,8.203125,25.0
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1,3.0,-3.0,768,36.19791666666667,33.07291666666667,17.057291666666664,13.671875,17.057291666666664
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+2,1.0,-1.0,768,22.135416666666664,23.4375,54.427083333333336,0.0,69.27083333333334
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+2,1.0,-2.0,768,35.546875,22.395833333333336,41.92708333333333,0.13020833333333331,60.286458333333336
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+2,1.0,-3.0,768,47.78645833333333,21.614583333333336,29.947916666666668,0.6510416666666667,49.86979166666667
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+2,1.3,-1.0,768,22.135416666666664,26.5625,51.302083333333336,0.0,66.66666666666666
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+2,1.3,-2.0,768,35.15625,25.130208333333332,39.453125,0.26041666666666663,57.8125
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+2,1.3,-3.0,768,47.39583333333333,24.088541666666664,27.734375,0.78125,47.39583333333333
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+2,2.0,-1.0,768,21.744791666666664,35.02604166666667,43.09895833333333,0.13020833333333331,60.026041666666664
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+2,2.0,-2.0,768,33.59375,32.8125,32.8125,0.78125,51.5625
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+2,2.0,-3.0,768,44.53125,30.078125,23.046875,2.34375,42.1875
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+2,3.0,-1.0,768,20.833333333333336,45.3125,33.46354166666667,0.390625,51.953125
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+2,3.0,-2.0,768,30.989583333333332,42.05729166666667,25.390625,1.5625,44.01041666666667
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+2,3.0,-3.0,768,40.625,37.63020833333333,17.578125,4.166666666666666,35.67708333333333
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+3,1.0,-1.0,768,22.135416666666664,23.4375,54.427083333333336,0.0,75.390625
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+3,1.0,-2.0,768,35.67708333333333,22.395833333333336,41.92708333333333,0.0,67.70833333333334
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+3,1.0,-3.0,768,47.91666666666667,22.005208333333336,29.947916666666668,0.13020833333333331,58.463541666666664
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+3,1.3,-1.0,768,22.135416666666664,26.5625,51.302083333333336,0.0,73.30729166666666
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+3,1.3,-2.0,768,35.28645833333333,25.130208333333332,39.453125,0.13020833333333331,65.75520833333334
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+3,1.3,-3.0,768,47.52604166666667,24.479166666666664,27.734375,0.26041666666666663,56.510416666666664
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+3,2.0,-1.0,768,21.744791666666664,35.02604166666667,43.09895833333333,0.13020833333333331,67.05729166666666
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+3,2.0,-2.0,768,33.72395833333333,32.94270833333333,32.8125,0.5208333333333333,59.765625
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+3,2.0,-3.0,768,44.921875,31.119791666666668,23.046875,0.9114583333333334,50.78125
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+3,3.0,-1.0,768,20.833333333333336,45.3125,33.59375,0.26041666666666663,59.895833333333336
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+3,3.0,-2.0,768,31.640625,42.1875,25.390625,0.78125,52.734375
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+3,3.0,-3.0,768,41.796875,39.19270833333333,17.578125,1.4322916666666665,44.01041666666667
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+4,1.0,-1.0,768,22.135416666666664,23.4375,54.427083333333336,0.0,77.99479166666666
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+4,1.0,-2.0,768,35.67708333333333,22.395833333333336,41.92708333333333,0.0,71.484375
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+4,1.0,-3.0,768,48.046875,22.005208333333336,29.947916666666668,0.0,63.671875
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+4,1.3,-1.0,768,22.135416666666664,26.5625,51.302083333333336,0.0,76.30208333333334
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+4,1.3,-2.0,768,35.28645833333333,25.130208333333332,39.453125,0.13020833333333331,69.921875
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+4,1.3,-3.0,768,47.65625,24.479166666666664,27.734375,0.13020833333333331,62.109375
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+4,2.0,-1.0,768,21.744791666666664,35.15625,43.09895833333333,0.0,70.3125
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+4,2.0,-2.0,768,33.72395833333333,32.94270833333333,32.8125,0.5208333333333333,64.32291666666666
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+4,2.0,-3.0,768,45.05208333333333,31.119791666666668,23.046875,0.78125,56.770833333333336
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+4,3.0,-1.0,768,20.833333333333336,45.44270833333333,33.59375,0.13020833333333331,64.453125
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+4,3.0,-2.0,768,31.640625,42.1875,25.520833333333332,0.6510416666666667,58.463541666666664
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+4,3.0,-3.0,768,41.92708333333333,39.32291666666667,17.708333333333336,1.0416666666666665,51.041666666666664
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+5,1.0,-1.0,768,22.135416666666664,23.4375,54.427083333333336,0.0,79.16666666666666
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+5,1.0,-2.0,768,35.67708333333333,22.395833333333336,41.92708333333333,0.0,72.65625
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+5,1.0,-3.0,768,48.046875,22.005208333333336,29.947916666666668,0.0,66.53645833333334
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+5,1.3,-1.0,768,22.135416666666664,26.5625,51.302083333333336,0.0,77.34375
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+5,1.3,-2.0,768,35.28645833333333,25.130208333333332,39.453125,0.13020833333333331,70.96354166666666
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+5,1.3,-3.0,768,47.65625,24.479166666666664,27.734375,0.13020833333333331,64.84375
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+5,2.0,-1.0,768,21.744791666666664,35.15625,43.09895833333333,0.0,71.74479166666666
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+5,2.0,-2.0,768,33.72395833333333,32.94270833333333,32.8125,0.5208333333333333,65.75520833333334
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+5,2.0,-3.0,768,45.05208333333333,31.119791666666668,23.046875,0.78125,59.895833333333336
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+5,3.0,-1.0,768,20.963541666666664,45.44270833333333,33.59375,0.0,66.015625
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+5,3.0,-2.0,768,31.770833333333332,42.1875,25.520833333333332,0.5208333333333333,60.026041666666664
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+5,3.0,-3.0,768,42.05729166666667,39.32291666666667,17.708333333333336,0.9114583333333334,54.296875
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+1,1.0,-1.0,749,28.437917222963954,25.901201602136183,45.12683578104139,0.5340453938584779,45.12683578104139
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+1,1.0,-2.0,749,35.51401869158878,25.100133511348467,38.05073431241656,1.335113484646195,38.05073431241656
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+1,1.0,-3.0,749,44.192256341789054,22.696929238985312,29.372496662216292,3.7383177570093453,29.372496662216292
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+1,1.3,-1.0,749,28.304405874499334,28.971962616822427,42.05607476635514,0.6675567423230975,42.05607476635514
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+1,1.3,-2.0,749,35.24699599465955,28.037383177570092,35.11348464619493,1.602136181575434,35.11348464619493
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+1,1.3,-3.0,749,43.65821094793058,25.367156208277702,26.702269692923895,4.2723631508678235,26.702269692923895
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+1,2.0,-1.0,749,27.770360480640853,33.77837116154873,37.24966622162884,1.2016021361815754,37.24966622162884
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+1,2.0,-2.0,749,34.445927903871834,32.576769025367156,30.574098798397863,2.403204272363151,30.574098798397863
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+1,2.0,-3.0,749,42.323097463284384,29.372496662216292,22.696929238985312,5.607476635514018,22.696929238985312
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+1,3.0,-1.0,749,26.702269692923895,42.18958611481976,28.83845126835781,2.2696929238985315,28.83845126835781
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+1,3.0,-2.0,749,31.90921228304406,39.519359145527375,23.63150867823765,4.939919893190922,23.63150867823765
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+1,3.0,-3.0,749,38.71829105473965,35.24699599465955,16.822429906542055,9.212283044058744,16.822429906542055
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+2,1.0,-1.0,749,28.83845126835781,25.901201602136183,45.26034712950601,0.0,57.14285714285714
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+2,1.0,-2.0,749,36.315086782376504,25.233644859813083,38.184245660881174,0.26702269692923897,51.66889185580774
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+2,1.0,-3.0,749,46.061415220293725,23.49799732977303,29.906542056074763,0.5340453938584779,43.925233644859816
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+2,1.3,-1.0,749,28.704939919893192,29.10547396528705,42.18958611481976,0.0,55.140186915887845
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+2,1.3,-2.0,749,36.048064085447265,28.304405874499334,35.380507343124165,0.26702269692923897,49.66622162883845
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+2,1.3,-3.0,749,45.52736982643525,26.301735647530037,27.50333778371162,0.6675567423230975,42.05607476635514
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+2,2.0,-1.0,749,28.437917222963954,33.91188251001335,37.38317757009346,0.26702269692923897,51.00133511348465
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+2,2.0,-2.0,749,35.24699599465955,32.97730307076102,30.8411214953271,0.9345794392523363,45.92790387182911
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+2,2.0,-3.0,749,43.925233644859816,30.574098798397863,23.63150867823765,1.8691588785046727,38.851802403204275
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+2,3.0,-1.0,749,27.903871829105476,42.323097463284384,28.971962616822427,0.801068090787717,44.32576769025367
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+2,3.0,-2.0,749,34.31241655540721,40.453938584779706,23.76502002670227,1.4686248331108143,39.25233644859813
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+2,3.0,-3.0,749,42.18958611481976,37.516688918558074,17.489986648865152,2.803738317757009,32.576769025367156
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+3,1.0,-1.0,749,28.83845126835781,25.901201602136183,45.26034712950601,0.0,61.94926568758344
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+3,1.0,-2.0,749,36.315086782376504,25.367156208277702,38.184245660881174,0.13351134846461948,56.60881174899867
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+3,1.0,-3.0,749,46.061415220293725,23.63150867823765,29.906542056074763,0.4005340453938585,50.86782376502003
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+3,1.3,-1.0,749,28.704939919893192,29.10547396528705,42.18958611481976,0.0,60.48064085447263
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+3,1.3,-2.0,749,36.048064085447265,28.437917222963954,35.380507343124165,0.13351134846461948,55.140186915887845
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+3,1.3,-3.0,749,45.52736982643525,26.56875834445928,27.50333778371162,0.4005340453938585,49.39919893190921
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+3,2.0,-1.0,749,28.57142857142857,33.91188251001335,37.38317757009346,0.13351134846461948,57.14285714285714
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+3,2.0,-2.0,749,35.647530040053404,33.11081441922563,30.8411214953271,0.4005340453938585,51.93591455273698
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+3,2.0,-3.0,749,44.726301735647525,30.97463284379172,23.63150867823765,0.6675567423230975,46.19492656875834
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+3,3.0,-1.0,749,28.17089452603471,42.323097463284384,28.971962616822427,0.5340453938584779,51.4018691588785
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+3,3.0,-2.0,749,34.712950600801065,40.58744993324432,23.76502002670227,0.9345794392523363,46.32843791722296
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+3,3.0,-3.0,749,43.1241655540721,38.05073431241656,17.489986648865152,1.335113484646195,40.720961281708945
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+4,1.0,-1.0,749,28.83845126835781,25.901201602136183,45.26034712950601,0.0,64.88651535380508
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+4,1.0,-2.0,749,36.315086782376504,25.367156208277702,38.184245660881174,0.13351134846461948,59.41255006675568
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+4,1.0,-3.0,749,46.19492656875834,23.76502002670227,29.906542056074763,0.13351134846461948,53.67156208277704
