strategy_key,strategy_label,strategy_family,group_type,rows,signal_days,date_min,date_max,d1_eligible_rows,d2_eligible_rows,d3_eligible_rows,d4_eligible_rows,d5_eligible_rows
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,768,768,768,768,768
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,749,749,749,749,749
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,828,828,828,828,828
EOD_ACTIVE_WATCH_LATEST_TOP3,현재 EOD웹훅 Top3,baseline,base,843,281,2025-04-02,2026-05-28,840,837,834,831,828
EOD_AND_V3_C_AND_D_OVERLAP,EOD ∩ V3-C ∩ V3-D,overlap,overlap,259,200,2025-04-02,2026-05-28,256,253,250,247,244
EOD_HUMAN_PROXY_A,EOD Human Proxy,baseline,base,275,275,2025-04-02,2026-05-19,275,275,275,275,275
EOD_MECHANICAL_TOP1,EOD Top1,baseline,base,275,275,2025-04-02,2026-05-19,275,275,275,275,275
EOD_MECHANICAL_TOP3,EOD Top3,baseline,base,825,275,2025-04-02,2026-05-19,825,825,825,825,825
LEGACY_CLASSIC_WEBHOOK_TOP3,Legacy 웹훅,baseline,base,755,252,2025-04-29,2026-05-13,755,755,755,755,755
P0_COMPARE_P0_TRADING_VALUE_TOP3,P0 거래대금 Top3,baseline,base,753,251,2025-04-29,2026-05-13,753,753,753,753,753
V2_HYBRID_HYBRID_D0_RISK_FILTER,V2 Hybrid,baseline,base,759,253,2025-04-29,2026-05-14,759,759,759,759,759
V2_RECORD_V2,V2 기록,baseline,base,753,251,2025-04-29,2026-05-13,753,753,753,753,753
V3_A_CONSENSUS_WEIGHTED,V3-A 합의,V3,base,846,282,2025-04-01,2026-05-28,843,840,837,834,831
V3_B_WINRATE_ORIENTED,V3_B_WINRATE_ORIENTED,V3,base,846,282,2025-04-01,2026-05-28,843,840,837,834,831
V3_C_AND_D_OVERLAP,V3-C ∩ V3-D,overlap,overlap,643,282,2025-04-01,2026-05-28,640,637,634,631,628
V3_C_RISK_CONTROL,V3-C 리스크,V3,base,846,282,2025-04-01,2026-05-28,843,840,837,834,831
V3_C_RISK_CONTROL_EOD_OVERLAP,V3-C 리스크 ∩ EOD,overlap,overlap,421,256,2025-04-02,2026-05-28,418,415,412,409,406
V3_C_RISK_CONTROL_V3_ONLY,V3-C 리스크 only,overlap,overlap,425,260,2025-04-01,2026-05-19,425,425,425,425,425
V3_D_V2_CONFIRM,V3-D V2 확인,V3,base,846,282,2025-04-01,2026-05-28,843,840,837,834,831
V3_D_V2_CONFIRM_EOD_OVERLAP,V3-D V2 확인 ∩ EOD,overlap,overlap,276,206,2025-04-02,2026-05-28,273,270,267,264,261
V3_D_V2_CONFIRM_V3_ONLY,V3-D V2 확인 only,overlap,overlap,570,267,2025-04-01,2026-05-19,570,570,570,570,570
V3_E_EOD_FIRST_STABLE,V3-E EOD 보존,V3,base,846,282,2025-04-01,2026-05-28,843,840,837,834,831
V3_F_V2_AGGRESSIVE,V3_F_V2_AGGRESSIVE,V3,base,846,282,2025-04-01,2026-05-28,843,840,837,834,831
