strategy_key,strategy_label,strategy_family,group_type,rows,signal_days,date_min,date_max,horizon,direction,threshold_pct,eligible_rows,single_day_touch_rate_pct,cum_touch_rate_pct,close_at_horizon_rate_pct,close_at_horizon_avg_pct,close_at_horizon_median_pct
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1,plus,1.0,768,76.5625,76.5625,32.03125,0.9004420208341326,-0.785638077435169
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1,plus,1.3,768,73.4375,73.4375,30.208333333333332,0.9004420208341326,-0.785638077435169
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1,plus,2.0,768,64.453125,64.453125,26.302083333333332,0.9004420208341326,-0.785638077435169
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1,plus,3.0,768,53.255208333333336,53.255208333333336,21.354166666666664,0.9004420208341326,-0.785638077435169
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1,minus,-1.0,768,77.86458333333334,77.86458333333334,47.52604166666667,0.9004420208341326,-0.785638077435169
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1,minus,-2.0,768,63.541666666666664,63.541666666666664,38.28125,0.9004420208341326,-0.785638077435169
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1,minus,-3.0,768,50.130208333333336,50.130208333333336,28.125,0.9004420208341326,-0.785638077435169
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+2,plus,1.0,768,64.453125,84.375,37.63020833333333,1.2511042204240552,-0.928015827164308
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+2,plus,1.3,768,62.239583333333336,81.77083333333334,35.67708333333333,1.2511042204240552,-0.928015827164308
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+2,plus,2.0,768,56.510416666666664,75.0,32.29166666666667,1.2511042204240552,-0.928015827164308
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+2,plus,3.0,768,50.130208333333336,66.66666666666666,27.994791666666668,1.2511042204240552,-0.928015827164308
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+2,minus,-1.0,768,67.70833333333334,84.89583333333334,49.21875,1.2511042204240552,-0.928015827164308
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+2,minus,-2.0,768,61.328125,75.78125,42.578125,1.2511042204240552,-0.928015827164308
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+2,minus,-3.0,768,52.604166666666664,64.84375,35.15625,1.2511042204240552,-0.928015827164308
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+3,plus,1.0,768,58.854166666666664,87.63020833333334,36.84895833333333,1.2719100337097233,-1.3698915701042036
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+3,plus,1.3,768,57.161458333333336,85.546875,35.41666666666667,1.2719100337097233,-1.3698915701042036
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+3,plus,2.0,768,52.34375,79.16666666666666,33.33333333333333,1.2719100337097233,-1.3698915701042036
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+3,plus,3.0,768,47.78645833333333,71.875,29.036458333333332,1.2719100337097233,-1.3698915701042036
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+3,minus,-1.0,768,66.66666666666666,87.76041666666666,52.34375,1.2719100337097233,-1.3698915701042036
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+3,minus,-2.0,768,60.807291666666664,80.078125,45.18229166666667,1.2719100337097233,-1.3698915701042036
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+3,minus,-3.0,768,53.776041666666664,70.703125,39.58333333333333,1.2719100337097233,-1.3698915701042036
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+4,plus,1.0,768,54.947916666666664,89.19270833333334,38.15104166666667,1.3972709902539993,-1.3969205799543472
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+4,plus,1.3,768,53.645833333333336,87.5,36.58854166666667,1.3972709902539993,-1.3969205799543472
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+4,plus,2.0,768,49.47916666666667,81.51041666666666,33.984375,1.3972709902539993,-1.3969205799543472
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+4,plus,3.0,768,46.35416666666667,75.52083333333334,29.557291666666668,1.3972709902539993,-1.3969205799543472
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+4,minus,-1.0,768,64.97395833333334,88.80208333333334,52.34375,1.3972709902539993,-1.3969205799543472
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+4,minus,-2.0,768,60.286458333333336,82.29166666666666,47.39583333333333,1.3972709902539993,-1.3969205799543472
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+4,minus,-3.0,768,55.46875,74.47916666666666,41.796875,1.3972709902539993,-1.3969205799543472
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+5,plus,1.0,768,51.041666666666664,89.84375,37.76041666666667,1.187860312989913,-1.7795613486549622
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+5,plus,1.3,768,50.520833333333336,88.02083333333334,37.109375,1.187860312989913,-1.7795613486549622
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+5,plus,2.0,768,48.30729166666667,82.421875,34.63541666666667,1.187860312989913,-1.7795613486549622
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+5,plus,3.0,768,45.83333333333333,76.69270833333334,31.380208333333332,1.187860312989913,-1.7795613486549622
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+5,minus,-1.0,768,65.234375,89.32291666666666,53.90625,1.187860312989913,-1.7795613486549622
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+5,minus,-2.0,768,59.895833333333336,82.8125,49.08854166666667,1.187860312989913,-1.7795613486549622
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+5,minus,-3.0,768,54.166666666666664,76.69270833333334,43.88020833333333,1.187860312989913,-1.7795613486549622
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+1,plus,1.0,749,73.56475300400534,73.56475300400534,40.053404539385845,13.72058713309205,-0.2854424357754515
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+1,plus,1.3,749,70.36048064085448,70.36048064085448,38.184245660881174,13.72058713309205,-0.2854424357754515
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+1,plus,2.0,749,65.02002670226969,65.02002670226969,34.979973297730304,13.72058713309205,-0.2854424357754515
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+1,plus,3.0,749,55.54072096128171,55.54072096128171,30.440587449933243,13.72058713309205,-0.2854424357754515
