effective_as_of_date,model_name,EXPANDING_cum_d5_plus13_touch_rate,MTD_cum_d5_plus13_touch_rate,ROLLING_10TD_cum_d5_plus13_touch_rate,ROLLING_120TD_cum_d5_plus13_touch_rate,ROLLING_20TD_cum_d5_plus13_touch_rate,ROLLING_60TD_cum_d5_plus13_touch_rate,YTD_cum_d5_plus13_touch_rate,EXPANDING_cum_d5_minus2_touch_rate,MTD_cum_d5_minus2_touch_rate,ROLLING_10TD_cum_d5_minus2_touch_rate,ROLLING_120TD_cum_d5_minus2_touch_rate,ROLLING_20TD_cum_d5_minus2_touch_rate,ROLLING_60TD_cum_d5_minus2_touch_rate,YTD_cum_d5_minus2_touch_rate,EXPANDING_cum_d5_plus13_before_minus2_rate,MTD_cum_d5_plus13_before_minus2_rate,ROLLING_10TD_cum_d5_plus13_before_minus2_rate,ROLLING_120TD_cum_d5_plus13_before_minus2_rate,ROLLING_20TD_cum_d5_plus13_before_minus2_rate,ROLLING_60TD_cum_d5_plus13_before_minus2_rate,YTD_cum_d5_plus13_before_minus2_rate,EXPANDING_avg_ret_d5_close,MTD_avg_ret_d5_close,ROLLING_10TD_avg_ret_d5_close,ROLLING_120TD_avg_ret_d5_close,ROLLING_20TD_avg_ret_d5_close,ROLLING_60TD_avg_ret_d5_close,YTD_avg_ret_d5_close,EXPANDING_n_d5_eligible_rows,MTD_n_d5_eligible_rows,ROLLING_10TD_n_d5_eligible_rows,ROLLING_120TD_n_d5_eligible_rows,ROLLING_20TD_n_d5_eligible_rows,ROLLING_5TD_n_d5_eligible_rows,ROLLING_60TD_n_d5_eligible_rows,YTD_n_d5_eligible_rows,EXPANDING_sample_status,MTD_sample_status,ROLLING_10TD_sample_status,ROLLING_120TD_sample_status,ROLLING_20TD_sample_status,ROLLING_5TD_sample_status,ROLLING_60TD_sample_status,YTD_sample_status
2025-04-09,BASELINE_EOD_VALUE_TOP3,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.122008587689958,-17.122008587689958,-17.122008587689958,-17.122008587689958,-17.122008587689958,-17.122008587689958,-17.122008587689958,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE
2025-04-09,EOD_ALL_FEATURES_TOP3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.097092855210727,-14.097092855210727,-14.097092855210727,-14.097092855210727,-14.097092855210727,-14.097092855210727,-14.097092855210727,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE
2025-04-09,EOD_CONSERVATIVE_TOP1_TOP3,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.484120691256956,-14.484120691256956,-14.484120691256956,-14.484120691256956,-14.484120691256956,-14.484120691256956,-14.484120691256956,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE
2025-04-09,EOD_DART_TOP3,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.484120691256956,-14.484120691256956,-14.484120691256956,-14.484120691256956,-14.484120691256956,-14.484120691256956,-14.484120691256956,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE
2025-04-09,EOD_FUNDAMENTAL_TOP3,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.484120691256956,-14.484120691256956,-14.484120691256956,-14.484120691256956,-14.484120691256956,-14.484120691256956,-14.484120691256956,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE
2025-04-09,EOD_PRICE_VOLUME_TOP3,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.737575171181154,-14.737575171181154,-14.737575171181154,-14.737575171181154,-14.737575171181154,-14.737575171181154,-14.737575171181154,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE
2025-04-09,EOD_SECTOR_REGIME_TOP3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.097092855210727,-14.097092855210727,-14.097092855210727,-14.097092855210727,-14.097092855210727,-14.097092855210727,-14.097092855210727,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE
2025-04-09,EOD_SUPPLY_DEMAND_TOP3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.350547335134925,-14.350547335134925,-14.350547335134925,-14.350547335134925,-14.350547335134925,-14.350547335134925,-14.350547335134925,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE
2025-04-09,EOD_TECHNICAL_TOP3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,-15.890663853604734,-15.890663853604734,-15.890663853604734,-15.890663853604734,-15.890663853604734,-15.890663853604734,-15.890663853604734,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE
2025-04-10,BASELINE_EOD_VALUE_TOP3,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.525052084314852,-5.525052084314852,-5.525052084314852,-5.525052084314852,-5.525052084314852,-5.525052084314852,-5.525052084314852,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE,LOW_SAMPLE
