model_name,signal_date,selected_count,d1_plus13_success_count,d5_plus13_touch_count,d5_minus2_touch_count,avg_ret_d5_close,avg_cum_d5_mfe_pct,avg_cum_d5_mae_pct,d1_plus13_touch_count,cum_d1_plus13_touch_count,d2_plus13_touch_count,cum_d2_plus13_touch_count,d3_plus13_touch_count,cum_d3_plus13_touch_count,d4_plus13_touch_count,cum_d4_plus13_touch_count,cum_d5_plus13_touch_count
BASELINE_EOD_VALUE_TOP3,2025-04-02,3,0,0,3,-17.122008587689958,2.3468439400809635,-18.109065549843724,2,2,0,2,0,2,0,2,2
BASELINE_EOD_VALUE_TOP3,2025-04-03,3,0,1,3,6.071904419060254,17.636519076332892,-16.325642951296008,3,3,0,3,1,3,1,3,3
BASELINE_EOD_VALUE_TOP3,2025-04-04,3,0,2,3,9.179441931067002,19.52567527971193,-8.900070113867564,2,2,2,2,2,2,2,2,2
BASELINE_EOD_VALUE_TOP3,2025-04-07,3,3,2,1,15.619232958413727,22.15551591238642,-4.72322350433766,3,3,3,3,3,3,3,3,3
BASELINE_EOD_VALUE_TOP3,2025-04-08,3,1,3,2,19.86780814736695,25.5535015076335,-2.5069146009752927,3,3,3,3,3,3,3,3,3
BASELINE_EOD_VALUE_TOP3,2025-04-09,3,3,3,0,18.483866705891586,27.066169988961335,0.7530066357865647,3,3,3,3,3,3,3,3,3
BASELINE_EOD_VALUE_TOP3,2025-04-10,3,1,1,2,-8.226137193754008,6.853741722025734,-10.52662014458633,1,1,1,1,2,2,1,2,2
BASELINE_EOD_VALUE_TOP3,2025-04-11,3,3,1,1,4.786764373847933,19.93726439413987,-2.9983828109311035,3,3,3,3,3,3,2,3,3
BASELINE_EOD_VALUE_TOP3,2025-04-14,3,3,1,2,1.457165771894223,15.669161088147098,-1.148446191322679,3,3,2,3,2,3,1,3,3
BASELINE_EOD_VALUE_TOP3,2025-04-15,3,0,1,3,9.841832037756067,14.495953215052886,-13.47896919300556,1,1,1,1,1,1,1,1,1
BASELINE_EOD_VALUE_TOP3,2025-04-16,3,0,3,2,3.9020094626946444,18.610550643290615,-9.367652197328477,2,2,2,3,2,3,3,3,3
BASELINE_EOD_VALUE_TOP3,2025-04-17,3,1,3,1,9.01763255445219,26.428700166160144,-1.124455784007546,2,2,2,3,2,3,3,3,3
BASELINE_EOD_VALUE_TOP3,2025-04-18,3,2,2,2,-3.2644036314063434,15.515501913183058,-4.62680757406404,2,2,2,2,2,2,2,2,3
BASELINE_EOD_VALUE_TOP3,2025-04-21,3,1,0,2,-10.792515872694961,4.9352169698817505,-13.766975540981685,1,1,2,2,1,2,2,3,3
BASELINE_EOD_VALUE_TOP3,2025-04-22,3,2,1,2,-11.59774986461514,3.659763897019637,-12.152475172492183,3,3,2,3,1,3,1,3,3
BASELINE_EOD_VALUE_TOP3,2025-04-23,3,0,1,2,-4.869979169142806,4.055991008743128,-10.069422785972996,1,1,0,1,0,1,2,2,2
BASELINE_EOD_VALUE_TOP3,2025-04-24,3,1,0,3,-10.449149288946343,2.6861450117653027,-13.541552597580997,2,2,1,3,1,3,1,3,3
BASELINE_EOD_VALUE_TOP3,2025-04-25,3,0,1,3,-0.44188095241949704,4.7135870199739225,-11.016975400206809,1,1,0,1,2,2,0,2,2
BASELINE_EOD_VALUE_TOP3,2025-04-28,3,2,2,3,7.158377692051384,13.772477298731566,-5.1226680553683925,3,3,2,3,2,3,1,3,3
BASELINE_EOD_VALUE_TOP3,2025-04-29,3,1,1,3,2.5728976565584967,11.027738658073789,-3.933839841427748,1,1,1,1,1,1,1,1,1
BASELINE_EOD_VALUE_TOP3,2025-04-30,3,1,2,2,-3.0397053265649823,4.724905102113031,-9.071610886638389,1,1,2,2,2,2,1,2,3
