signal_date,signal_time,code,name,market,d0_date,trading_day_age,bellguard_score,bellguard_live_light,bellguard_reason,bellguard_data_status,score_v2,d0_pct_change,distance_from_d0_high_pct,volume_ratio_vs_20d,upper_shadow_ratio,d0_trading_value,entry_time,entry_price_1500,daily_latest,minute_latest,inst_trade_latest,short_sale_latest,program_latest,daily_detail_latest,credit_trade_latest,sec_lending_latest,optional_data_note
2026-05-15,14:15,067310,하나마이크론,KOSDAQ,2026-05-15,0,79.0098,YELLOW,D0 고가 대비 눌림 적정 / 거래량 증가,OK_REQUIRED_DATA_READY,89.1676,20.179,-3.423,3.878,0.207,624397656000.0,2026-05-15 15:00:00,51900.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,2026-05-15,2026-04-30,2026-04-29,2026-04-27,program:2026-05-15; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-27; lending:missing
2026-05-15,14:15,080220,제주반도체,KOSDAQ,2026-05-14,1,76.35359539926844,GREEN,D0 고가 대비 눌림 적정 / 윗꼬리 낮음 / 거래량 증가,OK_REQUIRED_DATA_READY,75.0214,28.353,-1.176,2.283,0.042,825676966800.0,2026-05-15 15:00:00,80000.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,,2026-04-30,2026-04-29,2026-04-27,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-27; lending:2026-04-27
2026-05-15,14:15,034220,LG디스플레이,KOSPI,2026-05-14,1,74.29439289577027,GREEN,D0 고가 대비 눌림 적정 / 거래량 증가,OK_REQUIRED_DATA_READY,82.1213,8.257,-2.106,3.07,0.219,455378975480.0,2026-05-15 15:00:00,13760.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,,2026-04-30,2026-04-29,2026-04-27,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-27; lending:missing
2026-05-15,14:15,047040,대우건설,KOSPI,2026-05-14,1,67.09122734253638,GREEN,D0 고가 근접 과열 확인 / 윗꼬리 낮음,OK_REQUIRED_DATA_READY,67.0678,12.608,0.0,0.524,0.0,518883279000.0,2026-05-15 15:00:00,27950.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,,2026-04-30,2026-04-29,2026-04-27,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-27; lending:2026-04-27
2026-05-15,14:15,090710,휴림로봇,KOSDAQ,2026-05-15,0,66.33871677087669,GREEN,D0 고가 대비 깊은 눌림 / 윗꼬리 부담 / 거래량 증가,OK_REQUIRED_DATA_READY,26.0132,3.563,-10.96,3.262,0.813,621402913440.0,2026-05-15 15:00:00,12730.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,,2026-04-30,2026-04-29,2026-04-27,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-27; lending:2026-04-27
2026-05-15,14:15,261780,차백신연구소,KOSDAQ,2026-05-15,0,65.12091446795631,YELLOW,D0 고가 대비 눌림 적정 / 20일 대비 거래량 과열,OK_REQUIRED_DATA_READY,73.2749,22.372,-4.921,7.674,0.204,139369946040.0,2026-05-15 15:00:00,4450.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,,2026-04-30,2026-04-29,2026-04-22,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-22; lending:missing
2026-05-15,14:15,088350,한화생명,KOSPI,2026-05-14,1,64.58556727052998,YELLOW,D0 고가 대비 눌림 적정 / 윗꼬리 부담 / 20일 대비 거래량 과열,OK_REQUIRED_DATA_READY,57.7607,10.241,-6.949,5.485,0.439,244404434880.0,2026-05-15 15:00:00,5290.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,,2026-04-30,2026-04-29,2026-04-27,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-27; lending:2026-04-27
2026-05-15,14:15,018880,한온시스템,KOSPI,2026-05-15,0,64.21818969874916,GREEN,D0 고가 대비 깊은 눌림 / 윗꼬리 부담,OK_REQUIRED_DATA_READY,19.3384,2.4,-8.408,1.391,0.797,286388628480.0,2026-05-15 15:00:00,5000.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,,2026-04-30,2026-04-29,2026-04-27,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-27; lending:2026-04-27
2026-05-15,14:15,036540,SFA반도체,KOSDAQ,2026-05-15,0,63.01718231383061,GREEN,D0 고가 대비 깊은 눌림 / 윗꼬리 부담 / 거래량 증가,OK_REQUIRED_DATA_READY,26.9499,6.039,-10.863,2.908,0.695,249297168900.0,2026-05-15 15:00:00,8530.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,,2026-04-30,2026-04-29,2026-04-27,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-27; lending:2026-04-27
2026-05-15,14:15,003280,흥아해운,KOSPI,2026-05-15,0,62.576340692901944,GREEN,D0 고가 대비 깊은 눌림 / 윗꼬리 부담 / 거래량 증가,OK_REQUIRED_DATA_READY,25.1803,2.93,-8.469,2.298,0.591,214889340750.0,2026-05-15 15:00:00,2760.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,,2026-04-30,2026-04-29,2026-04-27,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-27; lending:2026-04-27
2026-05-15,14:15,038500,삼표시멘트,KOSDAQ,2026-05-13,2,59.69342373968773,YELLOW,D0 고가 대비 눌림 적정 / 윗꼬리 부담 / 20일 대비 거래량 과열,OK_REQUIRED_DATA_READY,54.5914,12.59,-7.929,7.074,0.41,433030225360.0,2026-05-15 15:00:00,13810.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,,2026-04-30,2026-04-29,2026-04-27,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-27; lending:2026-04-27
