d0_date,bellguard_r1_cell,bellguard_r1_light,bellguard_r1_score,bellguard_r1_case_key,bellguard_r1_reason,bellguard_r2_cell,bellguard_r2_light,bellguard_r2_score,bellguard_r2_case_key,bellguard_r2_reason,bellguard_r3_cell,bellguard_r3_light,bellguard_r3_score,bellguard_r3_case_key,bellguard_r3_reason,bellguard_green,bellguard_red,bellguard_avg_down,bellguard_count,bellguard_only_count,bellguard_only_codes,date_verdict,overlap_count,overlap_codes,main_dataset
2025-04-29,🔴 더즌 (462860),RED,-13,HYBRID_D0_RISK_FILTER|2025-04-29|R1|462860,-3 먼저 / +5 도달 / -5 도달 / -10 도달 / D1 종가 -3 이하,🔴 슈프리마에이치큐 (094840),RED,-14,HYBRID_D0_RISK_FILTER|2025-04-29|R2|094840,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,🔴 아이스크림에듀 (289010),RED,-13,HYBRID_D0_RISK_FILTER|2025-04-29|R3|289010,-3 먼저 / +5 도달 / -5 도달 / -10 도달 / D1 종가 -3 이하,0.0,3.0,-26.670134014199675,3.0,0.0,,둘 다 위험,3.0,094840|289010|462860,bellguard_1y
2025-04-30,🔴 애경케미칼 (161000),RED,-9,HYBRID_D0_RISK_FILTER|2025-04-30|R1|161000,-3 먼저 / -5 도달 / -10 도달 / D1 종가 양호,🔴 오리엔트정공 (065500),RED,-13,HYBRID_D0_RISK_FILTER|2025-04-30|R2|065500,-3 먼저 / +5 도달 / -5 도달 / -10 도달 / D1 종가 -3 이하,🔴 더즌 (462860),RED,-11,HYBRID_D0_RISK_FILTER|2025-04-30|R3|462860,-3 먼저 / +5 도달 / -5 도달 / -10 도달 / D1 종가 -3 이하,0.0,3.0,-16.970589847249354,3.0,0.0,,둘 다 위험,3.0,065500|161000|462860,bellguard_1y
2025-05-02,🔴 애경케미칼 (161000),RED,-10,HYBRID_D0_RISK_FILTER|2025-05-02|R1|161000,-3 먼저 / -5 도달 / -10 도달,🟢 오리엔트정공 (065500),GREEN,7,HYBRID_D0_RISK_FILTER|2025-05-02|R2|065500,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🟢 엠디바이스 (226590),GREEN,7,HYBRID_D0_RISK_FILTER|2025-05-02|R3|226590,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,2.0,1.0,-4.862331443212956,3.0,0.0,,둘 다 양호,3.0,065500|161000|226590,bellguard_1y
2025-05-07,🔴 애경케미칼 (161000),RED,-12,HYBRID_D0_RISK_FILTER|2025-05-07|R1|161000,-3 먼저 / -5 도달 / D1 종가 -3 이하 / 점심 -3 이하,🔴 오리엔트정공 (065500),RED,-5,HYBRID_D0_RISK_FILTER|2025-05-07|R2|065500,+3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,🟢 삼성전자 (005930),GREEN,7,HYBRID_D0_RISK_FILTER|2025-05-07|R3|005930,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,1.0,2.0,-11.147786687006452,3.0,1.0,005930,HYBRID 방어 우세,2.0,065500|161000,bellguard_1y
2025-05-08,🔴 오리엔트정공 (065500),RED,-14,HYBRID_D0_RISK_FILTER|2025-05-08|R1|065500,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,🔴 엠디바이스 (226590),RED,-2,HYBRID_D0_RISK_FILTER|2025-05-08|R2|226590,-3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🟢 고영 (098460),GREEN,6,HYBRID_D0_RISK_FILTER|2025-05-08|R3|098460,+3 먼저 / +5 도달 / D1 종가 양호,1.0,2.0,-12.653553277118316,3.0,0.0,,둘 다 위험,3.0,065500|098460|226590,bellguard_1y
2025-05-09,🔴 LG에너지솔루션 (373220),RED,-5,HYBRID_D0_RISK_FILTER|2025-05-09|R1|373220,+1 먼저 / -3 먼저 / -5 도달 / D1 종가 양호 / 점심 양호,🔴 LG화학 (051910),RED,-3,HYBRID_D0_RISK_FILTER|2025-05-09|R2|051910,+2 먼저 / -3 먼저 / -5 도달 / D1 종가 양호 / 점심 양호,🔴 포스코퓨처엠 (003670),RED,-3,HYBRID_D0_RISK_FILTER|2025-05-09|R3|003670,+2 먼저 / -3 먼저 / -5 도달 / D1 종가 양호 / 점심 양호,0.0,3.0,-8.138858428798427,3.0,3.0,003670|051910|373220,V2 공격 우세,0.0,,bellguard_1y
2025-05-12,🟢 유한양행 (000100),GREEN,6,HYBRID_D0_RISK_FILTER|2025-05-12|R1|000100,+3 먼저 / D1 종가 양호 / 점심 양호,🟢 SK바이오팜 (326030),GREEN,7,HYBRID_D0_RISK_FILTER|2025-05-12|R2|326030,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🟢 고영 (098460),GREEN,7,HYBRID_D0_RISK_FILTER|2025-05-12|R3|098460,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,3.0,0.0,0.076117393799228,3.0,2.0,000100|326030,HYBRID 방어 우세,1.0,098460,bellguard_1y
2025-05-13,🔴 LG에너지솔루션 (373220),RED,0,HYBRID_D0_RISK_FILTER|2025-05-13|R1|373220,+3 먼저 / -1 먼저 / -5 도달 / -10 도달 / D1 종가 양호,🔴 LG화학 (051910),RED,-5,HYBRID_D0_RISK_FILTER|2025-05-13|R2|051910,+1 먼저 / -3 먼저 / -5 도달 / D1 종가 양호 / 점심 양호,🔴 포스코퓨처엠 (003670),RED,-14,HYBRID_D0_RISK_FILTER|2025-05-13|R3|003670,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,0.0,3.0,-9.265801639753263,3.0,3.0,003670|051910|373220,V2 공격 우세,0.0,,bellguard_1y
2025-05-14,🔴 LG에너지솔루션 (373220),RED,-6,HYBRID_D0_RISK_FILTER|2025-05-14|R1|373220,+2 먼저 / -3 먼저 / -5 도달 / -10 도달 / 점심 양호,🔴 LG화학 (051910),RED,-7,HYBRID_D0_RISK_FILTER|2025-05-14|R2|051910,-3 먼저 / -5 도달 / 점심 양호,🔴 포스코퓨처엠 (003670),RED,-8,HYBRID_D0_RISK_FILTER|2025-05-14|R3|003670,-3 먼저 / -5 도달,0.0,3.0,-9.608916537001212,3.0,3.0,003670|051910|373220,V2 공격 우세,0.0,,bellguard_1y
2025-05-15,🔴 LG에너지솔루션 (373220),RED,-14,HYBRID_D0_RISK_FILTER|2025-05-15|R1|373220,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,🔴 LG화학 (051910),RED,-14,HYBRID_D0_RISK_FILTER|2025-05-15|R2|051910,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,🟢 한전KPS (051600),GREEN,7,HYBRID_D0_RISK_FILTER|2025-05-15|R3|051600,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,1.0,2.0,-7.704599184006374,3.0,3.0,051600|051910|373220,둘 다 위험,0.0,,bellguard_1y
