d0_date,version_key,version_label_ko,candidate_count,green_count,yellow_count,orange_count,red_count,avg_traffic_score,avg_max_up,avg_max_down,avg_d1_close,avg_lunch_1200,best_rank1_light,green_rate,red_rate
2025-04-29,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,0,0,0,3,-13.333333333333334,4.801870493425915,-26.670134014199675,-13.506623231479352,-10.602593862256208,🔴,0.0,1.0
2025-04-30,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,0,0,0,3,-11.0,5.740832889830576,-16.970589847249354,-7.316513377795459,-5.225476071357183,🔴,0.0,1.0
2025-05-02,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,0,1,1.3333333333333333,14.70468257177248,-4.862331443212956,8.63079833305332,2.209673853358296,🔴,0.6666666666666666,0.3333333333333333
2025-05-07,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,1,0,0,2,-3.333333333333333,3.9251984226093,-11.147786687006452,-3.215708257250745,-3.026352129400804,🔴,0.3333333333333333,0.6666666666666666
2025-05-08,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,1,0,0,2,-3.333333333333333,7.0663527411952325,-12.653553277118316,-1.2733473932222166,-0.6605674710690032,🔴,0.3333333333333333,0.6666666666666666
2025-05-09,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,0,0,0,3,-3.6666666666666665,2.325927235188156,-8.138858428798427,1.8418859863711463,0.7507632353647967,🔴,0.0,1.0
2025-05-12,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,3,0,0,0,6.666666666666667,7.014770536530278,0.076117393799228,3.9419688337606487,4.086059354942247,🟢,1.0,0.0
2025-05-13,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,0,0,0,3,-6.333333333333333,0.4519742725295613,-9.265801639753263,-0.7929071455765971,-1.2633992210207854,🔴,0.0,1.0
2025-05-14,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,0,0,0,3,-7.0,1.2632823690546562,-9.608916537001212,-0.9877122990678332,0.0919189116457016,🔴,0.0,1.0
2025-05-15,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,1,0,0,2,-7.0,1.875191467809545,-7.704599184006374,-1.830550608914668,-2.3189636869197137,🔴,0.3333333333333333,0.6666666666666666
2025-05-16,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,0,0,0,3,-3.6666666666666665,1.820960219410643,-8.528268787242451,0.1609665208539038,0.818276446965697,🔴,0.0,1.0
2025-05-19,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,0,0,0,3,-11.666666666666666,0.7649813056535301,-9.648457769080744,-4.357275616197812,-3.847561801790374,🔴,0.0,1.0
2025-05-20,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,0,0,1,2,-4.666666666666667,1.5021598862321757,-5.244614595748065,-1.1335725195808275,-0.2599577973321369,🔴,0.0,0.6666666666666666
2025-05-21,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,0,0,0,3,-4.333333333333333,4.7089489090221965,-4.947657110780308,-1.1166121987392197,-1.721093164265319,🔴,0.0,1.0
2025-05-22,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,0,1,0.3333333333333333,4.536761951325352,-1.7088840421830012,-1.2590501606003577,-1.0019141769573487,🟢,0.6666666666666666,0.3333333333333333
2025-05-23,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,3,0,0,0,5.666666666666667,6.903775078259951,-0.7358695748757212,2.5880876012226293,1.7079339577131,🟢,1.0,0.0
2025-05-26,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,3,0,0,0,5.333333333333333,4.861498589871964,-0.4236023891557379,0.9230150715388944,0.3391334925915257,🟢,1.0,0.0
2025-05-27,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,3,0,0,0,6.666666666666667,5.563773735048351,-0.6958096082177456,1.5494082626971977,2.0488790592367336,🟢,1.0,0.0
2025-05-28,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,1,0,0,2,0.6666666666666666,4.163069968458033,-4.820050596697178,0.6201854301010427,0.6374087615281058,🔴,0.3333333333333333,0.6666666666666666
2025-05-29,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,0,1,-0.3333333333333333,3.7610208362238975,-3.294746329686556,-0.901867598478027,-0.8179299634247831,🔴,0.6666666666666666,0.3333333333333333
2025-05-30,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,3,0,0,0,5.0,8.628138215990605,-0.964643456056528,0.5353990602111169,-0.4507094934193619,🟢,1.0,0.0
2025-06-02,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,0,1,5.0,6.452957031911295,-4.0578775711020825,1.3187831527566196,1.7792471679081303,🟢,0.6666666666666666,0.3333333333333333
2025-06-04,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,3,0,0,0,5.333333333333333,5.49691985280171,-1.4413206582693812,2.3927192004631963,2.820578399309396,🟢,1.0,0.0
2025-06-05,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,0,1,2.6666666666666665,13.079489674491615,-2.0525129411783527,0.0687200232822204,1.2753203698738964,🔴,0.6666666666666666,0.3333333333333333
2025-06-09,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,3,0,0,0,6.0,7.467844882726774,-1.990449187202692,2.072844235267945,2.425764849476423,🟢,1.0,0.0
2025-06-10,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,1,0,0,4.666666666666667,11.313657108024072,-0.5604233085775364,8.560191505228422,6.190650199400541,🟢,0.6666666666666666,0.0
2025-06-11,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,1,0,0,2,4.0,16.253699308402517,-4.012349143979791,1.813793410509179,2.271474591403725,🔴,0.3333333333333333,0.6666666666666666
