case_key,d0_date,d1_date,version_key,version_label_ko,compare_group,candidate_group_dashboard,raw_rank,rank_label,code,name,stock_label,market,sector,industry,regime,candidate_source,source_score,entry_time_1500,entry_price_1500,traffic_light,traffic_icon,traffic_score,traffic_reason,plus1_touch,plus2_touch,plus3_touch,plus5_touch,plus10_touch,minus1_touch,minus2_touch,minus3_touch,minus5_touch,minus10_touch,plus1_first,plus2_first,plus3_first,minus1_first,minus2_first,minus3_first,first_touch_1v1,first_touch_time_1v1,first_touch_2v2,first_touch_time_2v2,first_touch_3v3,first_touch_time_3v3,max_gain_d1d5_from_1500,max_loss_d1d5_from_1500,d5_last_price_return_from_1500,d5_last_time,d1_close_return_pct,lunch_1200_return_pct,tp2_sl3_return_pct,tp3_sl3_return_pct,tp3_sl2_return_pct,recommended_exit_condition_mode,recommended_exit_lunch_mode,d0_ret_pct,d0_gap_pct,d0_upper_shadow_pct,d0_range_pct,d0_trading_value_eok,d0_value_vs_20d,d0_close_vs_ma20_pct,overheat_score,health_score,regime_score,event_risk_note,research_note,d1d5_dates,d1d5_minute_ready,price_scale_anomaly_flag,display_name,rank
HYBRID_D0_RISK_FILTER|2025-04-29|R1|462860,2025-04-29,2025-04-30,HYBRID_D0_RISK_FILTER,벨가드 안정후보,NEW_D0_1500_HYBRID_TOP3,HYBRID_D0_RISK_FILTER_TOP3,1,R1,462860,더즌,더즌 (462860),KOSDAQ,전기 통신업,디지털뱅킹 솔루션(B2B 금융 서비스),correction,BASE_V2,0.5321459749800054,2025-04-29 15:00:00,4890.0,RED,🔴,-13,-3 먼저 / +5 도달 / -5 도달 / -10 도달 / D1 종가 -3 이하,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,True,LOSS_FIRST,2025-04-30 09:00:00,LOSS_FIRST,2025-04-30 09:00:00,LOSS_FIRST,2025-04-30 09:00:00,5.112474437627812,-22.903885480572598,-21.06339468302658,2025-05-09 15:30:00,-14.417177914110423,-5.214723926380371,-2.9999999999999916,-2.9999999999999916,-2.0000000000000018,TP3_SL3_FB1200,LUNCH_1200,21.93548387096773,-1.9354838709677469,5.714285714285716,46.69603524229076,2565.2046735,6.573186825606468,59.62298570994224,0.6475883256528416,0.85,0.62,,재무 건강도 미포함. D0 가격/국면/이벤트 위험필터 기반 shadow 후보.,2025-04-30|2025-05-02|2025-05-07|2025-05-08|2025-05-09,True,False,벨가드 안정후보,1
HYBRID_D0_RISK_FILTER|2025-04-29|R2|094840,2025-04-29,2025-04-30,HYBRID_D0_RISK_FILTER,벨가드 안정후보,NEW_D0_1500_HYBRID_TOP3,HYBRID_D0_RISK_FILTER_TOP3,2,R2,094840,슈프리마에이치큐,슈프리마에이치큐 (094840),KOSDAQ,통신 및 방송 장비 제조업,지문인식솔루션및시스템,correction,BASE_V2,0.4941110443746044,2025-04-29 15:00:00,9300.0,RED,🔴,-14,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,False,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,LOSS_FIRST,2025-04-30 09:00:00,LOSS_FIRST,2025-04-30 09:00:00,LOSS_FIRST,2025-04-30 09:00:00,-1.6129032258064502,-19.354838709677423,-18.602150537634408,2025-05-09 15:30:00,-11.505376344086027,-11.827956989247312,-3.0000000000000027,-3.0000000000000027,-2.0000000000000018,TP3_SL3_FB1200,LUNCH_1200,29.88826815642458,7.4022346368715075,0.0,25.67567567567568,979.274562,13.321123133786536,31.51382309269604,0.5944977100005033,0.85,0.62,,재무 건강도 미포함. D0 가격/국면/이벤트 위험필터 기반 shadow 후보.,2025-04-30|2025-05-02|2025-05-07|2025-05-08|2025-05-09,True,False,벨가드 안정후보,2
HYBRID_D0_RISK_FILTER|2025-04-29|R3|289010,2025-04-29,2025-04-30,HYBRID_D0_RISK_FILTER,벨가드 안정후보,NEW_D0_1500_HYBRID_TOP3,HYBRID_D0_RISK_FILTER_TOP3,3,R3,289010,아이스크림에듀,아이스크림에듀 (289010),KOSDAQ,"서적, 잡지 및 기타 인쇄물 출판업",아이스크림홈런,correction,BASE_V2,0.3894515645021223,2025-04-29 15:00:00,5960.0,RED,🔴,-13,-3 먼저 / +5 도달 / -5 도달 / -10 도달 / D1 종가 -3 이하,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,LOSS_FIRST,2025-04-30 09:00:00,LOSS_FIRST,2025-04-30 09:00:00,LOSS_FIRST,2025-04-30 09:00:00,10.906040268456383,-37.751677852349,-36.24161073825504,2025-05-09 15:30:00,-14.597315436241608,-14.76510067114094,-3.0000000000000027,-3.0000000000000027,-2.0000000000000018,TP3_SL3_FB1200,LUNCH_1200,3.872053872053871,3.872053872053871,7.94165316045381,22.878228782287824,706.7958354,3.5604595301108235,62.95807197094752,0.3688677649622228,1.0,0.62,,재무 건강도 미포함. D0 가격/국면/이벤트 위험필터 기반 shadow 후보.,2025-04-30|2025-05-02|2025-05-07|2025-05-08|2025-05-09,True,False,벨가드 안정후보,3
HYBRID_D0_RISK_FILTER|2025-04-30|R1|161000,2025-04-30,2025-05-02,HYBRID_D0_RISK_FILTER,벨가드 안정후보,NEW_D0_1500_HYBRID_TOP3,HYBRID_D0_RISK_FILTER_TOP3,1,R1,161000,애경케미칼,애경케미칼 (161000),KOSPI,기초 화학물질 제조업,무수프탈산 등,sideways,BASE_P0_VALUE+BASE_V2,0.7042304271625842,2025-04-30 15:00:00,11320.0,RED,🔴,-9,-3 먼저 / -5 도달 / -10 도달 / D1 종가 양호,True,True,True,False,False,True,True,True,True,True,False,False,False,True,True,True,LOSS_FIRST,2025-05-02 09:00:00,LOSS_FIRST,2025-05-02 09:01:00,LOSS_FIRST,2025-05-02 09:04:00,3.3568904593639592,-11.130742049469966,-8.657243816254411,2025-05-12 15:30:00,0.26501766784452485,-2.5618374558303847,-3.0000000000000027,-3.0000000000000027,-2.0000000000000018,TP3_SL3_FB1200,LUNCH_1200,11.94906953966699,4.113614103819785,3.062117235345574,12.72727272727272,1331.1510588,6.49109813048917,53.16582914572865,0.4024806658984204,1.0,0.52,,재무 건강도 미포함. D0 가격/국면/이벤트 위험필터 기반 shadow 후보.,2025-05-02|2025-05-07|2025-05-08|2025-05-09|2025-05-12,True,False,벨가드 안정후보,1
HYBRID_D0_RISK_FILTER|2025-04-30|R2|065500,2025-04-30,2025-05-02,HYBRID_D0_RISK_FILTER,벨가드 안정후보,NEW_D0_1500_HYBRID_TOP3,HYBRID_D0_RISK_FILTER_TOP3,2,R2,065500,오리엔트정공,오리엔트정공 (065500),KOSDAQ,자동차 신품 부품 제조업,"하우징, 리테이너베어링",correction,BASE_P0_VALUE+BASE_V2,0.622461622674731,2025-04-30 15:00:00,11970.0,RED,🔴,-13,-3 먼저 / +5 도달 / -5 도달 / -10 도달 / D1 종가 -3 이하,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,True,LOSS_FIRST,2025-05-02 09:02:00,LOSS_FIRST,2025-05-02 09:02:00,LOSS_FIRST,2025-05-02 09:02:00,6.182121971595667,-23.72598162071846,-12.447786131996663,2025-05-12 15:30:00,-17.627401837928158,-12.197159565580618,-3.0000000000000027,-3.0000000000000027,-2.0000000000000018,TP3_SL3_FB1200,LUNCH_1200,22.117400419287204,14.150943396226424,4.463519313304731,16.45933014354066,3382.573772,2.046251510072965,-9.055425448868071,0.5314448290752176,0.9,0.62,,재무 건강도 미포함. D0 가격/국면/이벤트 위험필터 기반 shadow 후보.,2025-05-02|2025-05-07|2025-05-08|2025-05-09|2025-05-12,True,False,벨가드 안정후보,2
HYBRID_D0_RISK_FILTER|2025-04-30|R3|462860,2025-04-30,2025-05-02,HYBRID_D0_RISK_FILTER,벨가드 안정후보,NEW_D0_1500_HYBRID_TOP3,HYBRID_D0_RISK_FILTER_TOP3,3,R3,462860,더즌,더즌 (462860),KOSDAQ,전기 통신업,디지털뱅킹 솔루션(B2B 금융 서비스),correction,BASE_V2,0.6056430348915848,2025-04-30 15:00:00,4360.0,RED,🔴,-11,-3 먼저 / +5 도달 / -5 도달 / -10 도달 / D1 종가 -3 이하,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,True,LOSS_FIRST,2025-05-02 09:00:00,LOSS_FIRST,2025-05-02 09:00:00,LOSS_FIRST,2025-05-02 09:00:00,7.6834862385321,-16.055045871559635,-14.793577981651374,2025-05-12 15:30:00,-4.587155963302747,-0.917431192660545,-3.0000000000000027,-3.0000000000000027,-1.9999999999999907,TP3_SL3_FB1200,LUNCH_1200,-11.428571428571432,-3.280423280423284,12.472647702406991,22.819593787335712,1105.75655685,2.536581981294331,37.6327819252146,0.3413505760212608,0.85,0.62,,재무 건강도 미포함. D0 가격/국면/이벤트 위험필터 기반 shadow 후보.,2025-05-02|2025-05-07|2025-05-08|2025-05-09|2025-05-12,True,False,벨가드 안정후보,3
HYBRID_D0_RISK_FILTER|2025-05-02|R1|161000,2025-05-02,2025-05-07,HYBRID_D0_RISK_FILTER,벨가드 안정후보,NEW_D0_1500_HYBRID_TOP3,HYBRID_D0_RISK_FILTER_TOP3,1,R1,161000,애경케미칼,애경케미칼 (161000),KOSPI,기초 화학물질 제조업,무수프탈산 등,sideways,BASE_V2,0.7388789550947559,2025-05-02 15:00:00,11340.0,RED,🔴,-10,-3 먼저 / -5 도달 / -10 도달,True,True,True,False,False,True,True,True,True,True,False,False,False,True,True,True,LOSS_FIRST,2025-05-07 09:00:00,LOSS_FIRST,2025-05-07 09:00:00,LOSS_FIRST,2025-05-07 09:01:00,3.174603174603185,-11.28747795414462,-9.523809523809524,2025-05-13 15:30:00,-2.733686067019403,-1.1463844797178102,-3.0000000000000027,-3.0000000000000027,-2.000000000000013,TP3_SL3_FB1200,LUNCH_1200,-0.6999125109361293,-2.887139107611547,1.3215859030837107,6.679035250463827,238.9695965,1.1032454302742811,47.440893738633406,0.0887229207719793,1.0,0.52,,재무 건강도 미포함. D0 가격/국면/이벤트 위험필터 기반 shadow 후보.,2025-05-07|2025-05-08|2025-05-09|2025-05-12|2025-05-13,True,False,벨가드 안정후보,1
HYBRID_D0_RISK_FILTER|2025-05-02|R2|065500,2025-05-02,2025-05-07,HYBRID_D0_RISK_FILTER,벨가드 안정후보,NEW_D0_1500_HYBRID_TOP3,HYBRID_D0_RISK_FILTER_TOP3,2,R2,065500,오리엔트정공,오리엔트정공 (065500),KOSDAQ,자동차 신품 부품 제조업,"하우징, 리테이너베어링",correction,BASE_P0_VALUE+BASE_V2,0.662254514183325,2025-05-02 15:00:00,9880.0,GREEN,🟢,7,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,True,True,True,True,True,False,False,False,False,False,True,True,True,False,False,False,PROFIT_FIRST,2025-05-07 09:00:00,PROFIT_FIRST,2025-05-07 09:00:00,PROFIT_FIRST,2025-05-07 09:00:00,28.64372469635628,0.2024291497975783,1.5182186234817818,2025-05-13 15:30:00,24.190283400809708,2.327935222672073,2.0000000000000018,3.0000000000000027,3.0000000000000027,TP3_SL3_FB1200,LUNCH_1200,-15.364806866952785,-19.82832618025752,14.60446247464504,23.767798466593646,1703.7747718,1.200923353382726,-21.28372984192879,0.3156411144560759,0.85,0.62,,재무 건강도 미포함. D0 가격/국면/이벤트 위험필터 기반 shadow 후보.,2025-05-07|2025-05-08|2025-05-09|2025-05-12|2025-05-13,True,False,벨가드 안정후보,2
HYBRID_D0_RISK_FILTER|2025-05-02|R3|226590,2025-05-02,2025-05-07,HYBRID_D0_RISK_FILTER,벨가드 안정후보,NEW_D0_1500_HYBRID_TOP3,HYBRID_D0_RISK_FILTER_TOP3,3,R3,226590,엠디바이스,엠디바이스 (226590),KOSDAQ,전자부품 제조업,반도체기억장치,correction,BASE_V2,0.6242777851471136,2025-05-02 15:00:00,12850.0,GREEN,🟢,7,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,False,PROFIT_FIRST,2025-05-07 09:00:00,PROFIT_FIRST,2025-05-07 09:06:00,PROFIT_FIRST,2025-05-07 09:06:00,12.295719844357976,-3.5019455252918275,7.315175097276261,2025-05-13 15:30:00,4.435797665369656,5.447470817120625,2.0000000000000018,3.0000000000000027,3.0000000000000027,TP3_SL3_FB1200,LUNCH_1200,10.82024432809774,1.8324607329842868,4.566929133858277,14.482758620689662,1569.253275,5.241827566708094,28.992940937484125,0.4163975813277901,1.0,0.62,,재무 건강도 미포함. D0 가격/국면/이벤트 위험필터 기반 shadow 후보.,2025-05-07|2025-05-08|2025-05-09|2025-05-12|2025-05-13,True,False,벨가드 안정후보,3
HYBRID_D0_RISK_FILTER|2025-05-07|R1|161000,2025-05-07,2025-05-08,HYBRID_D0_RISK_FILTER,벨가드 안정후보,NEW_D0_1500_HYBRID_TOP3,HYBRID_D0_RISK_FILTER_TOP3,1,R1,161000,애경케미칼,애경케미칼 (161000),KOSPI,기초 화학물질 제조업,무수프탈산 등,rebound,BASE_V2,0.7390918721373434,2025-05-07 15:00:00,11020.0,RED,🔴,-12,-3 먼저 / -5 도달 / D1 종가 -3 이하 / 점심 -3 이하,False,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,LOSS_FIRST,2025-05-08 09:02:00,LOSS_FIRST,2025-05-08 09:05:00,LOSS_FIRST,2025-05-08 10:07:00,0.6352087114337657,-8.711433756805809,-3.539019963702361,2025-05-14 15:30:00,-4.0834845735027265,-4.355716878402904,-3.0000000000000027,-3.0000000000000027,-2.0000000000000018,TP3_SL3_FB1200,LUNCH_1200,-2.819383259911889,-2.026431718061672,5.215827338129486,8.333333333333325,231.2985485,1.015259626751024,39.30285425612527,0.1354844857894652,1.0,0.58,,재무 건강도 미포함. D0 가격/국면/이벤트 위험필터 기반 shadow 후보.,2025-05-08|2025-05-09|2025-05-12|2025-05-13|2025-05-14,True,False,벨가드 안정후보,1
