d0_date,signal_date,bellguard_r1_cell,bellguard_r1_light,bellguard_r1_score,bellguard_r1_code,bellguard_r1_name,bellguard_r1_reason,bellguard_r2_cell,bellguard_r2_light,bellguard_r2_score,bellguard_r2_code,bellguard_r2_name,bellguard_r2_reason,bellguard_r3_cell,bellguard_r3_light,bellguard_r3_score,bellguard_r3_code,bellguard_r3_name,bellguard_r3_reason,date_verdict
2025-04-29,2025-04-29,🟠 한싹(430690),ORANGE,55.21,430690,한싹,BellGuard 55.2 / 신호일 -1.5% / 15시거래대금 815억 / D0종가대비 -1.6% / RSI 75 / D0 +0.1% / 거래대금 824억 / 과열낮음 / D0+0,🟠 바이오스마트(038460),ORANGE,51.41,038460,바이오스마트,BellGuard 51.4 / 신호일 +0.9% / 15시거래대금 584억 / D0종가대비 +0.0% / RSI 66 / D0 +0.9% / 거래대금 548억 / 과열낮음 / D0+0,🔴 아이스크림에듀(289010),RED,51.02,289010,아이스크림에듀,BellGuard 51.0 / 신호일 +0.3% / 15시거래대금 645억 / D0종가대비 -3.4% / RSI 79 / D0 +3.9% / 거래대금 707억 / 과열낮음 / D0+0,위험 우세
2025-04-30,2025-04-30,🟢 와이투솔루션(011690),GREEN,73.97,011690,와이투솔루션,BellGuard 74.0 / 신호일 -4.8% / 15시거래대금 67억 / D0종가대비 -4.8% / RSI 67 / D0 +14.5% / 거래대금 579억 / 과열낮음 / D0+1,🟠 형지엘리트(093240),ORANGE,69.71,093240,형지엘리트,BellGuard 69.7 / 신호일 +22.6% / 15시거래대금 315억 / D0종가대비 -4.0% / RSI 50 / D0 +27.7% / 거래대금 431억 / 과열낮음 / D0+0,🟠 형지글로벌(308100),ORANGE,68.98,308100,형지글로벌,BellGuard 69.0 / 신호일 +25.6% / 15시거래대금 238억 / D0종가대비 -3.4% / RSI 48 / D0 +30.0% / 거래대금 464억 / 과열낮음 / D0+0,위험 우세
2025-05-02,2025-05-02,🟡 온코닉테라퓨틱스(476060),YELLOW,78.92,476060,온코닉테라퓨틱스,BellGuard 78.9 / 신호일 -3.3% / 15시거래대금 28억 / D0종가대비 -3.3% / RSI 50 / D0 +8.0% / 거래대금 897억 / 과열낮음 / D0+1,🟡 인성정보(033230),YELLOW,76.17,033230,인성정보,BellGuard 76.2 / 신호일 -2.3% / 15시거래대금 50억 / D0종가대비 -2.3% / RSI 59 / D0 +2.6% / 거래대금 277억 / 과열낮음 / D0+1,🟡 핑거스토리(417180),YELLOW,75.65,417180,핑거스토리,BellGuard 75.7 / 신호일 -3.1% / 15시거래대금 20억 / D0종가대비 -3.1% / RSI 58 / D0 +6.5% / 거래대금 427억 / 과열낮음 / D0+1,안정 우세
2025-05-07,2025-05-07,🟡 KTis(058860),YELLOW,84.56,058860,KTis,BellGuard 84.6 / 신호일 -2.8% / 15시거래대금 76억 / D0종가대비 -2.8% / RSI 70 / D0 +13.3% / 거래대금 636억 / 과열낮음 / D0+1,🟠 애경케미칼(161000),ORANGE,83.19,161000,애경케미칼,BellGuard 83.2 / 신호일 -2.9% / 15시거래대금 227억 / D0종가대비 -3.6% / RSI 78 / D0 +11.9% / 거래대금 1331억 / 과열낮음 / D0+2,🟡 온코닉테라퓨틱스(476060),YELLOW,81.64,476060,온코닉테라퓨틱스,BellGuard 81.6 / 신호일 -1.5% / 15시거래대금 64억 / D0종가대비 -3.1% / RSI 49 / D0 +8.0% / 거래대금 897억 / 과열낮음 / D0+2,안정 우세
2025-05-08,2025-05-08,🟠 형지엘리트(093240),ORANGE,96.99,093240,형지엘리트,BellGuard 97.0 / 신호일 -3.7% / 15시거래대금 75억 / D0종가대비 -3.7% / RSI 51 / D0 +12.9% / 거래대금 338억 / 과열낮음 / D0+1,🟠 오리엔트정공(065500),ORANGE,89.12,065500,오리엔트정공,BellGuard 89.1 / 신호일 -6.1% / 15시거래대금 1669억 / D0종가대비 -6.1% / RSI 50 / D0 +24.4% / 거래대금 3495억 / 과열낮음 / D0+1,🟠 포메탈(119500),ORANGE,81.07,119500,포메탈,BellGuard 81.1 / 신호일 -6.6% / 15시거래대금 236억 / D0종가대비 -3.8% / RSI 60 / D0 +29.9% / 거래대금 491억 / 과열낮음 / D0+2,위험 우세
2025-05-09,2025-05-09,🟡 인성정보(033230),YELLOW,79.17,033230,인성정보,BellGuard 79.2 / 신호일 -1.1% / 15시거래대금 55억 / D0종가대비 -1.1% / RSI 62 / D0 +2.2% / 거래대금 459억 / 과열낮음 / D0+1,🟠 웹케시(053580),ORANGE,77.55,053580,웹케시,BellGuard 77.5 / 신호일 -1.2% / 15시거래대금 542억 / D0종가대비 -1.2% / RSI 68 / D0 +16.7% / 거래대금 3183억 / 과열낮음 / D0+1,🟠 고영(098460),ORANGE,71.49,098460,고영,BellGuard 71.5 / 신호일 -1.1% / 15시거래대금 889억 / D0종가대비 -1.1% / RSI 73 / D0 +21.6% / 거래대금 2728억 / 과열낮음 / D0+1,위험 우세
2025-05-12,2025-05-12,🟢 고영(098460),GREEN,86.49,098460,고영,BellGuard 86.5 / 신호일 -3.2% / 15시거래대금 548억 / D0종가대비 -3.3% / RSI 68 / D0 +21.6% / 거래대금 2728억 / 과열낮음 / D0+2,🔴 웹케시(053580),RED,78.03,053580,웹케시,BellGuard 78.0 / 신호일 -1.7% / 15시거래대금 724억 / D0종가대비 -0.7% / RSI 68 / D0 +16.7% / 거래대금 3183억 / 과열낮음 / D0+2,🟡 메타바이오메드(059210),YELLOW,68.75,059210,메타바이오메드,BellGuard 68.7 / 신호일 -5.7% / 15시거래대금 103억 / D0종가대비 -7.8% / RSI 63 / D0 +24.3% / 거래대금 1429억 / 과열낮음 / D0+2,안정 우세
2025-05-13,2025-05-13,🟠 형지엘리트(093240),ORANGE,89.08,093240,형지엘리트,BellGuard 89.1 / 신호일 -1.7% / 15시거래대금 99억 / D0종가대비 -1.7% / RSI 52 / D0 +7.5% / 거래대금 335억 / 과열낮음 / D0+1,🟠 스튜디오미르(408900),ORANGE,84.55,408900,스튜디오미르,BellGuard 84.5 / 신호일 -3.5% / 15시거래대금 61억 / D0종가대비 -3.5% / RSI 52 / D0 +6.3% / 거래대금 513억 / 과열낮음 / D0+1,🟢 삼성전자(005930),GREEN,79.07,005930,삼성전자,BellGuard 79.1 / 신호일 -1.3% / 15시거래대금 7709억 / D0종가대비 -1.3% / RSI 55 / D0 +5.1% / 거래대금 8879억 / 과열낮음 / D0+1,위험 우세
2025-05-14,2025-05-14,🟡 오가노이드사이언스(476040),YELLOW,85.25,476040,오가노이드사이언스,BellGuard 85.3 / 신호일 -3.3% / 15시거래대금 2689억 / D0종가대비 -3.3% / D0 +19.5% / 거래대금 3967억 / 과열낮음 / D0+1,🟠 형지글로벌(308100),ORANGE,84.22,308100,형지글로벌,BellGuard 84.2 / 신호일 -0.9% / 15시거래대금 274억 / D0종가대비 -0.9% / RSI 59 / D0 +14.4% / 거래대금 1063억 / 과열낮음 / D0+1,🟠 포메탈(119500),ORANGE,81.35,119500,포메탈,BellGuard 81.3 / 신호일 -4.4% / 15시거래대금 50억 / D0종가대비 -4.4% / RSI 52 / D0 +14.5% / 거래대금 670억 / 과열낮음 / D0+1,위험 우세
2025-05-15,2025-05-15,🟡 휴림로봇(090710),YELLOW,81.6,090710,휴림로봇,BellGuard 81.6 / 신호일 -5.2% / 15시거래대금 139억 / D0종가대비 +0.2% / RSI 56 / D0 +5.0% / 거래대금 691억 / 과열낮음 / D0+2,🟢 KBI동양철관(008970),GREEN,79.1,008970,KBI동양철관,BellGuard 79.1 / 신호일 -3.1% / 15시거래대금 390억 / D0종가대비 -3.1% / RSI 47 / D0 +3.5% / 거래대금 466억 / 과열낮음 / D0+1,🟡 나우로보틱스(459510),YELLOW,77.9,459510,나우로보틱스,BellGuard 77.9 / 신호일 -1.2% / 15시거래대금 1208억 / D0종가대비 -1.2% / D0 +21.9% / 거래대금 5448억 / 과열낮음 / D0+1,안정 우세
