d0_date,bellguard_r1_cell,bellguard_r1_light,bellguard_r1_score,bellguard_r1_code,bellguard_r1_name,bellguard_r1_reason,bellguard_r2_cell,bellguard_r2_light,bellguard_r2_score,bellguard_r2_code,bellguard_r2_name,bellguard_r2_reason,bellguard_r3_cell,bellguard_r3_light,bellguard_r3_score,bellguard_r3_code,bellguard_r3_name,bellguard_r3_reason,date_verdict
2025-04-30,🟡 애경케미칼(161000),YELLOW,0.75,161000,애경케미칼,,🔴 오리엔트정공(065500),RED,0.72,065500,오리엔트정공,,🟢 대성창투(027830),GREEN,0.59,027830,대성창투,,안정 우세
2025-05-02,🟡 엠디바이스(226590),YELLOW,0.8,226590,엠디바이스,,🟠 KTis(058860),ORANGE,0.65,058860,KTis,,🟢 포메탈(119500),GREEN,0.64,119500,포메탈,,안정 우세
2025-05-07,🟠 오리엔트정공(065500),ORANGE,0.73,065500,오리엔트정공,,🟡 삼성전자(005930),YELLOW,0.68,005930,삼성전자,,🟠 형지엘리트(093240),ORANGE,0.66,093240,형지엘리트,,위험 우세
2025-05-08,🟡 고영(098460),YELLOW,0.73,098460,고영,,🟠 메타바이오메드(059210),ORANGE,0.59,059210,메타바이오메드,,🟡 웹케시(053580),YELLOW,0.55,053580,웹케시,,안정 우세
2025-05-09,🟡 LK삼양(225190),YELLOW,0.69,225190,LK삼양,,🔴 KBI동양철관(008970),RED,0.47,008970,KBI동양철관,,🟢 한국정보인증(053300),GREEN,0.46,053300,한국정보인증,,안정 우세
2025-05-12,🟠 삼성전자(005930),ORANGE,0.76,005930,삼성전자,,🟢 크라우드웍스(355390),GREEN,0.7,355390,크라우드웍스,,🟡 우듬지팜(403490),YELLOW,0.64,403490,우듬지팜,,안정 우세
2025-05-13,🟠 오가노이드사이언스(476040),ORANGE,0.65,476040,오가노이드사이언스,,🟠 에스엘에스바이오(246250),ORANGE,0.64,246250,에스엘에스바이오,,🟡 형지글로벌(308100),YELLOW,0.57,308100,형지글로벌,,위험 우세
2025-05-14,🟡 두산에너빌리티(034020),YELLOW,0.83,034020,두산에너빌리티,,🟠 휴림로봇(090710),ORANGE,0.75,090710,휴림로봇,,🟠 삼성전자(005930),ORANGE,0.69,005930,삼성전자,,위험 우세
2025-05-15,🟠 아스테라시스(450950),ORANGE,0.74,450950,아스테라시스,,🟠 로킷헬스케어(376900),ORANGE,0.65,376900,로킷헬스케어,,🔴 폴라리스AI파마(041910),RED,0.62,041910,폴라리스AI파마,,위험 우세
2025-05-16,🟡 두산에너빌리티(034020),YELLOW,0.84,034020,두산에너빌리티,,🟠 우리기술(032820),ORANGE,0.74,032820,우리기술,,🔴 오가노이드사이언스(476040),RED,0.63,476040,오가노이드사이언스,,위험 우세
