strategy,strategy_label_ko,candidate_lineage,candidate_source,signal_date,d0_date,code,name,market,sector,industry,source_rank,source_score,entry_price_hint,d0_close,d0_high,d0_volume,d0_trading_value,d0_pct_change,distance_from_d0_high_pct,volume_ratio_vs_20d,upper_shadow_ratio,lower_shadow_ratio,d1_date,d0_open,d0_low,d0_ret_pct,d0_gap_pct,d0_intraday_ret_pct,d0_upper_shadow_pct,d0_lower_shadow_pct,d0_range_pct,d0_trading_value_eok,d0_value_vs_20d,d0_volume_vs_20d,d0_close_vs_ma5_pct,d0_close_vs_ma20_pct,d0_close_vs_ma60_pct,d0_60d_value_above_close_share,d0_value_bucket,d0_value_vs_20d_bucket,d0_ma20_bucket,d0_supply_overhang_bucket,d1_ret_vs_d0_close_pct,d1_low_vs_d0_close_pct,d1_high_vs_d0_close_pct,d1_rel_color,target_d1_full_above_d0_close,target_d1_close_up,regime,recent_dart_bad_news_flag,event_risk_note,d0_close_position_in_day_range,gap_overheat_flag,overheat_score,health_score,regime_score,rank_quality,source_score_norm,value_score,pullback_balance_score,close_location_score,bellguard_score,rank,pricecap_rank,pricecap_variant,complete_d5,future_days,plus1_touch,plus1_first_day,plus2_touch,plus2_first_day,plus3_touch,plus3_first_day,plus5_touch,plus5_first_day,plus10_touch,plus10_first_day,minus1_touch,minus1_first_day,minus2_touch,minus2_first_day,minus3_touch,minus3_first_day,minus5_touch,minus5_first_day,minus10_touch,minus10_first_day,plus3_first,minus3_first,pm3_same_day,max_gain_d1d5,max_loss_d1d5,d1_close_return_pct,d1_high_vs_entry_pct,d1_low_vs_entry_pct,d1_color,d5_close_return_pct,entry_price_used
D0_STRICT_3D_BELLGUARD_TOP3,D0 3일 넓은풀 -> BellGuard 위험점수 Top3,"active_d0_3d_pool broad rows from D0_NO_PRICE_UPPER, then price<=100000, no future outcome in score",ACTIVE_D0_3D_POOL_STRICT_PRICECAP,2025-04-30,2025-04-30,161000,애경케미칼,KOSPI,기초 화학물질 제조업,무수프탈산 등,1,73.5224,11320.0,11430.0,11780.0,11646116.0,133115105880.0,11.94906953966699,-2.971137521222411,1.0,0.2631578947368421,0.1353383458646616,2025-05-02,10630.0,10450.0,11.94906953966699,4.113614103819785,7.525870178739424,3.062117235345574,1.7224880382775032,12.72727272727272,1331.1510588,6.49109813048917,5.634260821829984,14.483173076923084,53.16582914572865,57.0558329134796,0.495205053327737,Q5,Q5,Q5,Q3,-0.6999125109361293,-5.686789151356075,0.6124234470691103,O,False,False,sideways,False,,0.7368421052631579,False,0.4024806658984204,1.0,0.52,1.0,1.0,0.5923603924614942,0.8309281267685342,0.7368421052631579,0.7547700512471668,1,1,100k,True,5,Y,1.0,Y,2.0,Y,2.0,N,,N,,Y,1.0,Y,1.0,Y,1.0,Y,3.0,Y,4.0,N,Y,N,3.3569,-11.1307,0.265,1.5901,-4.7703,YELLOW,-8.6572,11320.0
D0_STRICT_3D_BELLGUARD_TOP3,D0 3일 넓은풀 -> BellGuard 위험점수 Top3,"active_d0_3d_pool broad rows from D0_NO_PRICE_UPPER, then price<=100000, no future outcome in score",ACTIVE_D0_3D_POOL_STRICT_PRICECAP,2025-04-30,2025-04-30,065500,오리엔트정공,KOSDAQ,자동차 신품 부품 제조업,"하우징, 리테이너베어링",2,67.2557,11970.0,11650.0,12170.0,29034968.0,338257377200.0,22.117400419287204,-4.272801972062446,1.0,0.3023255813953488,0.2558139534883721,2025-05-02,10890.0,10450.0,22.117400419287204,14.150943396226424,6.97887970615243,4.463519313304731,4.210526315789465,16.45933014354066,3382.573772,2.046251510072965,2.3498737950064963,7.4524995388304704,-9.055425448868071,25.917586129250168,0.4530203755252441,Q5,Q5,Q1,Q2,-15.364806866952785,-21.630901287553648,-3.0042918454935674,R,False,False,correction,False,,0.6976744186046512,True,0.5314448290752176,0.9,0.62,0.9090909090909092,0.9138137093236108,0.9183942151457972,0.9394001643385372,0.6976744186046512,0.7165915772015282,2,2,100k,True,5,Y,2.0,Y,2.0,Y,2.0,Y,3.0,N,,Y,1.0,Y,1.0,Y,1.0,Y,1.0,Y,1.0,N,Y,N,6.1821,-23.726,-17.6274,-5.5973,-23.726,RED,-12.4478,11970.0
D0_STRICT_3D_BELLGUARD_TOP3,D0 3일 넓은풀 -> BellGuard 위험점수 Top3,"active_d0_3d_pool broad rows from D0_NO_PRICE_UPPER, then price<=100000, no future outcome in score",ACTIVE_D0_3D_POOL_STRICT_PRICECAP,2025-04-30,2025-04-30,027830,대성창투,KOSDAQ,신탁업 및 집합투자업,투자서비스,6,50.428,,2655.0,2795.0,10494048.0,27861697440.0,8.146639511201625,-5.008944543828264,1.0,0.3218390804597701,0.1379310344827586,2025-05-02,2420.0,2360.0,8.146639511201625,-1.4256619144602856,9.710743801652889,5.273069679849352,2.542372881355925,18.43220338983052,278.6169744,0.8960511090443254,0.8660800221432887,5.148514851485153,6.5858407434914445,29.7326351279817,0.6185975034670108,Q5,Q4,Q5,Q4,8.851224105461398,4.143126177024481,18.832391713747644,G,True,True,correction,False,,0.6781609195402298,False,0.2528260281989017,1.0,0.62,0.5454545454545454,0.6823813695570552,0.0463239696874886,0.9992546213476446,0.6781609195402298,0.593436838530133,3,3,100k,True,5,Y,1.0,Y,1.0,Y,1.0,Y,1.0,Y,1.0,Y,2.0,Y,2.0,Y,2.0,Y,2.0,Y,2.0,Y,N,N,18.8324,-33.0697,8.8512,18.8324,4.1431,GREEN,-21.8456,2655.0
D0_STRICT_3D_BELLGUARD_TOP3,D0 3일 넓은풀 -> BellGuard 위험점수 Top3,"active_d0_3d_pool broad rows from D0_NO_PRICE_UPPER, then price<=100000, no future outcome in score",ACTIVE_D0_3D_POOL_STRICT_PRICECAP,2025-05-02,2025-05-02,226590,엠디바이스,KOSDAQ,전자부품 제조업,반도체기억장치,3,62.1909,12850.0,12700.0,13280.0,12356325.0,156925327500.0,10.82024432809774,-4.367469879518071,1.0,0.3452380952380952,0.0416666666666666,2025-05-07,11670.0,11600.0,10.82024432809774,1.8324607329842868,8.826049700085692,4.566929133858277,0.603448275862073,14.482758620689662,1569.253275,5.241827566708094,4.606938659047,10.090152565880729,28.992940937484125,,0.5774512686440373,Q5,Q5,Q5,Q4,5.669291338582672,0.9448818897637824,13.622047244094482,G,True,True,correction,False,,0.6547619047619048,False,0.4163975813277901,1.0,0.62,1.0,1.0,0.916561251796834,0.947289156626506,0.6547619047619048,0.8015485312490803,1,1,100k,True,5,Y,1.0,Y,1.0,Y,1.0,Y,1.0,Y,1.0,Y,3.0,Y,3.0,Y,3.0,N,,N,,Y,N,N,12.2957,-3.5019,4.4358,12.2957,-0.2335,YELLOW,7.3152,12850.0
D0_STRICT_3D_BELLGUARD_TOP3,D0 3일 넓은풀 -> BellGuard 위험점수 Top3,"active_d0_3d_pool broad rows from D0_NO_PRICE_UPPER, then price<=100000, no future outcome in score",ACTIVE_D0_3D_POOL_STRICT_PRICECAP,2025-05-02,2025-05-02,058860,KTis,KOSPI,기타 정보 서비스업,"114전화번호안내, 고객센터",7,55.8991,,2895.0,3060.0,21974641.0,63616585695.0,13.307240704500977,-5.392156862745101,1.0,0.3203883495145631,0.0,2025-05-07,2545.0,2545.0,13.307240704500977,-0.3913894324853229,13.75245579567781,5.699481865284972,0.0,20.23575638506876,636.16585695,18.06112792243503,17.777113422870237,10.159817351598166,15.269759108102733,11.246317407454832,0.128750729475305,Q5,Q5,Q5,Q1,-2.590673575129532,-4.145077720207258,1.3816925734024157,O,False,False,sideways,False,,0.6796116504854369,False,0.4779561174929532,1.0,0.52,0.7894736842105263,0.8948107553235775,0.2756889140614376,0.9673202614379084,0.6796116504854369,0.6456391644555518,2,2,100k,True,5,Y,1.0,N,,N,,N,,N,,Y,1.0,Y,1.0,Y,1.0,Y,3.0,N,,N,Y,N,1.3817,-7.4266,-2.5907,1.3817,-4.1451,ORANGE,-5.8722,2895.0
D0_STRICT_3D_BELLGUARD_TOP3,D0 3일 넓은풀 -> BellGuard 위험점수 Top3,"active_d0_3d_pool broad rows from D0_NO_PRICE_UPPER, then price<=100000, no future outcome in score",ACTIVE_D0_3D_POOL_STRICT_PRICECAP,2025-05-02,2025-05-02,119500,포메탈,KOSDAQ,기타 금속 가공제품 제조업,"자동차,풍력,방위산업,산업기계,농기계등의 단조부품",4,56.3715,,3950.0,3950.0,12429031.0,49094672450.0,29.934210526315795,0.0,1.0,0.0,0.0064935064935064,2025-05-07,3185.0,3180.0,29.934210526315795,4.7697368421052655,24.01883830455258,0.0,0.1572327044025101,24.213836477987428,490.9467245,10.043013170450235,9.023184458904849,18.01613385121004,22.938064114534697,16.69990398109167,0.4515273838388781,Q5,Q5,Q5,Q2,3.037974683544298,1.0126582278481069,25.822784810126585,G,True,True,correction,False,,1.0,False,0.5883482290632243,1.0,0.62,0.9473684210526316,0.9027085586843236,0.091903209235157,0.5833333333333333,1.0,0.6350172869957398,3,3,100k,True,5,Y,1.0,Y,1.0,Y,1.0,Y,1.0,Y,1.0,Y,2.0,Y,2.0,Y,2.0,Y,2.0,Y,3.0,Y,N,N,25.8228,-23.9241,3.038,25.8228,1.0127,GREEN,-8.2278,3950.0
D0_STRICT_3D_BELLGUARD_TOP3,D0 3일 넓은풀 -> BellGuard 위험점수 Top3,"active_d0_3d_pool broad rows from D0_NO_PRICE_UPPER, then price<=100000, no future outcome in score",ACTIVE_D0_3D_POOL_STRICT_PRICECAP,2025-05-08,2025-05-07,065500,오리엔트정공,KOSDAQ,자동차 신품 부품 제조업,"하우징, 리테이너베어링",2,65.9839,11520.0,12270.0,12450.0,28485128.0,349512520560.0,24.44219066937119,-1.4457831325301207,1.0,0.0717131474103585,0.1314741035856573,2025-05-08,10270.0,9940.0,24.44219066937119,4.158215010141997,19.47419668938657,1.4669926650366705,3.319919517102621,25.25150905432596,3495.1252056,2.845586592014427,2.9022129985323133,15.038439902493916,-1.690569665892161,29.565913710720597,0.4436924295016268,Q5,Q5,Q3,Q2,-6.438467807660963,-8.394458027709861,3.585982070089644,O,False,False,correction,False,,0.9282868525896414,False,0.4717192866545784,0.85,0.62,1.0,1.0,0.7032758960341975,0.7038152610441768,0.9282868525896414,0.7332753505725572,1,1,100k,True,5,Y,1.0,Y,1.0,Y,1.0,Y,1.0,Y,1.0,Y,1.0,Y,1.0,Y,2.0,Y,2.0,Y,4.0,Y,N,N,10.3299,-20.2257,-0.3472,10.3299,-2.4306,ORANGE,-18.75,11520.0
D0_STRICT_3D_BELLGUARD_TOP3,D0 3일 넓은풀 -> BellGuard 위험점수 Top3,"active_d0_3d_pool broad rows from D0_NO_PRICE_UPPER, then price<=100000, no future outcome in score",ACTIVE_D0_3D_POOL_STRICT_PRICECAP,2025-05-09,2025-05-07,005930,삼성전자,KOSPI,통신 및 방송 장비 제조업,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",8,40.5411,,54600.0,55000.0,17136991.0,935679708600.0,0.5524861878453136,-0.727272727272732,1.0,0.5714285714285714,0.2857142857142857,2025-05-08,54500.0,54300.0,0.5524861878453136,0.3683241252302016,0.1834862385321045,0.73260073260073,0.3683241252302016,1.2891344383057168,9356.797086,1.1783592387153965,1.1834115664409068,-1.0869565217391353,-0.9703455155527396,-3.1313758538099923,0.5254408154941647,Q5,Q4,Q3,Q3,0.0,-0.1831501831501825,1.6483516483516425,O,False,False,rebound,False,,0.4285714285714285,False,0.0661506203328225,1.0,0.58,0.5714285714285714,0.6024767472927176,1.0,0.6439393939393943,0.4285714285714285,0.6806041690525928,2,2,100k,True,5,Y,1.0,Y,3.0,Y,3.0,Y,3.0,N,,N,,N,,N,,N,,N,,Y,N,N,6.5934,-0.3663,0.0,1.6484,-0.1832,YELLOW,5.1282,54600.0
D0_STRICT_3D_BELLGUARD_TOP3,D0 3일 넓은풀 -> BellGuard 위험점수 Top3,"active_d0_3d_pool broad rows from D0_NO_PRICE_UPPER, then price<=100000, no future outcome in score",ACTIVE_D0_3D_POOL_STRICT_PRICECAP,2025-05-07,2025-05-07,093240,형지엘리트,KOSPI,봉제의복 제조업,"학생복,스포츠의류,작업복 제조,도매",5,59.2779,,2365.0,2483.0,14290092.0,33796067580.0,12.941738299904484,-4.752315747080149,1.0,0.2731481481481481,0.3032407407407407,2025-05-08,2182.0,2051.0,12.941738299904484,4.2024832855778405,8.386801099908347,4.98942917547569,6.387128230131633,21.06289614822039,337.9606758,2.329091343993285,2.3503976394067334,12.780162136385307,1.9308680286182376,13.366728183495912,0.4033122839763494,Q5,Q5,Q4,Q1,-4.228329809725162,-4.77801268498943,2.410147991543332,O,False,False,rebound,False,,0.7268518518518519,False,0.3636199648227309,1.0,0.58,0.7857142857142857,0.8952241525046364,0.0,0.9793596455900124,0.7268518518518519,0.6559537123317964,3,3,100k,True,5,Y,1.0,Y,1.0,Y,3.0,Y,3.0,N,,Y,1.0,Y,1.0,Y,1.0,Y,2.0,Y,2.0,N,Y,N,8.8372,-11.0782,-4.2283,2.4101,-4.778,ORANGE,-8.2875,2365.0
D0_STRICT_3D_BELLGUARD_TOP3,D0 3일 넓은풀 -> BellGuard 위험점수 Top3,"active_d0_3d_pool broad rows from D0_NO_PRICE_UPPER, then price<=100000, no future outcome in score",ACTIVE_D0_3D_POOL_STRICT_PRICECAP,2025-05-08,2025-05-08,098460,고영,KOSDAQ,특수 목적용 기계 제조업,전자제품및반도체생산용 3차원 납도포검사장비,1,76.5648,17330.0,17400.0,17880.0,15680513.0,272840926200.0,21.59329140461217,-2.684563758389258,1.0,0.1329639889196676,0.0221606648199446,2025-05-09,14350.0,14270.0,21.59329140461217,0.2795248078266921,21.254355400696863,2.758620689655178,0.5606166783461708,25.297827610371403,2728.409262,7.991836194105306,6.84982400721864,17.902154763518084,28.617363344051448,10.885704878333735,0.5291166119788125,Q5,Q5,Q5,Q3,-0.0574712643678143,-2.3563218390804552,4.597701149425282,O,False,False,correction,False,,0.8670360110803325,False,0.5457224382759251,0.85,0.62,1.0,1.0,0.8393183991375013,0.8070469798657715,0.8670360110803325,0.7328627139626878,1,1,100k,True,5,Y,1.0,Y,1.0,Y,1.0,Y,1.0,N,,Y,1.0,Y,2.0,Y,2.0,N,,N,,Y,N,N,7.2129,-4.5586,0.3462,5.0202,-1.9619,YELLOW,-0.4616,17330.0
