signal_date,top3_count,success_count_broad,success_count_strict,green_count,yellow_count,orange_count,red_count,red_fast_fail_count,red_no_profit_count,gray_count,avg_signal_volume_retention_vs_d0,avg_signal_turnover_retention_vs_d0,avg_signal_vs_d0_high_pct,avg_signal_vs_d0_close_pct,avg_rsi14,avg_risk_count,avg_trading_day_age,avg_d0_range_pct,avg_upper_shadow_ratio,avg_value_vs_20d,avg_d1_return_at_cutoff,avg_ret_d1_close,day_group_broad,day_group_strict,weekday,month,kospi_change_pct_asof,kosdaq_change_pct_asof,nasdaq_change_pct_asof,sp500_change_pct_asof,usdkrw_change_pct_asof,vix_change_pct_asof
2025-04-02,3,1,0,0,1,1,1,1,0,0,66.18484846665766,66.15883597595109,-3.1553573458191617,-0.114648165746567,45.75702075702076,0.0,1.0,11.176423902386668,0.3661119943472884,1.7471100582156938,-3.189850838847375,-2.7729651456166646,DAY_1_SUCCESS,DAY_GREEN0,Wednesday,2025-04,-0.6159301020468799,-0.9545158724419744,0.8662518789516627,0.6728125160880394,-0.2673523949468404,-1.194305114445282
2025-04-03,3,3,0,0,3,0,0,0,0,0,87.75728694122922,87.63117759899266,-1.8053633592831517,0.5694634086519527,55.163053346406656,0.0,1.3333333333333333,18.224687146559095,0.2555535809489959,3.5185915996433965,-6.646830880930051,-8.881452716110674,DAY_3_SUCCESS,DAY_GREEN0,Thursday,2025-04,-0.7646077594119505,-0.1985836314521427,-5.968053042290078,-4.839560075260485,-1.0477203896210097,39.56299459939248
2025-04-04,3,0,0,0,0,2,1,1,0,0,95.97112364478487,89.04539749115855,-8.25278746674825,-6.132794031213314,46.68468468468469,0.6666666666666666,2.3333333333333335,18.224687146559095,0.2555535809489959,3.5185915996433965,-1.9802031594751728,-1.9865136829443244,DAY_0_SUCCESS,DAY_GREEN0,Friday,2025-04,-0.8557526038524887,0.5706008866259937,-5.817429085695325,-5.974961641947041,-1.0477203896210097,50.932713798720464
2025-04-07,3,3,3,3,0,0,0,0,0,0,87.62561329943468,79.93710703387491,-10.18904408522446,-8.072231948698834,43.578685068046774,0.3333333333333333,3.3333333333333335,18.224687146559095,0.2555535809489959,3.5185915996433965,3.4215214297881693,3.375562603552518,DAY_3_SUCCESS,DAY_GREEN3,Monday,2025-04,-0.8557526038524887,0.5706008866259937,-5.817429085695325,-5.974961641947041,0.7836711186682388,50.932713798720464
2025-04-08,3,2,2,2,0,1,0,0,0,0,65.70095518620086,61.06859031614488,-10.342707255222061,-9.37099871728938,50.56980056980057,1.0,4.666666666666667,15.97036358822721,0.20575163398692808,0.6779504787800679,-1.2191368362612698,-1.1952395791246369,DAY_2_SUCCESS,DAY_GREEN2,Tuesday,2025-04,0.258998367837826,1.0978043912175828,-2.149230353144149,-1.5700528421156543,1.1007177114867872,11.387829589075585
2025-04-09,3,3,3,3,0,0,0,0,0,0,47.83250371656202,48.031673061762426,-8.980629356087281,-7.3540469308385985,50.57565789473684,1.0,4.0,16.242446420653778,0.09888888888888887,1.059557650282276,11.340298488463977,13.648999030016938,DAY_3_SUCCESS,DAY_GREEN3,Wednesday,2025-04,-1.7363327521281224,-2.2871896119675106,12.163157891289655,9.515390034057347,-2.838244298950976,-35.75387396234844
2025-04-10,3,1,1,1,0,0,2,2,0,0,62.44585499023942,71.80891963918548,7.2692580724652345,11.459222350281621,59.77011494252874,0.3333333333333333,3.0,20.318941216102818,0.1822314049586777,24.547970418697275,-2.193052061469565,-1.6039873161746707,DAY_1_SUCCESS,DAY_GREEN1,Thursday,2025-04,6.598944936129403,5.968386204323961,-4.307511195640046,-3.4607561069471604,0.560268707365208,21.118389394369697
2025-04-11,3,3,3,3,0,0,0,0,0,0,48.024827326277,46.48670636452484,-6.007395882389177,-3.525426225545932,45.26515151515152,0.0,1.0,18.476422802004198,0.1684418623416445,2.8423911830416317,3.534809798750834,7.907300049997905,DAY_3_SUCCESS,DAY_GREEN3,Friday,2025-04,-0.504691091425169,2.0240836621247205,2.0573846470225865,1.809208340847168,0.560268707365208,-7.760313734483592
2025-04-14,3,3,3,3,0,0,0,0,0,0,42.1445737542089,41.91076169428177,-2.7391278059232325,-0.13744620784046,76.77194317605277,0.6666666666666666,2.0,18.476422802004198,0.1684418623416445,2.8423911830416317,7.663580756705464,6.711566798824208,DAY_3_SUCCESS,DAY_GREEN3,Monday,2025-04,-0.504691091425169,2.0240836621247205,2.0573846470225865,1.809208340847168,0.026073781755409,-7.760313734483592
2025-04-15,3,0,0,0,0,2,1,1,0,0,39.7133094626005,41.08026434550492,-3.2666572312582196,-0.2080113507942715,48.74338624338625,0.3333333333333333,2.6666666666666665,21.349195323522235,0.28037955310682583,24.291244084752538,-4.367489969463393,-3.672220863928055,DAY_0_SUCCESS,DAY_GREEN0,Tuesday,2025-04,0.8762607445773174,0.4146802448588005,-0.0493717724169284,-0.1727719539694083,0.5354299643516303,-2.492711445870333
