signal_date,rank,stock_code,stock_name,d0_date,trading_day_age,expected_trading_day_age,entry_1500_price,entry_1500_dt,minute_entry_available,signal_minute_rows_to_1500,signal_minute_rows_full_day,daily_file_available,d0_daily_available,signal_daily_available,dplus_dates_logged,expected_dplus_dates,d1_due,h5_due,d1_data_available,h5_data_available,d1_status,h5_status,minute_missing_reason,paper_watch_status,date_mapping_error,dplus_minute_day_count,dplus_minute_full_day_count,h5_minute_day_count_recorded,chart_status,d1_label,h5_label,retro_tags
2025-04-02,1,005930,삼성전자,2025-04-01,1,1,58850.0,2025-04-02 15:00:00,True,361,382,True,True,True,2025-04-03|2025-04-04|2025-04-07|2025-04-08|2025-04-09,2025-04-03|2025-04-04|2025-04-07|2025-04-08|2025-04-09,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_FAST_FAIL,H5_FAIL,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|LOW_RISK_COUNT
2025-04-02,2,484810,티엑스알로보틱스,2025-04-01,1,1,23800.0,2025-04-02 15:00:00,True,361,382,True,True,True,2025-04-03|2025-04-04|2025-04-07|2025-04-08|2025-04-09,2025-04-03|2025-04-04|2025-04-07|2025-04-08|2025-04-09,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_PLUS1_PROTECT_SUCCESS,H5_RISKY_WINNER,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT
2025-04-02,3,463480,모티브링크,2025-04-01,1,1,15590.0,2025-04-02 15:00:00,True,360,381,True,True,True,2025-04-03|2025-04-04|2025-04-07|2025-04-08|2025-04-09,2025-04-03|2025-04-04|2025-04-07|2025-04-08|2025-04-09,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_VOLATILE_BOTH,H5_MIXED,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT
2025-04-03,1,005930,삼성전자,2025-04-01,2,2,57300.0,2025-04-03 15:00:00,True,361,382,True,True,True,2025-04-04|2025-04-07|2025-04-08|2025-04-09|2025-04-10,2025-04-04|2025-04-07|2025-04-08|2025-04-09|2025-04-10,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_PLUS1_PROTECT_SUCCESS,H5_FAIL,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT
2025-04-03,2,065500,오리엔트정공,2025-04-02,1,1,15910.0,2025-04-03 15:00:00,True,358,378,True,True,True,2025-04-04|2025-04-07|2025-04-08|2025-04-09|2025-04-10,2025-04-04|2025-04-07|2025-04-08|2025-04-09|2025-04-10,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_PLUS1_PROTECT_SUCCESS,H5_RISKY_WINNER,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT
2025-04-03,3,098070,한텍,2025-04-02,1,1,32750.0,2025-04-03 15:00:00,True,361,381,True,True,True,2025-04-04|2025-04-07|2025-04-08|2025-04-09|2025-04-10,2025-04-04|2025-04-07|2025-04-08|2025-04-09|2025-04-10,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_PLUS1_PROTECT_SUCCESS,H5_RISKY_WINNER,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|LOW_RISK_COUNT
2025-04-04,1,005930,삼성전자,2025-04-01,3,3,56000.0,2025-04-04 15:00:00,True,361,382,True,True,True,2025-04-07|2025-04-08|2025-04-09|2025-04-10|2025-04-11,2025-04-07|2025-04-08|2025-04-09|2025-04-10|2025-04-11,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_FAST_FAIL,H5_FAIL,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT
2025-04-04,2,065500,오리엔트정공,2025-04-02,2,2,13900.0,2025-04-04 15:00:00,True,350,371,True,True,True,2025-04-07|2025-04-08|2025-04-09|2025-04-10|2025-04-11,2025-04-07|2025-04-08|2025-04-09|2025-04-10|2025-04-11,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_VOLATILE_BOTH,H5_RISKY_WINNER,D0_VALUE_STRONG|ACTIVE_AGE_OK|D0_CLOSE_BREAKDOWN|SIGNAL_DAY_WEAK|VOLUME_ALIVE|RSI_NEUTRAL
2025-04-04,3,098070,한텍,2025-04-02,2,2,31100.0,2025-04-04 15:00:00,True,360,381,True,True,True,2025-04-07|2025-04-08|2025-04-09|2025-04-10|2025-04-11,2025-04-07|2025-04-08|2025-04-09|2025-04-10|2025-04-11,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_VOLATILE_BOTH,H5_RISKY_WINNER,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|LOW_RISK_COUNT
2025-04-07,1,005930,삼성전자,2025-04-01,4,4,53500.0,2025-04-07 15:00:00,True,361,382,True,True,True,2025-04-08|2025-04-09|2025-04-10|2025-04-11|2025-04-14,2025-04-08|2025-04-09|2025-04-10|2025-04-11|2025-04-14,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_PLUS1_PROTECT_SUCCESS,H5_GOOD,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT
2025-04-07,2,065500,오리엔트정공,2025-04-02,3,3,14030.0,2025-04-07 15:00:00,True,360,381,True,True,True,2025-04-08|2025-04-09|2025-04-10|2025-04-11|2025-04-14,2025-04-08|2025-04-09|2025-04-10|2025-04-11|2025-04-14,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_PLUS1_PROTECT_SUCCESS,H5_RISKY_WINNER,D0_VALUE_STRONG|ACTIVE_AGE_OK|D0_CLOSE_BREAKDOWN|VOLUME_ALIVE
2025-04-07,3,098070,한텍,2025-04-02,3,3,30350.0,2025-04-07 15:00:00,True,359,380,True,True,True,2025-04-08|2025-04-09|2025-04-10|2025-04-11|2025-04-14,2025-04-08|2025-04-09|2025-04-10|2025-04-11|2025-04-14,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_PLUS1_PROTECT_SUCCESS,H5_GOOD,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT
2025-04-08,1,005930,삼성전자,2025-04-01,5,5,53400.0,2025-04-08 15:00:00,True,361,382,True,True,True,2025-04-09|2025-04-10|2025-04-11|2025-04-14|2025-04-15,2025-04-09|2025-04-10|2025-04-11|2025-04-14|2025-04-15,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_PLUS1_PROTECT_SUCCESS,H5_GOOD,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT
2025-04-08,2,098070,한텍,2025-04-02,4,4,32700.0,2025-04-08 15:00:00,True,361,382,True,True,True,2025-04-09|2025-04-10|2025-04-11|2025-04-14|2025-04-15,2025-04-09|2025-04-10|2025-04-11|2025-04-14|2025-04-15,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_PLUS1_PROTECT_SUCCESS,H5_GOOD,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|LOW_RISK_COUNT
2025-04-08,3,484810,티엑스알로보틱스,2025-04-01,5,5,18850.0,2025-04-08 15:00:00,True,361,382,True,True,True,2025-04-09|2025-04-10|2025-04-11|2025-04-14|2025-04-15,2025-04-09|2025-04-10|2025-04-11|2025-04-14|2025-04-15,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_VOLATILE_BOTH,H5_RISKY_WINNER,D0_VALUE_STRONG|ACTIVE_AGE_OK|D0_HIGH_BREAKDOWN|D0_CLOSE_BREAKDOWN|VOLUME_DIED
2025-04-09,1,005930,삼성전자,2025-04-08,1,1,53200.0,2025-04-09 15:00:00,True,361,382,True,True,True,2025-04-10|2025-04-11|2025-04-14|2025-04-15|2025-04-16,2025-04-10|2025-04-11|2025-04-14|2025-04-15|2025-04-16,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_PLUS1_PROTECT_SUCCESS,H5_GOOD,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT
2025-04-09,2,098070,한텍,2025-04-02,5,5,32650.0,2025-04-09 15:00:00,True,354,375,True,True,True,2025-04-10|2025-04-11|2025-04-14|2025-04-15|2025-04-16,2025-04-10|2025-04-11|2025-04-14|2025-04-15|2025-04-16,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_PLUS1_PROTECT_SUCCESS,H5_GOOD,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|LOW_RISK_COUNT
2025-04-09,3,484810,티엑스알로보틱스,2025-04-01,6,6,18260.0,2025-04-09 15:00:00,True,361,382,True,True,True,2025-04-10|2025-04-11|2025-04-14|2025-04-15|2025-04-16,2025-04-10|2025-04-11|2025-04-14|2025-04-15|2025-04-16,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_PLUS1_PROTECT_SUCCESS,H5_GOOD,D0_VALUE_STRONG|ACTIVE_AGE_OK|D0_HIGH_BREAKDOWN|D0_CLOSE_BREAKDOWN|VOLUME_DIED
2025-04-10,1,005930,삼성전자,2025-04-08,2,2,56300.0,2025-04-10 15:00:00,True,361,382,True,True,True,2025-04-11|2025-04-14|2025-04-15|2025-04-16|2025-04-17,2025-04-11|2025-04-14|2025-04-15|2025-04-16|2025-04-17,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_FAST_FAIL,H5_FAIL,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT
2025-04-10,2,098070,한텍,2025-04-02,6,6,40550.0,2025-04-10 15:00:00,True,359,380,True,True,True,2025-04-11|2025-04-14|2025-04-15|2025-04-16|2025-04-17,2025-04-11|2025-04-14|2025-04-15|2025-04-16|2025-04-17,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_PLUS1_PROTECT_SUCCESS,H5_GOOD,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|RSI_OVERHEAT
2025-04-10,3,013580,계룡건설,2025-04-09,1,1,23950.0,2025-04-10 15:00:00,True,360,381,True,True,True,2025-04-11|2025-04-14|2025-04-15|2025-04-16|2025-04-17,2025-04-11|2025-04-14|2025-04-15|2025-04-16|2025-04-17,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_FAST_FAIL,H5_FAIL,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT
2025-04-11,1,005930,삼성전자,2025-04-10,1,1,55300.0,2025-04-11 15:00:00,True,361,382,True,True,True,2025-04-14|2025-04-15|2025-04-16|2025-04-17|2025-04-18,2025-04-14|2025-04-15|2025-04-16|2025-04-17|2025-04-18,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_PLUS1_PROTECT_SUCCESS,H5_GOOD,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT
2025-04-11,2,098070,한텍,2025-04-10,1,1,41650.0,2025-04-11 15:00:00,True,361,382,True,True,True,2025-04-14|2025-04-15|2025-04-16|2025-04-17|2025-04-18,2025-04-14|2025-04-15|2025-04-16|2025-04-17|2025-04-18,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_PLUS1_PROTECT_SUCCESS,H5_RISKY_WINNER,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|LOW_RISK_COUNT
2025-04-11,3,008970,KBI동양철관,2025-04-10,1,1,2561.0,2025-04-11 15:00:00,True,361,382,True,True,True,2025-04-14|2025-04-15|2025-04-16|2025-04-17|2025-04-18,2025-04-14|2025-04-15|2025-04-16|2025-04-17|2025-04-18,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_PLUS1_PROTECT_SUCCESS,H5_GOOD,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT
2025-04-14,1,005930,삼성전자,2025-04-10,2,2,56100.0,2025-04-14 15:00:00,True,361,382,True,True,True,2025-04-15|2025-04-16|2025-04-17|2025-04-18|2025-04-21,2025-04-15|2025-04-16|2025-04-17|2025-04-18|2025-04-21,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_PLUS1_PROTECT_SUCCESS,H5_FAIL,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT
2025-04-14,2,098070,한텍,2025-04-10,2,2,43350.0,2025-04-14 15:00:00,True,361,382,True,True,True,2025-04-15|2025-04-16|2025-04-17|2025-04-18|2025-04-21,2025-04-15|2025-04-16|2025-04-17|2025-04-18|2025-04-21,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_PLUS1_PROTECT_SUCCESS,H5_RISKY_WINNER,D0_VALUE_STRONG|ACTIVE_AGE_OK|RSI_OVERHEAT
2025-04-14,3,008970,KBI동양철관,2025-04-10,2,2,2691.0,2025-04-14 15:00:00,True,361,380,True,True,True,2025-04-15|2025-04-16|2025-04-17|2025-04-18|2025-04-21,2025-04-15|2025-04-16|2025-04-17|2025-04-18|2025-04-21,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_PLUS1_PROTECT_SUCCESS,H5_GOOD,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|VOLUME_ALIVE|RSI_OVERHEAT
2025-04-15,1,005930,삼성전자,2025-04-14,1,1,56750.0,2025-04-15 15:00:00,True,361,382,True,True,True,2025-04-16|2025-04-17|2025-04-18|2025-04-21|2025-04-22,2025-04-16|2025-04-17|2025-04-18|2025-04-21|2025-04-22,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_FAST_FAIL,H5_FAIL,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT
2025-04-15,2,098070,한텍,2025-04-10,3,3,46000.0,2025-04-15 15:00:00,True,360,381,True,True,True,2025-04-16|2025-04-17|2025-04-18|2025-04-21|2025-04-22,2025-04-16|2025-04-17|2025-04-18|2025-04-21|2025-04-22,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_FAST_FAIL,H5_FAIL,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|LOW_RISK_COUNT
2025-04-15,3,013580,계룡건설,2025-04-09,4,4,21700.0,2025-04-15 15:00:00,True,361,382,True,True,True,2025-04-16|2025-04-17|2025-04-18|2025-04-21|2025-04-22,2025-04-16|2025-04-17|2025-04-18|2025-04-21|2025-04-22,True,True,True,False,done,partial_minute,H5_PARTIAL_MINUTE,h5_partial_minute,False,4,4,4,PARTIAL_MINUTE,D1_VOLATILE_BOTH,H5_PARTIAL_MINUTE,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_DIED|RSI_NEUTRAL
2025-04-16,1,005930,삼성전자,2025-04-14,2,2,54750.0,2025-04-16 15:00:00,True,361,382,True,True,True,2025-04-17|2025-04-18|2025-04-21|2025-04-22|2025-04-23,2025-04-17|2025-04-18|2025-04-21|2025-04-22|2025-04-23,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_PLUS1_PROTECT_SUCCESS,H5_GOOD,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT
2025-04-16,2,098070,한텍,2025-04-10,4,4,41700.0,2025-04-16 15:00:00,True,361,382,True,True,True,2025-04-17|2025-04-18|2025-04-21|2025-04-22|2025-04-23,2025-04-17|2025-04-18|2025-04-21|2025-04-22|2025-04-23,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_PLUS1_PROTECT_SUCCESS,H5_RISKY_WINNER,D0_VALUE_STRONG|ACTIVE_AGE_OK|SIGNAL_DAY_WEAK
2025-04-16,3,013580,계룡건설,2025-04-09,5,5,21650.0,2025-04-16 15:00:00,True,360,381,True,True,True,2025-04-17|2025-04-18|2025-04-21|2025-04-22|2025-04-23,2025-04-17|2025-04-18|2025-04-21|2025-04-22|2025-04-23,True,True,True,False,done,partial_minute,H5_PARTIAL_MINUTE,h5_partial_minute,False,4,4,4,PARTIAL_MINUTE,D1_PLUS1_PROTECT_SUCCESS,H5_PARTIAL_MINUTE,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_DIED|RSI_NEUTRAL
2025-04-17,1,005930,삼성전자,2025-04-14,3,3,55000.0,2025-04-17 15:00:00,True,361,382,True,True,True,2025-04-18|2025-04-21|2025-04-22|2025-04-23|2025-04-24,2025-04-18|2025-04-21|2025-04-22|2025-04-23|2025-04-24,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_PLUS1_PROTECT_SUCCESS,H5_GOOD,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|LOW_RISK_COUNT
2025-04-17,2,098070,한텍,2025-04-10,5,5,40700.0,2025-04-17 15:00:00,True,361,382,True,True,True,2025-04-18|2025-04-21|2025-04-22|2025-04-23|2025-04-24,2025-04-18|2025-04-21|2025-04-22|2025-04-23|2025-04-24,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_VOLATILE_BOTH,H5_RISKY_WINNER,D0_VALUE_STRONG|ACTIVE_AGE_OK|RSI_NEUTRAL|LOW_RISK_COUNT
2025-04-17,3,013580,계룡건설,2025-04-09,6,6,18740.0,2025-04-17 15:00:00,True,360,381,True,True,True,2025-04-18|2025-04-21|2025-04-22|2025-04-23|2025-04-24,2025-04-18|2025-04-21|2025-04-22|2025-04-23|2025-04-24,True,True,True,False,done,partial_minute,H5_PARTIAL_MINUTE,h5_partial_minute,False,4,4,4,PARTIAL_MINUTE,D1_PLUS1_PROTECT_SUCCESS,H5_PARTIAL_MINUTE,D0_VALUE_STRONG|ACTIVE_AGE_OK|D0_HIGH_BREAKDOWN|D0_CLOSE_BREAKDOWN|SIGNAL_DAY_WEAK|VOLUME_ALIVE
2025-04-18,1,005930,삼성전자,2025-04-17,1,1,55400.0,2025-04-18 15:00:00,True,361,382,True,True,True,2025-04-21|2025-04-22|2025-04-23|2025-04-24|2025-04-25,2025-04-21|2025-04-22|2025-04-23|2025-04-24|2025-04-25,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_PLUS1_PROTECT_SUCCESS,H5_MIXED,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT
2025-04-18,2,098070,한텍,2025-04-10,6,6,38850.0,2025-04-18 15:00:00,True,361,382,True,True,True,2025-04-21|2025-04-22|2025-04-23|2025-04-24|2025-04-25,2025-04-21|2025-04-22|2025-04-23|2025-04-24|2025-04-25,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_PLUS1_PROTECT_SUCCESS,H5_RISKY_WINNER,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|LOW_RISK_COUNT
2025-04-18,3,013580,계룡건설,2025-04-09,7,7,24100.0,2025-04-18 15:00:00,False,327,344,True,True,True,2025-04-21|2025-04-22|2025-04-23|2025-04-24|2025-04-25,2025-04-21|2025-04-22|2025-04-23|2025-04-24|2025-04-25,True,True,True,False,done,partial_minute,SIGNAL_MINUTE_TO_1500_INSUFFICIENT|H5_PARTIAL_MINUTE,h5_partial_minute,False,4,4,4,ENTRY_OR_SIGNAL_MINUTE_INSUFFICIENT,D1_PLUS1_PROTECT_SUCCESS,H5_PARTIAL_MINUTE,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|RSI_NEUTRAL|LOW_RISK_COUNT
2025-04-21,1,005930,삼성전자,2025-04-17,2,2,55400.0,2025-04-21 15:00:00,True,361,382,True,True,True,2025-04-22|2025-04-23|2025-04-24|2025-04-25|2025-04-28,2025-04-22|2025-04-23|2025-04-24|2025-04-25|2025-04-28,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_OTHER,H5_MIXED,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT
2025-04-21,2,098070,한텍,2025-04-10,7,7,39350.0,2025-04-21 15:00:00,True,361,382,True,True,True,2025-04-22|2025-04-23|2025-04-24|2025-04-25|2025-04-28,2025-04-22|2025-04-23|2025-04-24|2025-04-25|2025-04-28,True,True,True,True,done,done,OK,h5_done,False,5,5,5,OK,D1_PLUS1_PROTECT_SUCCESS,H5_RISKY_WINNER,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|VOLUME_DIED
