replay_order,signal_date,rank,stock_code,stock_name,d0_date,trading_day_age,entry_1500_price,entry_1500_dt,signal_day_pct_change_1500,signal_vs_d0_close_pct,signal_vs_d0_high_pct,signal_volume_retention_vs_d0,rsi14_signal_1500,risk_count,badges,paper_watch_status,d1_label,h5_label,retro_success_tags,retro_fail_tags,retro_tags,hide_outcome_default,d1_reveal_available,h5_reveal_available,chart_status,minute_entry_available,d1_data_available,h5_data_available,minute_missing_reason,date_mapping_error,expected_dplus_dates,signal_minute_rows_to_1500,dplus_minute_day_count,selection_reason_text,model_id,source_layer,watch_days
1,2025-04-02,1,005930,삼성전자,2025-04-01,1,58850.0,2025-04-02 15:00:00,0.08503401360544505,0.08503401360544505,-1.2583892617449632,92.38476817814221,38.46153846153846,0,15시 balanced · RSI 중립,h5_done,D1_FAST_FAIL,H5_FAIL,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|LOW_RISK_COUNT,,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|LOW_RISK_COUNT,True,True,True,OK,True,True,True,OK,False,2025-04-03|2025-04-04|2025-04-07|2025-04-08|2025-04-09,361,5,D0 거래대금 우선 Top3 / D0 거래대금 순위 1 / 감시 D+1 / D0 고가 근처 / 15시 거래량 유지 / risk_count 0,EOD_D0_BASE_VALUE_TOP3,ACTIVE_WATCHLIST,10
2,2025-04-02,2,484810,티엑스알로보틱스,2025-04-01,1,23800.0,2025-04-02 15:00:00,-2.6584867075664653,-2.6584867075664653,-4.800000000000004,51.629755829927845,41.66666666666667,0,15시 balanced · RSI 중립,h5_done,D1_PLUS1_PROTECT_SUCCESS,H5_RISKY_WINNER,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT,,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT,True,True,True,OK,True,True,True,OK,False,2025-04-03|2025-04-04|2025-04-07|2025-04-08|2025-04-09,361,5,D0 거래대금 우선 Top3 / D0 거래대금 순위 3 / 감시 D+1 / D0 고가 근처 / 15시 거래량 유지 / risk_count 0,EOD_D0_BASE_VALUE_TOP3,ACTIVE_WATCHLIST,10
3,2025-04-02,3,463480,모티브링크,2025-04-01,1,15590.0,2025-04-02 15:00:00,2.2295081967213193,2.2295081967213193,-3.407682775712517,54.540021391902904,57.14285714285714,0,15시 balanced · RSI 중립,h5_done,D1_VOLATILE_BOTH,H5_MIXED,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT,,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT,True,True,True,OK,True,True,True,OK,False,2025-04-03|2025-04-04|2025-04-07|2025-04-08|2025-04-09,360,5,D0 거래대금 우선 Top3 / D0 거래대금 순위 4 / 감시 D+1 / D0 고가 근처 / 15시 거래량 유지 / risk_count 0,EOD_D0_BASE_VALUE_TOP3,ACTIVE_WATCHLIST,10
4,2025-04-03,1,005930,삼성전자,2025-04-01,2,57300.0,2025-04-03 15:00:00,-2.5510204081632626,-2.5510204081632626,-3.8590604026845665,123.3666139130538,50.0,0,15시 balanced · RSI 중립,h5_done,D1_PLUS1_PROTECT_SUCCESS,H5_FAIL,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT,,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT,True,True,True,OK,True,True,True,OK,False,2025-04-04|2025-04-07|2025-04-08|2025-04-09|2025-04-10,361,5,D0 거래대금 우선 Top3 / D0 거래대금 순위 1 / 감시 D+2 / D0 고가 근처 / 15시 거래량 유지 / risk_count 0,EOD_D0_BASE_VALUE_TOP3,ACTIVE_WATCHLIST,10
5,2025-04-03,2,065500,오리엔트정공,2025-04-02,1,15910.0,2025-04-03 15:00:00,0.12586532410321372,0.12586532410321372,-5.690574985180796,75.21227522316381,49.81751824817518,0,15시 balanced · RSI 중립,h5_done,D1_PLUS1_PROTECT_SUCCESS,H5_RISKY_WINNER,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT,,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT,True,True,True,OK,True,True,True,OK,False,2025-04-04|2025-04-07|2025-04-08|2025-04-09|2025-04-10,358,5,D0 거래대금 우선 Top3 / D0 거래대금 순위 2 / 감시 D+1 / D0 고가 대비 조정권 / 15시 거래량 유지 / risk_count 0,EOD_D0_BASE_VALUE_TOP3,ACTIVE_WATCHLIST,10
6,2025-04-03,3,098070,한텍,2025-04-02,1,32750.0,2025-04-03 15:00:00,4.133545310015907,4.133545310015907,4.133545310015907,64.69297168747005,65.67164179104478,0,15시 balanced,h5_done,D1_PLUS1_PROTECT_SUCCESS,H5_RISKY_WINNER,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|LOW_RISK_COUNT,,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|LOW_RISK_COUNT,True,True,True,OK,True,True,True,OK,False,2025-04-04|2025-04-07|2025-04-08|2025-04-09|2025-04-10,361,5,D0 거래대금 우선 Top3 / D0 거래대금 순위 4 / 감시 D+1 / D0 고가 근처 / 15시 거래량 유지 / risk_count 0,EOD_D0_BASE_VALUE_TOP3,ACTIVE_WATCHLIST,10
7,2025-04-04,1,005930,삼성전자,2025-04-01,3,56000.0,2025-04-04 15:00:00,-2.777777777777779,-4.761904761904767,-6.040268456375841,149.00049892693863,50.0,0,15시 balanced · RSI 중립,h5_done,D1_FAST_FAIL,H5_FAIL,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT,,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT,True,True,True,OK,True,True,True,OK,False,2025-04-07|2025-04-08|2025-04-09|2025-04-10|2025-04-11,361,5,D0 거래대금 우선 Top3 / D0 거래대금 순위 1 / 감시 D+3 / D0 고가 대비 조정권 / 15시 거래량 유지 / risk_count 0,EOD_D0_BASE_VALUE_TOP3,ACTIVE_WATCHLIST,10
8,2025-04-04,2,065500,오리엔트정공,2025-04-02,2,13900.0,2025-04-04 15:00:00,-10.553410553410558,-12.523599748269355,-17.605216360403087,106.35598885695119,54.05405405405405,2,깊은 눌림 · D0종가 -10%↓ · 신호일 약세 · RSI 중립,h5_done,D1_VOLATILE_BOTH,H5_RISKY_WINNER,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|RSI_NEUTRAL,D0_CLOSE_BREAKDOWN|SIGNAL_DAY_WEAK,D0_VALUE_STRONG|ACTIVE_AGE_OK|D0_CLOSE_BREAKDOWN|SIGNAL_DAY_WEAK|VOLUME_ALIVE|RSI_NEUTRAL,True,True,True,OK,True,True,True,OK,False,2025-04-07|2025-04-08|2025-04-09|2025-04-10|2025-04-11,350,5,D0 거래대금 우선 Top3 / D0 거래대금 순위 2 / 감시 D+2 / D0 종가 대비 약세 / 15시 거래량 유지 / risk_count 2,EOD_D0_BASE_VALUE_TOP3,ACTIVE_WATCHLIST,10
9,2025-04-04,3,098070,한텍,2025-04-02,2,31100.0,2025-04-04 15:00:00,-6.184012066365008,-1.112877583465821,-1.112877583465821,32.5568831504648,36.0,0,15시 balanced · RSI 중립,h5_done,D1_VOLATILE_BOTH,H5_RISKY_WINNER,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|LOW_RISK_COUNT,,D0_VALUE_STRONG|ACTIVE_AGE_OK|VOLUME_ALIVE|LOW_RISK_COUNT,True,True,True,OK,True,True,True,OK,False,2025-04-07|2025-04-08|2025-04-09|2025-04-10|2025-04-11,360,5,D0 거래대금 우선 Top3 / D0 거래대금 순위 4 / 감시 D+2 / D0 고가 근처 / 15시 거래량 유지 / risk_count 0,EOD_D0_BASE_VALUE_TOP3,ACTIVE_WATCHLIST,10
10,2025-04-07,1,005930,삼성전자,2025-04-01,4,53500.0,2025-04-07 15:00:00,-4.634581105169344,-9.013605442176875,-10.23489932885906,201.2677194559688,50.0,0,RSI 중립,h5_done,D1_PLUS1_PROTECT_SUCCESS,H5_GOOD,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT,,D0_VALUE_STRONG|ACTIVE_AGE_OK|PULLBACK_HEALTHY|VOLUME_ALIVE|RSI_NEUTRAL|LOW_RISK_COUNT,True,True,True,OK,True,True,True,OK,False,2025-04-08|2025-04-09|2025-04-10|2025-04-11|2025-04-14,361,5,D0 거래대금 우선 Top3 / D0 거래대금 순위 1 / 감시 D+4 / D0 고가 대비 조정권 / 15시 거래량 유지 / risk_count 0,EOD_D0_BASE_VALUE_TOP3,ACTIVE_WATCHLIST,10
