d0_date,stock_code,stock_name,market,sector,industry,stock_type,d0_open,d0_high,d0_low,d0_close,d0_volume,d0_prev_close,d0_pct_change,d0_trading_value_proxy_eok,d0_volume_vs_20d,d0_value_vs_20d,d0_upper_shadow_ratio,d0_lower_shadow_ratio,d0_range_pct,d0_volume_rank,d0_value_rank,signal_date,trading_day_age,source_layer,watch_days,duplicate_active_event_dropped
2026-05-28,000220,유유제약,KOSPI,의약품 제조업,"의약품 제조,판매",COMMON,3995,4950,3990,4160,10303981,3810.0,9.186351706036744,428.6456096,163.44978993712786,168.35401764521595,0.8229166666666666,0.005208333333333333,24.06015037593985,22.0,164.0,2026-06-01,2,ACTIVE_WATCHLIST,10,False
2026-05-26,001510,SK증권,KOSPI,금융 지원 서비스업,"증권업,부동산 임대",COMMON,3935,4190,3870,3990,15012251,3850.0,3.6363636363636376,598.9888149,0.4931513988999919,0.37913210337941494,0.625,0.203125,8.2687338501292,18.0,130.0,2026-06-01,4,ACTIVE_WATCHLIST,10,False
2026-05-28,001740,SK네트웍스,KOSPI,기타 전문 도매업,"정보통신 유통, 자동차 관리, 글로벌 트레이딩, 호텔&리조트",COMMON,11280,13280,10740,11980,55659078,11380.0,5.272407732864681,6667.9575444,3.0737034723407004,4.011069171077219,0.5118110236220472,0.2125984251968504,23.649906890130353,2.0,13.0,2026-06-01,2,ACTIVE_WATCHLIST,10,False
2026-05-28,003280,흥아해운,KOSPI,해상 운송업,외항화물운송업(케미컬탱커),COMMON,2280,2640,2205,2325,91206553,2255.0,3.104212860310418,2120.55235725,3.2900039976267714,2.791171790026093,0.7241379310344828,0.1724137931034483,19.727891156462583,1.0,42.0,2026-06-01,2,ACTIVE_WATCHLIST,10,False
2026-05-20,005950,이수화학,KOSPI,기초 화학물질 제조업,"등유,알킬벤젠,윤활유,노말파라핀 제조,도매",COMMON,12330,14400,12330,14080,11079635,12200.0,15.409836065573778,1560.012608,5.677154684401288,7.25604201009267,0.15458937198067632,0.0,16.78832116788321,25.0,41.0,2026-06-01,7,ACTIVE_WATCHLIST,10,False
2026-05-21,006340,대원전선,KOSPI,절연선 및 케이블 제조업,"전선,통신케이블,무선통신장비,합성수지 제조,도매/부동산 매매,임대",COMMON,14860,16080,14320,15220,20509398,13540.0,12.40768094534712,3121.5303756,0.5935377795975635,0.7368569619056238,0.48863636363636365,0.3068181818181818,12.290502793296088,10.0,18.0,2026-06-01,6,ACTIVE_WATCHLIST,10,False
2026-05-28,006660,삼성공조,KOSPI,자동차 신품 부품 제조업,"자동차부품(라디에터,오일쿨러) 제조,판매",COMMON,16380,20000,15540,17170,14486465,15520.0,10.631443298969078,2487.3260405,30.81289097147038,37.46042733043161,0.6345291479820628,0.18834080717488788,28.7001287001287,16.0,34.0,2026-06-01,2,ACTIVE_WATCHLIST,10,False
2026-05-26,010170,대한광통신,KOSDAQ,절연선 및 케이블 제조업,광섬유,COMMON,25050,27900,24700,27800,30249236,24300.0,14.403292181069949,8409.287608,0.7710442680158839,0.9991197374563051,0.03125,0.109375,12.955465587044534,6.0,7.0,2026-06-01,4,ACTIVE_WATCHLIST,10,False
2026-05-28,011230,삼화전자,KOSPI,영상 및 음향기기 제조업,"전자부품(페라이트 코어,SMPS,편향요크(DY),고압변성기(FBT)용코어) 제조,판매",COMMON,3300,4485,3100,3905,24841174,3610.0,8.171745152354571,970.0478447,22.199354274181328,25.35132668499606,0.4187725631768953,0.1444043321299639,44.67741935483871,8.0,81.0,2026-06-01,2,ACTIVE_WATCHLIST,10,False
2026-05-21,014910,성문전자,KOSPI,전자부품 제조업,"콘덴서용 증착필름,압력분무식 플러스자동도포기 제조,판매",COMMON,3240,3840,2800,3190,18647852,3125.0,2.079999999999993,594.8664788,3.8986527474237,4.26022023482765,0.5769230769230769,0.375,37.142857142857146,16.0,120.0,2026-06-01,6,ACTIVE_WATCHLIST,10,False
