d0_date,stock_code,stock_name,market,sector,industry,stock_type,d0_open,d0_high,d0_low,d0_close,d0_volume,d0_prev_close,d0_pct_change,d0_trading_value_proxy_eok,d0_volume_vs_20d,d0_value_vs_20d,d0_upper_shadow_ratio,d0_lower_shadow_ratio,d0_range_pct,d0_volume_rank,d0_value_rank
2026-05-28,000220,유유제약,KOSPI,의약품 제조업,"의약품 제조,판매",COMMON,3995,4950,3990,4160,10303981,3810.0,9.186351706036744,428.6456096,163.44978993712786,168.35401764521595,0.8229166666666666,0.005208333333333333,24.06015037593985,22.0,164.0
2026-05-28,001740,SK네트웍스,KOSPI,기타 전문 도매업,"정보통신 유통, 자동차 관리, 글로벌 트레이딩, 호텔&리조트",COMMON,11280,13280,10740,11980,55659078,11380.0,5.272407732864681,6667.9575444,3.0737034723407004,4.011069171077219,0.5118110236220472,0.2125984251968504,23.649906890130353,2.0,13.0
2026-05-28,003280,흥아해운,KOSPI,해상 운송업,외항화물운송업(케미컬탱커),COMMON,2280,2640,2205,2325,91206553,2255.0,3.104212860310418,2120.55235725,3.2900039976267714,2.791171790026093,0.7241379310344828,0.1724137931034483,19.727891156462583,1.0,42.0
2026-05-28,006660,삼성공조,KOSPI,자동차 신품 부품 제조업,"자동차부품(라디에터,오일쿨러) 제조,판매",COMMON,16380,20000,15540,17170,14486465,15520.0,10.631443298969078,2487.3260405,30.81289097147038,37.46042733043161,0.6345291479820628,0.18834080717488788,28.7001287001287,16.0,34.0
2026-05-28,011230,삼화전자,KOSPI,영상 및 음향기기 제조업,"전자부품(페라이트 코어,SMPS,편향요크(DY),고압변성기(FBT)용코어) 제조,판매",COMMON,3300,4485,3100,3905,24841174,3610.0,8.171745152354571,970.0478447,22.199354274181328,25.35132668499606,0.4187725631768953,0.1444043321299639,44.67741935483871,8.0,81.0
2026-05-28,024060,흥구석유,KOSDAQ,기타 전문 도매업,휘발유등,COMMON,13000,16370,13000,13550,15759006,13160.0,2.963525835866254,2135.345313,6.285164994192835,5.292345827137072,0.8367952522255193,0.0,25.92307692307692,13.0,41.0
2026-05-28,032580,피델릭스,KOSDAQ,반도체 제조업,PSRAM 및 LPSDRAM,COMMON,6310,7260,5320,6810,10417307,6280.0,8.439490445859876,709.4186067,2.1875409220000113,3.2499282244964927,0.23195876288659795,0.5103092783505154,36.46616541353384,21.0,113.0
2026-05-28,034220,LG디스플레이,KOSPI,전자부품 제조업,"고화질, 초대형, 폴더블 고부가가치 디스플레이 제품 개발, 제조",COMMON,14300,16150,13750,14420,27009496,14130.0,2.0523708421797515,3894.7693232,2.1980624795985215,2.2623548426619933,0.7208333333333333,0.22916666666666666,17.454545454545457,7.0,19.0
2026-05-28,066980,한성크린텍,KOSDAQ,"건축기술, 엔지니어링 및 관련 기술 서비스업",수처리설비EPC,COMMON,2005,2430,1979,2355,10672425,2015.0,16.873449131513652,251.33560875,2.548104753638918,3.298256261925049,0.1662971175166297,0.057649667405764965,22.789287518948964,20.0,240.0
2026-05-28,242040,나무기술,KOSDAQ,소프트웨어 개발 및 공급업,응용소프트웨어 개발 및 공급업,COMMON,6810,7870,6620,7490,17990936,6620.0,13.141993957703924,1347.5211064,6.173247412650906,8.414067647405266,0.304,0.152,18.882175226586103,12.0,65.0
2026-05-28,417010,나노팀,KOSDAQ,일반 목적용 기계 제조업,전기차용 방열제품,COMMON,13310,15930,12150,14650,19810696,12560.0,16.640127388535042,2902.266964,21.919049961507472,26.981026496065223,0.3386243386243386,0.30687830687830686,31.11111111111111,10.0,28.0
