signal_date,stock_code,stock_name,policy_key,policy_label_ko,relationship_group,dashboard_rank,dashboard_score_v2,entry_1500,fill_pass,color_path,color_path_emoji,color_path_label_ko,pattern_short_label,d1_color,d1_color_emoji,d1_color_name_ko,d1_color_hex,d2_color,d2_color_emoji,d2_color_name_ko,d2_color_hex,d3_color,d3_color_emoji,d3_color_name_ko,d3_color_hex,d4_color,d4_color_emoji,d4_color_name_ko,d4_color_hex,d5_color,d5_color_emoji,d5_color_name_ko,d5_color_hex,d5_first_touch_result,outcome_ko,first_touch_result,first_touch_ko,mfe_d5_pct,mae_d5_pct,green_count,yellow_count,orange_count,red_count,gray_count,chart_path,chart_path_exists
2026-04-09,38500,삼표시멘트,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,1,83.935,16900.0,Y,G-O-Y-Y-O,🟢-🟠-🟡-🟡-🟠,완전강세-실패-회복-회복-실패,혼합 흐름,G,🟢,완전강세,#D1F5DD,O,🟠,실패,#FFE1BD,Y,🟡,회복,#FFF5C2,Y,🟡,회복,#FFF5C2,O,🟠,실패,#FFE1BD,profit_first,익절 먼저,profit_first,익절 먼저,16.5089,-3.1361,1,2,2,0,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260409_r1_038500.png,True
2026-04-09,10170,대한광통신,V2_FINAL_TOP3,최종 운영형 V2 Top3,COMMON_V2_P0,2,81.0573,14190.0,Y,G-G-Y-O-R,🟢-🟢-🟡-🟠-🔴,완전강세-완전강세-회복-실패-약세,초강세 유지,G,🟢,완전강세,#D1F5DD,G,🟢,완전강세,#D1F5DD,Y,🟡,회복,#FFF5C2,O,🟠,실패,#FFE1BD,R,🔴,약세,#FFD1D1,profit_first,익절 먼저,profit_first,익절 먼저,55.0388,2.1142,2,1,1,1,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260409_r2_010170.png,True
2026-04-09,6360,GS건설,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,3,75.64,35600.0,Y,G-R-Y-Y-O,🟢-🔴-🟡-🟡-🟠,완전강세-약세-회복-회복-실패,혼합 흐름,G,🟢,완전강세,#D1F5DD,R,🔴,약세,#FFD1D1,Y,🟡,회복,#FFF5C2,Y,🟡,회복,#FFF5C2,O,🟠,실패,#FFE1BD,profit_first,익절 먼저,profit_first,익절 먼저,20.7865,-0.9831,1,2,1,1,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260409_r3_006360.png,True
2026-04-10,10820,퍼스텍,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,1,88.97,11360.0,Y,Y-O-Y-O-Y,🟡-🟠-🟡-🟠-🟡,회복-실패-회복-실패-회복,혼합 흐름,Y,🟡,회복,#FFF5C2,O,🟠,실패,#FFE1BD,Y,🟡,회복,#FFF5C2,O,🟠,실패,#FFE1BD,Y,🟡,회복,#FFF5C2,profit_first,익절 먼저,profit_first,익절 먼저,26.1444,-4.8415,0,3,2,0,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260410_r1_010820.png,True
2026-04-10,38500,삼표시멘트,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,2,83.935,17300.0,Y,O-Y-Y-O-O,🟠-🟡-🟡-🟠-🟠,실패-회복-회복-실패-실패,실패 반복,O,🟠,실패,#FFE1BD,Y,🟡,회복,#FFF5C2,Y,🟡,회복,#FFF5C2,O,🟠,실패,#FFE1BD,O,🟠,실패,#FFE1BD,loss_first,손실 먼저,loss_first,손실 먼저,4.8555,-9.1329,0,2,3,0,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260410_r2_038500.png,True
2026-04-10,10170,대한광통신,V2_FINAL_TOP3,최종 운영형 V2 Top3,COMMON_V2_P0,3,81.0573,18080.0,Y,G-Y-O-R-G,🟢-🟡-🟠-🔴-🟢,완전강세-회복-실패-약세-완전강세,회복→강세,G,🟢,완전강세,#D1F5DD,Y,🟡,회복,#FFF5C2,O,🟠,실패,#FFE1BD,R,🔴,약세,#FFD1D1,G,🟢,완전강세,#D1F5DD,profit_first,익절 먼저,profit_first,익절 먼저,21.6814,-18.9712,2,1,1,1,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260410_r3_010170.png,True
2026-04-13,10820,퍼스텍,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,1,88.97,11890.0,Y,O-Y-O-Y-G,🟠-🟡-🟠-🟡-🟢,실패-회복-실패-회복-완전강세,회복→강세,O,🟠,실패,#FFE1BD,Y,🟡,회복,#FFF5C2,O,🟠,실패,#FFE1BD,Y,🟡,회복,#FFF5C2,G,🟢,완전강세,#D1F5DD,loss_first,손실 먼저,loss_first,손실 먼저,38.6039,-5.5509,1,2,2,0,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260413_r1_010820.png,True
2026-04-13,100590,머큐리,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,2,83.1983,11180.0,Y,O-O-R-O-R,🟠-🟠-🔴-🟠-🔴,실패-실패-약세-실패-약세,실패→약세,O,🟠,실패,#FFE1BD,O,🟠,실패,#FFE1BD,R,🔴,약세,#FFD1D1,O,🟠,실패,#FFE1BD,R,🔴,약세,#FFD1D1,profit_first,익절 먼저,profit_first,익절 먼저,14.0429,-34.0787,0,0,3,2,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260413_r2_100590.png,True
2026-04-13,490470,세미파이브,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,3,82.3801,36250.0,Y,Y-O-O-Y-O,🟡-🟠-🟠-🟡-🟠,회복-실패-실패-회복-실패,실패 반복,Y,🟡,회복,#FFF5C2,O,🟠,실패,#FFE1BD,O,🟠,실패,#FFE1BD,Y,🟡,회복,#FFF5C2,O,🟠,실패,#FFE1BD,profit_first,익절 먼저,profit_first,익절 먼저,7.8621,-3.8621,0,2,3,0,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260413_r3_490470.png,True
2026-04-14,10820,퍼스텍,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,1,88.97,11870.0,Y,Y-O-Y-G-R,🟡-🟠-🟡-🟢-🔴,회복-실패-회복-완전강세-약세,회복→강세,Y,🟡,회복,#FFF5C2,O,🟠,실패,#FFE1BD,Y,🟡,회복,#FFF5C2,G,🟢,완전강세,#D1F5DD,R,🔴,약세,#FFD1D1,loss_first,손실 먼저,loss_first,손실 먼저,38.8374,-3.6226,1,2,1,1,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260414_r1_010820.png,True
2026-04-14,100590,머큐리,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,2,83.1983,10700.0,Y,O-R-O-R-O,🟠-🔴-🟠-🔴-🟠,실패-약세-실패-약세-실패,실패→약세,O,🟠,실패,#FFE1BD,R,🔴,약세,#FFD1D1,O,🟠,실패,#FFE1BD,R,🔴,약세,#FFD1D1,O,🟠,실패,#FFE1BD,profit_first,익절 먼저,profit_first,익절 먼저,5.6075,-36.3551,0,0,3,2,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260414_r2_100590.png,True
2026-04-14,490470,세미파이브,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,3,82.3801,37250.0,Y,O-O-Y-O-O,🟠-🟠-🟡-🟠-🟠,실패-실패-회복-실패-실패,실패 반복,O,🟠,실패,#FFE1BD,O,🟠,실패,#FFE1BD,Y,🟡,회복,#FFF5C2,O,🟠,실패,#FFE1BD,O,🟠,실패,#FFE1BD,loss_first,손실 먼저,loss_first,손실 먼저,5.6376,-4.2953,0,1,4,0,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260414_r3_490470.png,True
2026-04-15,100590,머큐리,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,1,83.1983,10250.0,Y,R-O-R-O-R,🔴-🟠-🔴-🟠-🔴,약세-실패-약세-실패-약세,실패→약세,R,🔴,약세,#FFD1D1,O,🟠,실패,#FFE1BD,R,🔴,약세,#FFD1D1,O,🟠,실패,#FFE1BD,R,🔴,약세,#FFD1D1,loss_first,손실 먼저,loss_first,손실 먼저,0.7805,-34.439,0,0,2,3,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260415_r1_100590.png,True
2026-04-15,47040,대우건설,V2_FINAL_TOP3,최종 운영형 V2 Top3,COMMON_V2_P0,2,82.493,28550.0,Y,Y-Y-O-G-R,🟡-🟡-🟠-🟢-🔴,회복-회복-실패-완전강세-약세,회복→강세,Y,🟡,회복,#FFF5C2,Y,🟡,회복,#FFF5C2,O,🟠,실패,#FFE1BD,G,🟢,완전강세,#D1F5DD,R,🔴,약세,#FFD1D1,loss_first,손실 먼저,loss_first,손실 먼저,21.366,-6.655,1,2,1,1,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260415_r2_047040.png,True
2026-04-15,490470,세미파이브,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,3,82.3801,36450.0,Y,O-Y-O-O-R,🟠-🟡-🟠-🟠-🔴,실패-회복-실패-실패-약세,실패→약세,O,🟠,실패,#FFE1BD,Y,🟡,회복,#FFF5C2,O,🟠,실패,#FFE1BD,O,🟠,실패,#FFE1BD,R,🔴,약세,#FFD1D1,profit_first,익절 먼저,profit_first,익절 먼저,7.9561,-3.2922,0,1,3,1,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260415_r3_490470.png,True
2026-04-16,417840,저스템,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,1,87.6996,10740.0,Y,R-O-G-G-O,🔴-🟠-🟢-🟢-🟠,약세-실패-완전강세-완전강세-실패,혼합 흐름,R,🔴,약세,#FFD1D1,O,🟠,실패,#FFE1BD,G,🟢,완전강세,#D1F5DD,G,🟢,완전강세,#D1F5DD,O,🟠,실패,#FFE1BD,loss_first,손실 먼저,loss_first,손실 먼저,19.1806,-5.6797,2,0,2,1,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260416_r1_417840.png,True
2026-04-16,47040,대우건설,V2_FINAL_TOP3,최종 운영형 V2 Top3,COMMON_V2_P0,2,82.493,28750.0,Y,Y-O-G-R-Y,🟡-🟠-🟢-🔴-🟡,회복-실패-완전강세-약세-회복,회복→강세,Y,🟡,회복,#FFF5C2,O,🟠,실패,#FFE1BD,G,🟢,완전강세,#D1F5DD,R,🔴,약세,#FFD1D1,Y,🟡,회복,#FFF5C2,loss_first,손실 먼저,loss_first,손실 먼저,25.913,-5.7391,1,2,1,1,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260416_r2_047040.png,True
2026-04-16,417840,저스템,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,3,78.0794,10740.0,Y,R-O-G-G-O,🔴-🟠-🟢-🟢-🟠,약세-실패-완전강세-완전강세-실패,혼합 흐름,R,🔴,약세,#FFD1D1,O,🟠,실패,#FFE1BD,G,🟢,완전강세,#D1F5DD,G,🟢,완전강세,#D1F5DD,O,🟠,실패,#FFE1BD,loss_first,손실 먼저,loss_first,손실 먼저,19.1806,-5.6797,2,0,2,1,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260416_r3_417840.png,True
2026-04-17,417840,저스템,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,1,87.6996,10600.0,Y,O-G-G-O-Y,🟠-🟢-🟢-🟠-🟡,실패-완전강세-완전강세-실패-회복,혼합 흐름,O,🟠,실패,#FFE1BD,G,🟢,완전강세,#D1F5DD,G,🟢,완전강세,#D1F5DD,O,🟠,실패,#FFE1BD,Y,🟡,회복,#FFF5C2,loss_first,손실 먼저,loss_first,손실 먼저,20.7547,-4.434,2,1,2,0,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260417_r1_417840.png,True
2026-04-17,47040,대우건설,V2_FINAL_TOP3,최종 운영형 V2 Top3,COMMON_V2_P0,2,82.493,28650.0,Y,O-G-R-Y-O,🟠-🟢-🔴-🟡-🟠,실패-완전강세-약세-회복-실패,실패→약세,O,🟠,실패,#FFE1BD,G,🟢,완전강세,#D1F5DD,R,🔴,약세,#FFD1D1,Y,🟡,회복,#FFF5C2,O,🟠,실패,#FFE1BD,loss_first,손실 먼저,loss_first,손실 먼저,26.3525,-3.4904,1,1,2,1,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260417_r2_047040.png,True
2026-04-17,93370,후성,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,3,82.3028,13970.0,Y,R-G-Y-O-R,🔴-🟢-🟡-🟠-🔴,약세-완전강세-회복-실패-약세,실패→약세,R,🔴,약세,#FFD1D1,G,🟢,완전강세,#D1F5DD,Y,🟡,회복,#FFF5C2,O,🟠,실패,#FFE1BD,R,🔴,약세,#FFD1D1,loss_first,손실 먼저,loss_first,손실 먼저,10.3794,-8.5183,1,1,1,2,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260417_r3_093370.png,True
2026-04-20,417840,저스템,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,1,87.6996,10260.0,Y,G-G-O-Y-Y,🟢-🟢-🟠-🟡-🟡,완전강세-완전강세-실패-회복-회복,초강세 유지,G,🟢,완전강세,#D1F5DD,G,🟢,완전강세,#D1F5DD,O,🟠,실패,#FFE1BD,Y,🟡,회복,#FFF5C2,Y,🟡,회복,#FFF5C2,profit_first,익절 먼저,profit_first,익절 먼저,24.7563,1.1696,2,2,1,0,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260420_r1_417840.png,True
2026-04-20,93370,후성,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,2,82.3028,13010.0,Y,G-Y-O-R-Y,🟢-🟡-🟠-🔴-🟡,완전강세-회복-실패-약세-회복,실패→약세,G,🟢,완전강세,#D1F5DD,Y,🟡,회복,#FFF5C2,O,🟠,실패,#FFE1BD,R,🔴,약세,#FFD1D1,Y,🟡,회복,#FFF5C2,profit_first,익절 먼저,profit_first,익절 먼저,18.5242,-1.7679,1,2,1,1,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260420_r2_093370.png,True
2026-04-20,332570,PS일렉트로닉스,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,3,82.2412,8050.0,Y,Y-Y-G-G-Y,🟡-🟡-🟢-🟢-🟡,회복-회복-완전강세-완전강세-회복,회복→강세,Y,🟡,회복,#FFF5C2,Y,🟡,회복,#FFF5C2,G,🟢,완전강세,#D1F5DD,G,🟢,완전강세,#D1F5DD,Y,🟡,회복,#FFF5C2,profit_first,익절 먼저,profit_first,익절 먼저,23.1056,-3.1056,2,3,0,0,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260420_r3_332570.png,True
2026-04-21,6360,GS건설,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,1,84.9841,42650.0,Y,R-O-O-X-Y,🔴-🟠-🟠-⚪-🟡,약세-실패-실패-보합/부족-회복,혼합 흐름,R,🔴,약세,#FFD1D1,O,🟠,실패,#FFE1BD,O,🟠,실패,#FFE1BD,X,⚪,보합/부족,#E8ECF0,Y,🟡,회복,#FFF5C2,loss_first,손실 먼저,loss_first,손실 먼저,5.1583,-7.3857,0,1,2,1,1,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260421_r1_006360.png,True
2026-04-21,93370,후성,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,2,82.3028,13610.0,Y,Y-O-R-Y-G,🟡-🟠-🔴-🟡-🟢,회복-실패-약세-회복-완전강세,약세→회복→강세,Y,🟡,회복,#FFF5C2,O,🟠,실패,#FFE1BD,R,🔴,약세,#FFD1D1,Y,🟡,회복,#FFF5C2,G,🟢,완전강세,#D1F5DD,profit_first,익절 먼저,profit_first,익절 먼저,13.299,-6.0985,1,2,1,1,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260421_r2_093370.png,True
2026-04-21,332570,PS일렉트로닉스,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,3,82.2412,8240.0,Y,Y-G-G-Y-R,🟡-🟢-🟢-🟡-🔴,회복-완전강세-완전강세-회복-약세,회복→강세,Y,🟡,회복,#FFF5C2,G,🟢,완전강세,#D1F5DD,G,🟢,완전강세,#D1F5DD,Y,🟡,회복,#FFF5C2,R,🔴,약세,#FFD1D1,loss_first,손실 먼저,loss_first,손실 먼저,20.267,-5.3398,2,2,0,1,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260421_r3_332570.png,True
