policy_key,policy_label_ko,color_path,sample_n,avg_score,plus2_first_rate_pct,minus2_first_rate_pct,plus3_first_rate_pct,minus3_first_rate_pct,profit_minus_loss_pp,avg_mfe_d5_pct,avg_mae_d5_pct,fast_win_rate_pct,loss_first_rate_pct,fill_pass_rate_pct
D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,X-X-X-X-X,20,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,O-O-O-O-O,13,,23.0769,69.2308,30.7692,61.5385,-30.7693,4.129,-22.6283,23.0769,69.2308,100.0
D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,O-Y-O-O-O,8,,50.0,50.0,50.0,50.0,0.0,7.885,-11.1945,50.0,50.0,100.0
D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,G-O-O-O-O,6,,100.0,0.0,100.0,0.0,100.0,22.6003,-11.466,100.0,0.0,100.0
D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,O-O-O-O-X,6,,0.0,0.0,16.6667,83.3333,-66.6666,-1.037,-20.2845,0.0,83.3333,100.0
D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,R-O-O-O-O,6,,0.0,100.0,0.0,100.0,-100.0,-1.9602,-23.6356,0.0,100.0,100.0
D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,Y-O-O-O-O,6,,33.3333,66.6667,0.0,100.0,-100.0,6.1771,-12.4395,33.3333,66.6667,100.0
D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,Y-O-Y-O-O,6,,50.0,50.0,66.6667,33.3333,33.3334,15.7009,-5.5771,50.0,50.0,100.0
D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,O-O-O-G-O,5,,80.0,20.0,20.0,80.0,-60.0,4.2252,-17.7174,80.0,20.0,100.0
D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,O-O-O-O-Y,5,,40.0,60.0,20.0,80.0,-60.0,5.3803,-18.1625,40.0,60.0,100.0
D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,O-O-Y-O-O,5,,20.0,80.0,20.0,80.0,-60.0,4.7716,-14.4229,20.0,80.0,100.0
D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,O-O-Y-Y-O,5,,60.0,40.0,40.0,60.0,-20.0,6.5078,-12.5349,60.0,40.0,100.0
