candidate_source,score_variant_id,score_policy,signal_date,signal_time,raw_rank,rank_v2,stock_code,code,stock_name,name,market,score_coverage_pct,score_confidence_pct,d0_close,price_1415,d0_high,d0_volume,volume_1415_or_daily,d0_trading_value,d0_pct_change,change_rate_1415,d0_date,trading_day_age,days_after_D0,watch_age,legacy_d0_rank,legacy_d0_volume_rank,legacy_d0_trading_value_rank,distance_from_d0_high_pct,volume_ratio_vs_20d,upper_shadow_ratio,event_id,program_buy_feature_used,passed_d0_filter,source_pool,metadata_version,score_base_time,entry_base_time,price_source,score_total_100,component_candle_score,component_pullback_score,component_short_score,component_liquidity_score,component_risk_penalty_norm,d0_pullback_depth_pct,d0_volume_filter_pass,d0_amount_limit_pass,d0_change_filter_pass,score_v2,daily_latest_date,minute_latest_date,entry_time,entry_price_1500,entry_status,status,exclude_reason,v2_rank,role,complete_through_day,future_missing_reason,dplus1_date,dplus1_minute_rows,dplus1_high_return_pct,dplus1_low_return_pct,dplus1_close_return_pct,dplus1_ge_plus1,dplus1_ge_plus2,dplus1_ge_plus3,dplus1_le_minus1,dplus1_le_minus2,dplus1_le_minus3,dplus2_date,dplus2_minute_rows,dplus2_high_return_pct,dplus2_low_return_pct,dplus2_close_return_pct,dplus2_ge_plus1,dplus2_ge_plus2,dplus2_ge_plus3,dplus2_le_minus1,dplus2_le_minus2,dplus2_le_minus3,dplus3_date,dplus3_minute_rows,dplus3_high_return_pct,dplus3_low_return_pct,dplus3_close_return_pct,dplus3_ge_plus1,dplus3_ge_plus2,dplus3_ge_plus3,dplus3_le_minus1,dplus3_le_minus2,dplus3_le_minus3,dplus4_date,dplus4_minute_rows,dplus4_high_return_pct,dplus4_low_return_pct,dplus4_close_return_pct,dplus4_ge_plus1,dplus4_ge_plus2,dplus4_ge_plus3,dplus4_le_minus1,dplus4_le_minus2,dplus4_le_minus3,dplus5_date,dplus5_minute_rows,dplus5_high_return_pct,dplus5_low_return_pct,dplus5_close_return_pct,dplus5_ge_plus1,dplus5_ge_plus2,dplus5_ge_plus3,dplus5_le_minus1,dplus5_le_minus2,dplus5_le_minus3
classic_d0_pool_3d_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2025-04-29,14:15,1,1,462860,462860,더즌,더즌,KOSDAQ,70.0,70.0,4725.0,4725.0,4995.0,54290046.0,54290046.0,256520467350.0,21.935,21.935,2025-04-29,0,0,D0,1,3,4,-5.405,4.753,0.17,20250429_462860_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,75.3925,0.635,0.811,0.5,0.8046,0.0,5.405,True,True,True,75.3925,2026-05-19,2026-05-19,2025-04-29 15:00:00,4890.0,ok,selected,,1,V2_TOP1,5,,2025-04-30,379,5.1125,-14.4172,-14.4172,Y,Y,Y,Y,Y,Y,2025-05-02,379,-3.9877,-15.9509,-14.9284,N,N,N,Y,Y,Y,2025-05-07,378,-6.135,-17.2802,-12.7812,N,N,N,Y,Y,Y,2025-05-08,381,-8.8957,-14.8262,-14.6217,N,N,N,Y,Y,Y,2025-05-09,378,-14.7239,-22.9039,-21.0634,N,N,N,Y,Y,Y
classic_d0_pool_3d_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2025-04-29,14:15,2,2,094840,094840,슈프리마에이치큐,슈프리마에이치큐,KOSDAQ,70.0,70.0,9300.0,9300.0,9300.0,10529834.0,10529834.0,97927456200.0,29.888,29.888,2025-04-29,0,0,D0,4,26,22,0.0,12.033,0.0,20250429_094840_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,68.3225,1.0,0.7643,0.5,0.5955,0.5,0.0,True,True,True,68.3225,2026-05-19,2026-05-19,2025-04-29 15:00:00,9300.0,ok,selected,,2,V2_TOP2,5,,2025-04-30,381,-1.6129,-13.4409,-11.5054,N,N,N,Y,Y,Y,2025-05-02,375,-9.0323,-17.6344,-16.8817,N,N,N,Y,Y,Y,2025-05-07,369,-14.7312,-19.3548,-16.7742,N,N,N,Y,Y,Y,2025-05-08,350,-13.4409,-19.0323,-15.6989,N,N,N,Y,Y,Y,2025-05-09,341,-15.2688,-18.8172,-18.6022,N,N,N,Y,Y,Y
classic_d0_pool_3d_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2025-04-29,14:15,3,3,289010,289010,아이스크림에듀,아이스크림에듀,KOSDAQ,70.0,70.0,6170.0,6170.0,6660.0,11455362.0,11455362.0,70679583540.0,3.872,3.872,2025-04-29,0,0,D0,6,23,37,-7.357,2.677,0.395,20250429_289010_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,41.7954,0.1878,0.4748,0.5,0.5246,0.0,7.357,True,True,True,41.7954,2026-05-19,2026-05-19,2025-04-29 15:00:00,5960.0,ok,selected,,3,V2_TOP3,5,,2025-04-30,380,-0.6711,-19.4631,-14.5973,N,N,N,Y,Y,Y,2025-05-02,377,10.906,-5.0336,3.3557,Y,Y,Y,Y,Y,Y,2025-05-07,372,6.2081,-16.2752,-9.0604,Y,Y,Y,Y,Y,Y,2025-05-08,378,-10.2349,-22.3993,-19.7148,N,N,N,Y,Y,Y,2025-05-09,375,-10.0671,-37.7517,-36.2416,N,N,N,Y,Y,Y
classic_d0_pool_3d_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2025-04-30,14:15,1,1,161000,161000,애경케미칼,애경케미칼,KOSPI,70.0,70.0,11430.0,11430.0,11780.0,11646116.0,11646116.0,133115105880.0,11.949,11.949,2025-04-30,0,0,D0,3,19,14,-2.971,5.634,0.263,20250430_161000_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,86.8099,0.7092,0.9968,0.5,0.6621,0.0,2.971,True,True,True,86.8099,2026-05-19,2026-05-19,2025-04-30 15:00:00,11320.0,ok,selected,,1,V2_TOP1,5,,2025-05-02,381,1.5901,-4.7703,0.265,Y,N,N,Y,Y,Y,2025-05-07,381,3.3569,-4.5936,-2.5618,Y,Y,Y,Y,Y,Y,2025-05-08,381,-2.2968,-9.0989,-6.6254,N,N,N,Y,Y,Y,2025-05-09,380,-7.1555,-11.1307,-9.7173,N,N,N,Y,Y,Y,2025-05-12,381,-5.9187,-11.1307,-8.6572,N,N,N,Y,Y,Y
classic_d0_pool_3d_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2025-04-30,14:15,2,2,065500,065500,오리엔트정공,오리엔트정공,KOSDAQ,70.0,70.0,11650.0,11650.0,12170.0,29034968.0,29034968.0,338257377200.0,22.117,22.117,2025-04-30,0,0,D0,2,5,6,-4.273,2.35,0.302,20250430_065500_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,76.2281,0.5923,0.8293,0.5,0.8646,0.0,4.273,True,True,True,76.2281,2026-05-19,2026-05-19,2025-04-30 15:00:00,11970.0,ok,selected,,2,V2_TOP2,5,,2025-05-02,378,-5.5973,-23.726,-17.6274,N,N,N,Y,Y,Y,2025-05-07,378,4.01,-16.9591,2.5063,Y,Y,Y,Y,Y,Y,2025-05-08,380,6.1821,-6.0986,-4.0936,Y,Y,Y,Y,Y,Y,2025-05-09,381,-0.7519,-12.6984,-11.2782,N,N,N,Y,Y,Y,2025-05-12,381,-4.8454,-13.1997,-12.4478,N,N,N,Y,Y,Y
classic_d0_pool_3d_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2025-04-30,14:15,3,3,462860,462860,더즌,더즌,KOSDAQ,70.0,70.0,4725.0,4725.0,4995.0,54290046.0,54290046.0,256520467350.0,21.935,21.935,2025-04-29,1,1,D+1,1,3,4,-5.405,4.753,0.17,20250430_462860_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,75.3925,0.635,0.811,0.5,0.8046,0.0,5.405,True,True,True,75.3925,2026-05-19,2026-05-19,2025-04-30 15:00:00,4360.0,ok,selected,,3,V2_TOP3,5,,2025-05-02,379,7.6835,-5.7339,-4.5872,Y,Y,Y,Y,Y,Y,2025-05-07,378,5.2752,-7.2248,-2.1789,Y,Y,Y,Y,Y,Y,2025-05-08,381,2.1789,-4.4725,-4.2431,Y,Y,N,Y,Y,Y,2025-05-09,378,-4.3578,-13.5321,-11.4679,N,N,N,Y,Y,Y,2025-05-12,379,-10.6651,-16.055,-14.7936,N,N,N,Y,Y,Y
classic_d0_pool_3d_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2025-05-02,14:15,1,1,161000,161000,애경케미칼,애경케미칼,KOSPI,70.0,70.0,11430.0,11430.0,11780.0,11646116.0,11646116.0,133115105880.0,11.949,11.949,2025-04-30,1,1,D+1,3,19,14,-2.971,5.634,0.263,20250502_161000_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,86.8099,0.7092,0.9968,0.5,0.6621,0.0,2.971,True,True,True,86.8099,2026-05-19,2026-05-19,2025-05-02 15:00:00,11340.0,ok,selected,,1,V2_TOP1,5,,2025-05-07,381,3.1746,-4.7619,-2.7337,Y,Y,Y,Y,Y,Y,2025-05-08,381,-2.4691,-9.2593,-6.7901,N,N,N,Y,Y,Y,2025-05-09,380,-7.3192,-11.2875,-9.8765,N,N,N,Y,Y,Y,2025-05-12,381,-6.0847,-11.2875,-8.8183,N,N,N,Y,Y,Y,2025-05-13,380,-6.4374,-9.7002,-9.5238,N,N,N,Y,Y,Y
classic_d0_pool_3d_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2025-05-02,14:15,2,2,065500,065500,오리엔트정공,오리엔트정공,KOSDAQ,70.0,70.0,11650.0,11650.0,12170.0,29034968.0,29034968.0,338257377200.0,22.117,22.117,2025-04-30,1,1,D+1,2,5,6,-4.273,2.35,0.302,20250502_065500_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,76.2281,0.5923,0.8293,0.5,0.8646,0.0,4.273,True,True,True,76.2281,2026-05-19,2026-05-19,2025-05-02 15:00:00,9880.0,ok,selected,,2,V2_TOP2,5,,2025-05-07,378,26.0121,0.6073,24.1903,Y,Y,Y,N,N,N,2025-05-08,380,28.6437,13.7652,16.1943,Y,Y,Y,N,N,N,2025-05-09,381,20.2429,5.7692,7.4899,Y,Y,Y,N,N,N,2025-05-12,381,15.2834,5.1619,6.0729,Y,Y,Y,N,N,N,2025-05-13,381,7.085,0.2024,1.5182,Y,Y,Y,N,N,N
classic_d0_pool_3d_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2025-05-02,14:15,3,3,226590,226590,엠디바이스,엠디바이스,KOSDAQ,70.0,70.0,12700.0,12700.0,13280.0,12356325.0,12356325.0,156925327500.0,10.82,10.82,2025-05-02,0,0,D0,2,25,12,-4.367,4.607,0.345,20250502_226590_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,75.4831,0.5272,0.8711,0.5,0.6978,0.0,4.367,True,True,True,75.4831,2026-05-19,2026-05-19,2025-05-02 15:00:00,12850.0,ok,selected,,3,V2_TOP3,5,,2025-05-07,380,12.2957,-0.2335,4.4358,Y,Y,Y,N,N,N,2025-05-08,381,5.7588,-0.4669,-0.1556,Y,Y,Y,N,N,N,2025-05-09,381,8.3268,-3.5019,3.9689,Y,Y,Y,Y,Y,Y,2025-05-12,381,10.5058,3.8911,4.5136,Y,Y,Y,N,N,N,2025-05-13,381,11.2062,3.5798,7.3152,Y,Y,Y,N,N,N
classic_d0_pool_3d_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2025-05-07,14:15,1,1,161000,161000,애경케미칼,애경케미칼,KOSPI,70.0,70.0,11430.0,11430.0,11780.0,11646116.0,11646116.0,133115105880.0,11.949,11.949,2025-04-30,2,2,D+2,3,19,14,-2.971,5.634,0.263,20250507_161000_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,86.8099,0.7092,0.9968,0.5,0.6621,0.0,2.971,True,True,True,86.8099,2026-05-19,2026-05-19,2025-05-07 15:00:00,11020.0,ok,selected,,1,V2_TOP1,5,,2025-05-08,381,0.363,-6.6243,-4.0835,N,N,N,Y,Y,Y,2025-05-09,380,-4.6279,-8.7114,-7.2595,N,N,N,Y,Y,Y,2025-05-12,381,-3.3575,-8.7114,-6.1706,N,N,N,Y,Y,Y,2025-05-13,380,-3.7205,-7.078,-6.8966,N,N,N,Y,Y,Y,2025-05-14,381,0.6352,-7.2595,-3.539,N,N,N,Y,Y,Y
