d0_date,v2_r1_cell,v2_r1_light,v2_r1_score,v2_r1_case_key,v2_r1_reason,v2_r2_cell,v2_r2_light,v2_r2_score,v2_r2_case_key,v2_r2_reason,v2_r3_cell,v2_r3_light,v2_r3_score,v2_r3_case_key,v2_r3_reason,hybrid_r1_cell,hybrid_r1_light,hybrid_r1_score,hybrid_r1_case_key,hybrid_r1_reason,hybrid_r2_cell,hybrid_r2_light,hybrid_r2_score,hybrid_r2_case_key,hybrid_r2_reason,hybrid_r3_cell,hybrid_r3_light,hybrid_r3_score,hybrid_r3_case_key,hybrid_r3_reason,v2_green,v2_red,hybrid_green,hybrid_red,v2_avg_down,hybrid_avg_down,date_verdict,current_v2_count,hybrid_count,overlap_count,current_only_count,hybrid_only_count,overlap_codes,current_only_codes,hybrid_only_codes
2025-04-29,🔴 더즌 (462860),RED,-13.0,V2|2025-04-29|R1|462860,-3 먼저 / +5 도달 / -5 도달 / -10 도달 / D1 종가 -3 이하,🔴 슈프리마에이치큐 (094840),RED,-14.0,V2|2025-04-29|R2|094840,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,🔴 아이스크림에듀 (289010),RED,-13.0,V2|2025-04-29|R3|289010,-3 먼저 / +5 도달 / -5 도달 / -10 도달 / D1 종가 -3 이하,🔴 더즌 (462860),RED,-13,HYBRID_D0_RISK_FILTER|2025-04-29|R1|462860,-3 먼저 / +5 도달 / -5 도달 / -10 도달 / D1 종가 -3 이하,🔴 슈프리마에이치큐 (094840),RED,-14,HYBRID_D0_RISK_FILTER|2025-04-29|R2|094840,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,🔴 아이스크림에듀 (289010),RED,-13,HYBRID_D0_RISK_FILTER|2025-04-29|R3|289010,-3 먼저 / +5 도달 / -5 도달 / -10 도달 / D1 종가 -3 이하,0.0,3.0,0.0,3.0,-26.670134014199675,-26.670134014199675,둘 다 위험,3,3,3,0,0,094840|289010|462860,,
2025-04-30,🔴 애경케미칼 (161000),RED,-9.0,V2|2025-04-30|R1|161000,-3 먼저 / -5 도달 / -10 도달 / D1 종가 양호,🔴 오리엔트정공 (065500),RED,-13.0,V2|2025-04-30|R2|065500,-3 먼저 / +5 도달 / -5 도달 / -10 도달 / D1 종가 -3 이하,🔴 더즌 (462860),RED,-11.0,V2|2025-04-30|R3|462860,-3 먼저 / +5 도달 / -5 도달 / -10 도달 / D1 종가 -3 이하,🔴 애경케미칼 (161000),RED,-9,HYBRID_D0_RISK_FILTER|2025-04-30|R1|161000,-3 먼저 / -5 도달 / -10 도달 / D1 종가 양호,🔴 오리엔트정공 (065500),RED,-13,HYBRID_D0_RISK_FILTER|2025-04-30|R2|065500,-3 먼저 / +5 도달 / -5 도달 / -10 도달 / D1 종가 -3 이하,🔴 더즌 (462860),RED,-11,HYBRID_D0_RISK_FILTER|2025-04-30|R3|462860,-3 먼저 / +5 도달 / -5 도달 / -10 도달 / D1 종가 -3 이하,0.0,3.0,0.0,3.0,-16.970589847249354,-16.970589847249354,둘 다 위험,3,3,3,0,0,065500|161000|462860,,
2025-05-02,🔴 애경케미칼 (161000),RED,-10.0,V2|2025-05-02|R1|161000,-3 먼저 / -5 도달 / -10 도달,🟢 오리엔트정공 (065500),GREEN,7.0,V2|2025-05-02|R2|065500,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🟢 엠디바이스 (226590),GREEN,7.0,V2|2025-05-02|R3|226590,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🔴 애경케미칼 (161000),RED,-10,HYBRID_D0_RISK_FILTER|2025-05-02|R1|161000,-3 먼저 / -5 도달 / -10 도달,🟢 오리엔트정공 (065500),GREEN,7,HYBRID_D0_RISK_FILTER|2025-05-02|R2|065500,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🟢 엠디바이스 (226590),GREEN,7,HYBRID_D0_RISK_FILTER|2025-05-02|R3|226590,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,2.0,1.0,2.0,1.0,-4.862331443212956,-4.862331443212956,둘 다 양호,3,3,3,0,0,065500|161000|226590,,
2025-05-07,🔴 애경케미칼 (161000),RED,-12.0,V2|2025-05-07|R1|161000,-3 먼저 / -5 도달 / D1 종가 -3 이하 / 점심 -3 이하,🔴 오리엔트정공 (065500),RED,-5.0,V2|2025-05-07|R2|065500,+3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,🔴 오리엔트정공 (065500),RED,-5.0,V2|2025-05-07|R3|065500,+3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,🔴 애경케미칼 (161000),RED,-12,HYBRID_D0_RISK_FILTER|2025-05-07|R1|161000,-3 먼저 / -5 도달 / D1 종가 -3 이하 / 점심 -3 이하,🔴 오리엔트정공 (065500),RED,-5,HYBRID_D0_RISK_FILTER|2025-05-07|R2|065500,+3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,🟢 삼성전자 (005930),GREEN,7,HYBRID_D0_RISK_FILTER|2025-05-07|R3|005930,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,0.0,3.0,1.0,2.0,-19.2694379627229,-11.147786687006452,HYBRID 방어 우세,2,3,2,0,1,065500|161000,,005930
2025-05-08,🟢 고영 (098460),GREEN,6.0,V2|2025-05-08|R1|098460,+3 먼저 / +5 도달 / D1 종가 양호,🔴 오리엔트정공 (065500),RED,-14.0,V2|2025-05-08|R2|065500,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,🔴 엠디바이스 (226590),RED,-2.0,V2|2025-05-08|R3|226590,-3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🔴 오리엔트정공 (065500),RED,-14,HYBRID_D0_RISK_FILTER|2025-05-08|R1|065500,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,🔴 엠디바이스 (226590),RED,-2,HYBRID_D0_RISK_FILTER|2025-05-08|R2|226590,-3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🟢 고영 (098460),GREEN,6,HYBRID_D0_RISK_FILTER|2025-05-08|R3|098460,+3 먼저 / +5 도달 / D1 종가 양호,1.0,2.0,1.0,2.0,-12.653553277118315,-12.653553277118315,둘 다 위험,3,3,3,0,0,065500|098460|226590,,
2025-05-09,🔴 고영 (098460),RED,-3.0,V2|2025-05-09|R1|098460,+1 먼저 / -3 먼저 / +5 도달,🟢 LK삼양 (225190),GREEN,7.0,V2|2025-05-09|R2|225190,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🔴 오리엔트정공 (065500),RED,1.0,V2|2025-05-09|R3|065500,+3 먼저 / +5 도달 / -5 도달 / -10 도달 / 점심 양호,🔴 LG에너지솔루션 (373220),RED,-5,HYBRID_D0_RISK_FILTER|2025-05-09|R1|373220,+1 먼저 / -3 먼저 / -5 도달 / D1 종가 양호 / 점심 양호,🔴 LG화학 (051910),RED,-3,HYBRID_D0_RISK_FILTER|2025-05-09|R2|051910,+2 먼저 / -3 먼저 / -5 도달 / D1 종가 양호 / 점심 양호,🔴 포스코퓨처엠 (003670),RED,-3,HYBRID_D0_RISK_FILTER|2025-05-09|R3|003670,+2 먼저 / -3 먼저 / -5 도달 / D1 종가 양호 / 점심 양호,1.0,2.0,0.0,3.0,-10.528864457676065,-8.138858428798427,V2 공격 우세,3,3,0,3,3,,065500|098460|225190,003670|051910|373220
2025-05-12,🟢 고영 (098460),GREEN,7.0,V2|2025-05-12|R1|098460,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🔴 LK삼양 (225190),RED,-4.0,V2|2025-05-12|R2|225190,-3 먼저 / +5 도달,🔴 크라우드웍스 (355390),RED,-14.0,V2|2025-05-12|R3|355390,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,🟢 유한양행 (000100),GREEN,6,HYBRID_D0_RISK_FILTER|2025-05-12|R1|000100,+3 먼저 / D1 종가 양호 / 점심 양호,🟢 SK바이오팜 (326030),GREEN,7,HYBRID_D0_RISK_FILTER|2025-05-12|R2|326030,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🟢 고영 (098460),GREEN,7,HYBRID_D0_RISK_FILTER|2025-05-12|R3|098460,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,1.0,2.0,3.0,0.0,-11.689830519463525,0.07611739379922802,HYBRID 방어 우세,3,3,1,2,2,098460,225190|355390,000100|326030
2025-05-13,🟢 LK삼양 (225190),GREEN,7.0,V2|2025-05-13|R1|225190,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🔴 크라우드웍스 (355390),RED,-14.0,V2|2025-05-13|R2|355390,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,🔴 우듬지팜 (403490),RED,-12.0,V2|2025-05-13|R3|403490,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하,🔴 LG에너지솔루션 (373220),RED,0,HYBRID_D0_RISK_FILTER|2025-05-13|R1|373220,+3 먼저 / -1 먼저 / -5 도달 / -10 도달 / D1 종가 양호,🔴 LG화학 (051910),RED,-5,HYBRID_D0_RISK_FILTER|2025-05-13|R2|051910,+1 먼저 / -3 먼저 / -5 도달 / D1 종가 양호 / 점심 양호,🔴 포스코퓨처엠 (003670),RED,-14,HYBRID_D0_RISK_FILTER|2025-05-13|R3|003670,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,1.0,2.0,0.0,3.0,-14.925252837722619,-9.265801639753265,V2 공격 우세,3,3,0,3,3,,225190|355390|403490,003670|051910|373220
2025-05-14,🔴 크라우드웍스 (355390),RED,-9.0,V2|2025-05-14|R1|355390,-3 먼저 / +5 도달 / -5 도달 / -10 도달,🔴 우듬지팜 (403490),RED,-14.0,V2|2025-05-14|R2|403490,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,🟢 두산에너빌리티 (034020),GREEN,7.0,V2|2025-05-14|R3|034020,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🔴 LG에너지솔루션 (373220),RED,-6,HYBRID_D0_RISK_FILTER|2025-05-14|R1|373220,+2 먼저 / -3 먼저 / -5 도달 / -10 도달 / 점심 양호,🔴 LG화학 (051910),RED,-7,HYBRID_D0_RISK_FILTER|2025-05-14|R2|051910,-3 먼저 / -5 도달 / 점심 양호,🔴 포스코퓨처엠 (003670),RED,-8,HYBRID_D0_RISK_FILTER|2025-05-14|R3|003670,-3 먼저 / -5 도달,1.0,2.0,0.0,3.0,-13.56568109426351,-9.608916537001212,V2 공격 우세,3,3,0,3,3,,034020|355390|403490,003670|051910|373220
2025-05-15,🔴 아스테라시스 (450950),RED,-12.0,V2|2025-05-15|R1|450950,-3 먼저 / -5 도달 / D1 종가 -3 이하 / 점심 -3 이하,🔴 폴라리스AI파마 (041910),RED,-13.0,V2|2025-05-15|R2|041910,-3 먼저 / +5 도달 / -5 도달 / -10 도달 / D1 종가 -3 이하,🟢 두산에너빌리티 (034020),GREEN,7.0,V2|2025-05-15|R3|034020,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🔴 LG에너지솔루션 (373220),RED,-14,HYBRID_D0_RISK_FILTER|2025-05-15|R1|373220,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,🔴 LG화학 (051910),RED,-14,HYBRID_D0_RISK_FILTER|2025-05-15|R2|051910,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,🟢 한전KPS (051600),GREEN,7,HYBRID_D0_RISK_FILTER|2025-05-15|R3|051600,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,1.0,2.0,1.0,2.0,-6.598599175295124,-7.704599184006374,둘 다 위험,3,3,0,3,3,,034020|041910|450950,051600|051910|373220
