month,version_key,version_label_ko,sample_n,days_with_pick,green,yellow,orange,red,avg_score,avg_max_up,avg_max_down,avg_d1_close,avg_lunch_1200,green_rate,red_rate
2025-04,HYBRID_D0_RISK_FILTER,하이브리드 위험필터,6,2,0,0,0,6,-12.166666666666666,5.271351691628245,-21.820361930724513,-10.411568304637408,-7.914034966806695,0.0,1.0
2025-04,V2,현행 V2,6,2,0,0,0,6,-12.166666666666666,5.271351691628245,-21.820361930724513,-10.411568304637408,-7.914034966806695,0.0,1.0
2025-05,HYBRID_D0_RISK_FILTER,하이브리드 위험필터,57,19,25,0,1,31,-1.2456140350877194,4.518024648009785,-5.490438634885358,0.20647954222008402,-0.1409685174870224,0.43859649122807015,0.543859649122807
2025-05,V2,현행 V2,57,19,18,0,0,39,-2.3508771929824563,12.403276358908574,-9.21665464850953,-0.33435681900594544,-0.2307901133557895,0.3157894736842105,0.6842105263157895
2025-06,HYBRID_D0_RISK_FILTER,하이브리드 위험필터,57,19,31,1,1,24,1.0,9.54936308034727,-3.9822058341442492,1.5867189851127488,1.3340597501163558,0.543859649122807,0.42105263157894735
2025-06,V2,현행 V2,57,19,18,0,0,39,-2.807017543859649,13.398656907791887,-7.834231522023086,1.4411110691633373,0.5037471414080803,0.3157894736842105,0.6842105263157895
2025-07,HYBRID_D0_RISK_FILTER,하이브리드 위험필터,69,23,32,0,3,34,-0.2608695652173913,4.631030437648057,-4.014167554668839,-0.005528801642265525,-0.2349365782713187,0.463768115942029,0.4927536231884058
2025-07,V2,현행 V2,69,23,15,0,0,54,-4.333333333333333,10.413024995897143,-9.59091100735612,0.09056349756919403,0.3921696460043467,0.21739130434782608,0.782608695652174
2025-08,HYBRID_D0_RISK_FILTER,하이브리드 위험필터,60,20,30,3,0,27,0.65,4.5579723215268055,-3.5386591066754502,0.5311145789868444,0.3665918706011789,0.5,0.45
2025-08,V2,현행 V2,60,20,22,0,0,38,-2.05,9.139355132868923,-6.554269821013426,-0.236258835944947,0.3624199871798757,0.36666666666666664,0.6333333333333333
2025-09,HYBRID_D0_RISK_FILTER,하이브리드 위험필터,66,22,38,1,4,23,1.1818181818181819,6.827668528814949,-3.5547991227863474,0.740418800700865,0.37176178108732816,0.5757575757575758,0.3484848484848485
2025-09,V2,현행 V2,66,22,20,0,0,46,-1.7424242424242424,13.275200677050732,-7.281579199318,0.48679713045972706,0.2809135743335072,0.30303030303030304,0.696969696969697
2025-10,HYBRID_D0_RISK_FILTER,하이브리드 위험필터,54,18,30,0,1,23,1.1481481481481481,10.907615262841984,-3.566929205326108,1.7875012611420222,1.2386065697725557,0.5555555555555556,0.42592592592592593
2025-10,V2,현행 V2,54,18,25,0,0,29,0.0,15.362173160898278,-5.004323105178179,2.3781351236411856,2.7605499644974465,0.46296296296296297,0.5370370370370371
2025-11,HYBRID_D0_RISK_FILTER,하이브리드 위험필터,60,20,14,0,0,46,-2.816666666666667,5.746874239457825,-6.943429349270128,-0.642899766065711,-0.3927118634975168,0.23333333333333334,0.7666666666666667
2025-11,V2,현행 V2,60,20,17,0,0,43,-2.75,14.793343262053813,-7.989763468951761,0.2997450724604536,0.573632784017348,0.2833333333333333,0.7166666666666667
2025-12,HYBRID_D0_RISK_FILTER,하이브리드 위험필터,63,21,39,2,1,21,1.6666666666666667,8.1445396194345,-3.3312724317778346,1.3322633546495222,0.27590068029311887,0.6190476190476191,0.3333333333333333
2025-12,V2,현행 V2,63,21,24,0,0,39,-1.2380952380952381,17.747720484791753,-7.9527395111076205,1.2496238315866866,1.3740199732875267,0.38095238095238093,0.6190476190476191
2026-01,HYBRID_D0_RISK_FILTER,하이브리드 위험필터,63,21,36,0,0,27,1.126984126984127,12.293424634048536,-3.7410103414504365,1.1476410410249298,0.6589711660796247,0.5714285714285714,0.42857142857142855
2026-01,V2,현행 V2,63,21,24,0,0,39,-0.6349206349206349,16.5037721519149,-6.45398727761164,0.597587307612646,0.859787076008453,0.38095238095238093,0.6190476190476191
2026-02,HYBRID_D0_RISK_FILTER,하이브리드 위험필터,51,17,23,1,0,27,-0.8235294117647058,10.59443822171762,-7.233464343553157,1.3005078795531597,1.3428455063551754,0.45098039215686275,0.5294117647058824
2026-02,V2,현행 V2,51,17,12,0,0,39,-3.4901960784313726,14.312089253440226,-12.994267512562642,-0.31924732568357056,-0.12131291171790116,0.23529411764705882,0.7647058823529411
2026-03,HYBRID_D0_RISK_FILTER,하이브리드 위험필터,63,21,23,0,1,39,-2.634920634920635,5.257812680151986,-5.882575066520668,-0.3105406050559513,-0.3604737924165099,0.36507936507936506,0.6190476190476191
2026-03,V2,현행 V2,63,21,17,0,0,46,-2.746031746031746,18.351731445533556,-11.820967070249038,0.3255276267159065,0.4953152586163331,0.2698412698412698,0.7301587301587301
2026-04,HYBRID_D0_RISK_FILTER,하이브리드 위험필터,66,22,39,1,0,26,1.2272727272727273,17.464835772660894,-3.521334569920091,0.9482376685465692,0.7586762661814052,0.5909090909090909,0.3939393939393939
2026-04,V2,현행 V2,66,22,21,0,0,45,-1.9545454545454546,22.781755891440046,-7.785288606211125,0.39816165434463746,0.035915292715537284,0.3181818181818182,0.6818181818181818
2026-05,HYBRID_D0_RISK_FILTER,하이브리드 위험필터,24,8,11,0,0,13,0.75,7.705484038961058,-4.108654200649741,0.9482032251337061,1.273159905058254,0.4583333333333333,0.5416666666666666
2026-05,V2,현행 V2,18,6,9,0,0,9,-0.8888888888888888,14.878188523342459,-8.139070166204132,1.166995633041247,1.4608408524497143,0.5,0.5
