d0_date,v2_r1_cell,v2_r1_light,v2_r1_score,v2_r1_case_key,v2_r1_reason,v2_r2_cell,v2_r2_light,v2_r2_score,v2_r2_case_key,v2_r2_reason,v2_r3_cell,v2_r3_light,v2_r3_score,v2_r3_case_key,v2_r3_reason,v2_green,v2_red,v2_avg_down,current_v2_count,overlap_count,overlap_codes,current_only_codes,main_dataset
2025-04-29,🔴 더즌 (462860),RED,-13.0,V2|2025-04-29|R1|462860,-3 먼저 / +5 도달 / -5 도달 / -10 도달 / D1 종가 -3 이하,🔴 슈프리마에이치큐 (094840),RED,-14.0,V2|2025-04-29|R2|094840,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,🔴 아이스크림에듀 (289010),RED,-13.0,V2|2025-04-29|R3|289010,-3 먼저 / +5 도달 / -5 도달 / -10 도달 / D1 종가 -3 이하,0.0,3.0,-26.670134014199675,3.0,3.0,094840|289010|462860,,v2_record_1y
2025-04-30,🔴 애경케미칼 (161000),RED,-9.0,V2|2025-04-30|R1|161000,-3 먼저 / -5 도달 / -10 도달 / D1 종가 양호,🔴 오리엔트정공 (065500),RED,-13.0,V2|2025-04-30|R2|065500,-3 먼저 / +5 도달 / -5 도달 / -10 도달 / D1 종가 -3 이하,🔴 더즌 (462860),RED,-11.0,V2|2025-04-30|R3|462860,-3 먼저 / +5 도달 / -5 도달 / -10 도달 / D1 종가 -3 이하,0.0,3.0,-16.970589847249354,3.0,3.0,065500|161000|462860,,v2_record_1y
2025-05-02,🔴 애경케미칼 (161000),RED,-10.0,V2|2025-05-02|R1|161000,-3 먼저 / -5 도달 / -10 도달,🟢 오리엔트정공 (065500),GREEN,7.0,V2|2025-05-02|R2|065500,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🟢 엠디바이스 (226590),GREEN,7.0,V2|2025-05-02|R3|226590,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,2.0,1.0,-4.862331443212956,3.0,3.0,065500|161000|226590,,v2_record_1y
2025-05-07,🔴 애경케미칼 (161000),RED,-12.0,V2|2025-05-07|R1|161000,-3 먼저 / -5 도달 / D1 종가 -3 이하 / 점심 -3 이하,🔴 오리엔트정공 (065500),RED,-5.0,V2|2025-05-07|R2|065500,+3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,🔴 오리엔트정공 (065500),RED,-5.0,V2|2025-05-07|R3|065500,+3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,0.0,3.0,-19.2694379627229,2.0,2.0,065500|161000,,v2_record_1y
2025-05-08,🟢 고영 (098460),GREEN,6.0,V2|2025-05-08|R1|098460,+3 먼저 / +5 도달 / D1 종가 양호,🔴 오리엔트정공 (065500),RED,-14.0,V2|2025-05-08|R2|065500,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,🔴 엠디바이스 (226590),RED,-2.0,V2|2025-05-08|R3|226590,-3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,1.0,2.0,-12.653553277118316,3.0,3.0,065500|098460|226590,,v2_record_1y
2025-05-09,🔴 고영 (098460),RED,-3.0,V2|2025-05-09|R1|098460,+1 먼저 / -3 먼저 / +5 도달,🟢 LK삼양 (225190),GREEN,7.0,V2|2025-05-09|R2|225190,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🔴 오리엔트정공 (065500),RED,1.0,V2|2025-05-09|R3|065500,+3 먼저 / +5 도달 / -5 도달 / -10 도달 / 점심 양호,1.0,2.0,-10.528864457676065,3.0,0.0,,065500|098460|225190,v2_record_1y
2025-05-12,🟢 고영 (098460),GREEN,7.0,V2|2025-05-12|R1|098460,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🔴 LK삼양 (225190),RED,-4.0,V2|2025-05-12|R2|225190,-3 먼저 / +5 도달,🔴 크라우드웍스 (355390),RED,-14.0,V2|2025-05-12|R3|355390,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,1.0,2.0,-11.689830519463523,3.0,1.0,098460,225190|355390,v2_record_1y
2025-05-13,🟢 LK삼양 (225190),GREEN,7.0,V2|2025-05-13|R1|225190,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🔴 크라우드웍스 (355390),RED,-14.0,V2|2025-05-13|R2|355390,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,🔴 우듬지팜 (403490),RED,-12.0,V2|2025-05-13|R3|403490,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하,1.0,2.0,-14.92525283772262,3.0,0.0,,225190|355390|403490,v2_record_1y
2025-05-14,🔴 크라우드웍스 (355390),RED,-9.0,V2|2025-05-14|R1|355390,-3 먼저 / +5 도달 / -5 도달 / -10 도달,🔴 우듬지팜 (403490),RED,-14.0,V2|2025-05-14|R2|403490,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,🟢 두산에너빌리티 (034020),GREEN,7.0,V2|2025-05-14|R3|034020,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,1.0,2.0,-13.56568109426351,3.0,0.0,,034020|355390|403490,v2_record_1y
2025-05-15,🔴 아스테라시스 (450950),RED,-12.0,V2|2025-05-15|R1|450950,-3 먼저 / -5 도달 / D1 종가 -3 이하 / 점심 -3 이하,🔴 폴라리스AI파마 (041910),RED,-13.0,V2|2025-05-15|R2|041910,-3 먼저 / +5 도달 / -5 도달 / -10 도달 / D1 종가 -3 이하,🟢 두산에너빌리티 (034020),GREEN,7.0,V2|2025-05-15|R3|034020,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,1.0,2.0,-6.598599175295124,3.0,0.0,,034020|041910|450950,v2_record_1y
