d0_date,version_key,version_label_ko,candidate_count,green_count,yellow_count,orange_count,red_count,avg_traffic_score,avg_max_up,avg_max_down,avg_d1_close,avg_lunch_1200,best_rank1_light,green_rate,red_rate
2025-04-29,V2,기존 V2 기록후보,3,0,0,0,3,-13.333333333333334,4.801870493425915,-26.670134014199675,-13.506623231479352,-10.602593862256208,🔴,0.0,1.0
2025-04-30,V2,기존 V2 기록후보,3,0,0,0,3,-11.0,5.740832889830576,-16.970589847249354,-7.316513377795459,-5.225476071357183,🔴,0.0,1.0
2025-05-02,V2,기존 V2 기록후보,3,2,0,0,1,1.3333333333333333,14.70468257177248,-4.862331443212956,8.63079833305332,2.209673853358296,🔴,0.6666666666666666,0.3333333333333333
2025-05-07,V2,기존 V2 기록후보,3,0,0,0,3,-7.333333333333333,3.112666724281965,-19.2694379627229,-5.192579149021984,-4.845446950710112,🔴,0.0,1.0
2025-05-08,V2,기존 V2 기록후보,3,1,0,0,2,-3.333333333333333,7.0663527411952325,-12.653553277118316,-1.2733473932222166,-0.6605674710690032,🟢,0.3333333333333333,0.6666666666666666
2025-05-09,V2,기존 V2 기록후보,3,1,0,0,2,1.6666666666666667,14.898532384604104,-10.528864457676065,2.8612510888689804,3.7292336766911647,🔴,0.3333333333333333,0.6666666666666666
2025-05-12,V2,기존 V2 기록후보,3,1,0,0,2,-3.6666666666666665,7.922092487805039,-11.689830519463523,-1.96998086398954,-1.730010300422065,🟢,0.3333333333333333,0.6666666666666666
2025-05-13,V2,기존 V2 기록후보,3,1,0,0,2,-6.333333333333333,6.946565079103184,-14.92525283772262,-4.109152846320511,-2.67714570808858,🟢,0.3333333333333333,0.6666666666666666
2025-05-14,V2,기존 V2 기록후보,3,1,0,0,2,-5.333333333333333,10.556931510153207,-13.56568109426351,-2.248871061045972,-2.1767634305370134,🔴,0.3333333333333333,0.6666666666666666
2025-05-15,V2,기존 V2 기록후보,3,1,0,0,2,-6.0,11.870682435279868,-6.598599175295124,-0.2267831708995435,-2.0974069273075475,🔴,0.3333333333333333,0.6666666666666666
2025-05-16,V2,기존 V2 기록후보,3,2,0,0,1,-1.0,13.677909235758513,-5.86023397365626,-2.0303709615368497,-1.150831441905235,🟢,0.6666666666666666,0.3333333333333333
2025-05-19,V2,기존 V2 기록후보,3,2,0,0,1,0.0,13.082556923381889,-8.063673269241113,-0.0011196700525,-0.1306410386707721,🟢,0.6666666666666666,0.3333333333333333
2025-05-20,V2,기존 V2 기록후보,3,2,0,0,1,6.0,18.92805462718269,-1.8970933856951329,3.971598586579154,3.030262605848274,🔴,0.6666666666666666,0.3333333333333333
2025-05-21,V2,기존 V2 기록후보,3,1,0,0,2,2.6666666666666665,10.96449398325101,-5.69311917803127,3.790098563318156,4.655608702560058,🔴,0.3333333333333333,0.6666666666666666
2025-05-22,V2,기존 V2 기록후보,3,0,0,0,3,-13.666666666666666,14.530234516243446,-18.44666038255512,-7.756196480027955,-8.2166925879821,🔴,0.0,1.0
2025-05-23,V2,기존 V2 기록후보,3,0,0,0,3,0.0,24.90087077253483,-10.63300969741386,1.1391364460138664,3.443565237309791,🔴,0.0,1.0
2025-05-26,V2,기존 V2 기록후보,3,1,0,0,2,-4.0,8.479950232378537,-6.758302011539752,-0.6571673431062907,-1.6087650439523722,🟢,0.3333333333333333,0.6666666666666666
2025-05-27,V2,기존 V2 기록후보,3,1,0,0,2,2.6666666666666665,23.93216717140319,-3.3334146557235544,-0.7020023235005427,3.3501251252873474,🔴,0.3333333333333333,0.6666666666666666
2025-05-28,V2,기존 V2 기록후보,3,0,0,0,3,-3.6666666666666665,8.903414602288022,-7.9984431447319295,-2.593702734464746,-2.998443562484536,🔴,0.0,1.0
2025-05-29,V2,기존 V2 기록후보,3,1,0,0,2,-1.3333333333333333,12.31031852925028,-3.7022060271217456,2.3390532872449925,3.2711787308795466,🔴,0.3333333333333333,0.6666666666666666
2025-05-30,V2,기존 V2 기록후보,3,0,0,0,3,-3.333333333333333,8.873774291395435,-8.636731828496329,-0.3234418690027792,0.2180543774348583,🔴,0.0,1.0
2025-06-02,V2,기존 V2 기록후보,3,0,0,0,3,-6.666666666666667,3.770311180598318,-8.368063147510673,-0.959761137946428,-2.3801129886654917,🔴,0.0,1.0
2025-06-04,V2,기존 V2 기록후보,3,0,0,0,3,-7.333333333333333,4.349259803542963,-7.326858986132986,-3.3943954254066893,-2.264742448182373,🔴,0.0,1.0
2025-06-05,V2,기존 V2 기록후보,3,2,0,0,1,4.333333333333333,13.610155921648396,-1.3353835218875674,2.0735658827469416,2.992747624725086,🟢,0.6666666666666666,0.3333333333333333
2025-06-09,V2,기존 V2 기록후보,3,2,0,0,1,2.333333333333333,12.62865847253507,-4.339594274832922,-0.9685904185864236,-2.300959840324486,🟢,0.6666666666666666,0.3333333333333333
